Parameter,Value,Behav_Mode,Timestamp
d_u,0.00404817607851867,False,2025-03-05 08:31:09
d_v,0.015780174516141166,False,2025-03-05 08:31:09
gamma_u,0.7519827136307851,False,2025-03-05 08:31:09
gamma_v,0.02214138236302658,False,2025-03-05 08:31:09
Parameter,Value,Behav_Mode,Timestamp
d_u,0.0047252927578983915,False,2025-03-05 08:58:21
d_v,0.020269250395635464,False,2025-03-05 08:58:21
gamma_u,0.7097045558912152,False,2025-03-05 08:58:21
gamma_v,0.01418826830138263,False,2025-03-05 08:58:21
Parameter,Value,Behav_Mode,Timestamp
d_u,0.003941448555697206,True,2025-03-05 14:46:49
d_v,0.017892772332887642,True,2025-03-05 14:46:49
gamma_u,0.7841925666329972,True,2025-03-05 14:46:49
gamma_v,0.017404699072720336,True,2025-03-05 14:46:49
Parameter,Value,Behav_Mode,Timestamp
d_u,0.042192866792991494,False,2025-03-05 18:02:31
d_v,0.025949155900337237,False,2025-03-05 18:02:31
gamma_u,0.09835123820572032,False,2025-03-05 18:02:31
gamma_v,0.2572682220941551,False,2025-03-05 18:02:31
