Parameter,Value,Behav_Mode,Calib_condition
d_u,0.020998068582396993,False,all
d_v,0.026616395891560497,False,all
gamma_u,1.1930014189149725,False,all
gamma_v,0.012543647490625153,False,all
d_u,0.021278223054523464,True,all
d_v,0.026750061511049174,True,all
gamma_u,1.1179989590029429,True,all
gamma_v,0.011583742327196654,True,all
d_u,0.04039287888360625,False,uer
d_v,0.016472781834183353,False,uer
gamma_u,0.6567413313740856,False,uer
gamma_v,0.15028740987397135,False,uer
d_u,0.0406268719172559,True,uer
d_v,0.014209601728616201,True,uer
gamma_u,0.5118350125656101,True,uer
gamma_v,0.15632256492805807,True,uer
d_u,0.07785562722692836,False,vac
d_v,0.0033345360513559064,False,vac
gamma_u,0.7476005334825175,False,vac
gamma_v,0.042358570085025304,False,vac
d_u,0.07727053041034114,True,vac
d_v,0.0038333038621234743,True,vac
gamma_u,0.7416005453265019,True,vac
gamma_v,0.04280788399561307,True,vac
