Parameter,Value,otj,cyc_otj,cyc_ue,disc,Timestamp,model_cat
d_u,0.02529326455455523,True,False,False,True,2025-11-24 17:02:59,otj_disc
gamma_u,0.02577458448475396,True,False,False,True,2025-11-24 17:02:59,otj_disc
d_u,0.027187072088672326,True,False,False,True,2025-11-25 05:36:50,otj_disc
gamma_u,0.024743055904789087,True,False,False,True,2025-11-25 05:36:50,otj_disc
d_u,0.13575975108573038,False,False,False,False,2025-11-25 08:29:28,nonbehav
gamma_u,0.8347955280702894,False,False,False,False,2025-11-25 08:29:28,nonbehav
d_u,0.057231077714974765,True,False,False,True,2025-11-25 17:55:53,otj_disc
gamma_u,0.013855117093299472,True,False,False,True,2025-11-25 17:55:53,otj_disc
d_u,0.13682424094942086,False,False,False,False,2025-11-25 19:06:06,nonbehav
gamma_u,0.8222996237273439,False,False,False,False,2025-11-25 19:06:06,nonbehav
d_u,0.12004951216477043,True,False,False,False,2025-11-25 21:07:59,otj_nonbehav
gamma_u,0.7841389603876164,True,False,False,False,2025-11-25 21:07:59,otj_nonbehav
d_u,0.12400680967112562,True,False,False,True,2025-11-26 01:34:28,otj_disc_no_rw
gamma_u,0.44848367024098523,True,False,False,True,2025-11-26 01:34:28,otj_disc_no_rw
d_u,0.17265083527811723,True,False,False,False,2025-12-17 16:27:00,otj_nonbehav
gamma_u,0.12648455126347588,True,False,False,False,2025-12-17 16:27:00,otj_nonbehav
d_u,0.17656815387725194,False,False,False,False,2025-12-17 16:27:29,nonbehav
gamma_u,0.3399804380612317,False,False,False,False,2025-12-17 16:27:29,nonbehav
d_u,0.1349953539563298,True,False,False,True,2025-12-17 16:31:58,otj_disc_no_rw
gamma_u,0.6492738654487533,True,False,False,True,2025-12-17 16:31:58,otj_disc_no_rw
d_u,0.024154641240588855,True,False,False,True,2025-12-17 17:14:27,otj_disc
gamma_u,0.34372150596615436,True,False,False,True,2025-12-17 17:14:27,otj_disc
d_u,0.02017826439836279,False,False,False,False,2025-12-17 19:36:42,nonbehav
gamma_u,0.8271237242264222,False,False,False,False,2025-12-17 19:36:42,nonbehav
d_u,0.017852918106988264,True,False,False,False,2025-12-17 20:28:47,otj_nonbehav
gamma_u,0.7702537561248575,True,False,False,False,2025-12-17 20:28:47,otj_nonbehav
d_u,0.01711803007817053,True,False,False,True,2025-12-17 21:24:31,otj_disc_no_rw
gamma_u,0.6533269536488677,True,False,False,True,2025-12-17 21:24:31,otj_disc_no_rw
d_u,0.004559359000565076,True,False,False,True,2025-12-18 02:36:42,otj_disc
gamma_u,0.031216008584473782,True,False,False,True,2025-12-18 02:36:42,otj_disc
d_u,0.020228599153323475,False,False,False,False,2025-12-23 09:34:26,nonbehav
gamma_u,0.8512095792400278,False,False,False,False,2025-12-23 09:34:26,nonbehav
d_u,0.017904379648254577,True,False,False,False,2025-12-23 10:52:44,otj_nonbehav
gamma_u,0.7855338297989503,True,False,False,False,2025-12-23 10:52:44,otj_nonbehav
d_u,0.017251645762419537,True,False,False,True,2025-12-23 12:53:27,otj_disc_no_rw
gamma_u,0.7294932785867074,True,False,False,True,2025-12-23 12:53:27,otj_disc_no_rw
d_u,0.01508897226143744,True,False,False,True,2025-12-23 17:46:51,otj_disc_strict_rw
gamma_u,0.02778352974017282,True,False,False,True,2025-12-23 17:46:51,otj_disc_strict_rw
d_u,0.017604435409368246,True,False,False,True,2025-12-23 18:57:17,otj_disc
gamma_u,0.7736302386072791,True,False,False,True,2025-12-23 18:57:17,otj_disc
