Parameter,Value,otj,cyc_otj,cyc_ue,disc,Timestamp,model_cat
d_u,0.09697737602623528,True,False,False,False,2025-12-17 14:24:35,otj_nonbehav
gamma_u,0.15783998293374676,True,False,False,False,2025-12-17 14:24:35,otj_nonbehav
d_u,0.09896327248356923,False,False,False,False,2025-12-17 14:25:11,nonbehav
gamma_u,0.17925933500686633,False,False,False,False,2025-12-17 14:25:11,nonbehav
d_u,0.1681159501410038,True,False,False,False,2025-12-17 14:43:32,otj_nonbehav
gamma_u,0.6713110589263661,True,False,False,False,2025-12-17 14:43:32,otj_nonbehav
d_u,0.09457019998134411,True,False,False,False,2025-12-17 15:21:33,otj_nonbehav
gamma_u,0.33465870998655267,True,False,False,False,2025-12-17 15:21:33,otj_nonbehav
d_u,0.21252216670068225,False,False,False,False,2025-12-17 15:23:00,nonbehav
gamma_u,0.2755807711968824,False,False,False,False,2025-12-17 15:23:00,nonbehav
d_u,0.3842606365519473,True,False,False,False,2025-12-17 16:15:43,otj_nonbehav
gamma_u,0.5811630263979665,True,False,False,False,2025-12-17 16:15:43,otj_nonbehav
d_u,0.11366099944406355,False,False,False,False,2025-12-17 16:16:56,nonbehav
gamma_u,0.5261070039212019,False,False,False,False,2025-12-17 16:16:56,nonbehav
d_u,0.027909910084502634,True,False,False,True,2025-12-17 16:31:28,otj_disc_no_rw
gamma_u,0.38162469317963105,True,False,False,True,2025-12-17 16:31:28,otj_disc_no_rw
d_u,0.039227883405257756,True,False,False,True,2025-12-17 16:51:50,otj_disc
gamma_u,0.19720076501795736,True,False,False,True,2025-12-17 16:51:50,otj_disc
d_u,0.02630866404604923,False,False,False,False,2025-12-17 19:18:30,nonbehav
gamma_u,0.5857627119951881,False,False,False,False,2025-12-17 19:18:30,nonbehav
d_u,0.0239318630476345,True,False,False,False,2025-12-17 19:48:14,otj_nonbehav
gamma_u,0.6337260765457255,True,False,False,False,2025-12-17 19:48:14,otj_nonbehav
d_u,0.021561502374778326,True,False,False,True,2025-12-17 19:56:09,otj_disc_no_rw
gamma_u,0.40864256274754207,True,False,False,True,2025-12-17 19:56:09,otj_disc_no_rw
d_u,0.0074874659002253634,True,False,False,True,2025-12-17 23:17:02,otj_disc
gamma_u,0.38732596103442396,True,False,False,True,2025-12-17 23:17:02,otj_disc
d_u,0.02650491223625813,False,False,False,False,2025-12-22 15:52:17,nonbehav
gamma_u,0.5129268592414009,False,False,False,False,2025-12-22 15:52:17,nonbehav
d_u,0.023738383333740492,True,False,False,False,2025-12-22 19:39:45,otj_nonbehav
gamma_u,0.619842656231714,True,False,False,False,2025-12-22 19:39:45,otj_nonbehav
d_u,0.02401797567785395,True,False,False,True,2025-12-23 02:15:50,otj_disc
gamma_u,0.5476892716620848,True,False,False,True,2025-12-23 02:15:50,otj_disc
d_u,0.022254048780805447,True,False,False,True,2025-12-23 06:29:30,otj_disc_no_rw
gamma_u,0.5558253808677256,True,False,False,True,2025-12-23 06:29:30,otj_disc_no_rw
d_u,0.015425195888631376,True,False,False,True,2025-12-23 17:29:24,otj_disc_strict_rw
gamma_u,0.46670472006714403,True,False,False,True,2025-12-23 17:29:24,otj_disc_strict_rw
