d_u,gamma_u,distance,otj,cyc_otj,cyc_ue,disc,timestamp,model_cat
0.001,0.01,50.0333835925901,False,False,False,False,2025-08-06 17:25:40,nonbehav
0.001,0.108,45.081688144490286,False,False,False,False,2025-08-06 17:25:48,nonbehav
0.001,0.20600000000000002,43.753789160666365,False,False,False,False,2025-08-06 17:25:58,nonbehav
0.001,0.30400000000000005,42.31453108533222,False,False,False,False,2025-08-06 17:26:07,nonbehav
0.001,0.402,40.61816613417627,False,False,False,False,2025-08-06 17:26:14,nonbehav
0.001,0.5,40.160590968853676,False,False,False,False,2025-08-06 17:26:22,nonbehav
0.0108,0.01,41.60921669339174,False,False,False,False,2025-08-06 17:26:30,nonbehav
0.001,0.01,50.02102965515257,False,False,False,False,2025-08-06 17:28:59,nonbehav
0.001,0.255,43.02615866519808,False,False,False,False,2025-08-06 17:29:07,nonbehav
0.001,0.5,39.708959213870834,False,False,False,False,2025-08-06 17:29:15,nonbehav
0.025500000000000002,0.01,266.7978987333449,False,False,False,False,2025-08-06 17:29:31,nonbehav
0.025500000000000002,0.255,344.2606721034053,False,False,False,False,2025-08-06 17:29:53,nonbehav
0.025500000000000002,0.5,360.395139378782,False,False,False,False,2025-08-06 17:30:12,nonbehav
0.05,0.01,687.701960737597,False,False,False,False,2025-08-06 17:30:30,nonbehav
0.05,0.255,693.1102608707799,False,False,False,False,2025-08-06 17:30:48,nonbehav
0.05,0.5,689.8002970292882,False,False,False,False,2025-08-06 17:31:08,nonbehav
0.001,0.001,51.837473283703005,False,False,False,False,2025-08-06 20:28:13,nonbehav
0.001,0.0408,47.434629568764144,False,False,False,False,2025-08-06 20:28:20,nonbehav
0.001,0.001,51.86608645043697,False,False,False,False,2025-08-06 20:28:55,nonbehav
0.001,0.14079999999999998,44.603639234571965,False,False,False,False,2025-08-06 20:29:07,nonbehav
0.001,0.28059999999999996,42.91186840152154,False,False,False,False,2025-08-06 20:29:16,nonbehav
0.001,0.42039999999999994,40.905301100646945,False,False,False,False,2025-08-06 20:29:24,nonbehav
0.001,0.5601999999999999,39.94158386336101,False,False,False,False,2025-08-06 20:29:30,nonbehav
