d_u,gamma_u,distance,otj,cyc_otj,cyc_ue,disc,timestamp,model_cat
0.01,0.01,44.62886095064089,False,False,False,False,2025-08-22 00:13:56,nonbehav
0.01,0.07357142857142857,43.19010293981009,False,False,False,False,2025-08-22 00:14:06,nonbehav
0.01,0.13714285714285715,42.507609234031854,False,False,False,False,2025-08-22 00:14:16,nonbehav
0.01,0.20071428571428573,42.24487177274207,False,False,False,False,2025-08-22 00:14:27,nonbehav
0.01,0.2642857142857143,41.61388661688942,False,False,False,False,2025-08-22 00:14:37,nonbehav
0.01,0.32785714285714285,41.58761232359221,False,False,False,False,2025-08-22 00:14:47,nonbehav
0.01,0.39142857142857146,41.10022611807313,False,False,False,False,2025-08-22 00:14:58,nonbehav
0.01,0.455,40.95764900704916,False,False,False,False,2025-08-22 00:15:08,nonbehav
0.01,0.5185714285714286,41.064669583956956,False,False,False,False,2025-08-22 00:15:18,nonbehav
0.01,0.5821428571428572,40.74813818195756,False,False,False,False,2025-08-22 00:15:28,nonbehav
0.01,0.6457142857142857,40.41590573072397,False,False,False,False,2025-08-22 00:15:39,nonbehav
0.01,0.7092857142857143,40.097030454644965,False,False,False,False,2025-08-22 00:15:49,nonbehav
0.01,0.7728571428571429,39.90382267943383,False,False,False,False,2025-08-22 00:16:00,nonbehav
0.01,0.8364285714285714,39.55264325183909,False,False,False,False,2025-08-22 00:16:10,nonbehav
0.01,0.9,39.50025989676394,False,False,False,False,2025-08-22 00:16:21,nonbehav
0.001,0.01,51.727956985700196,False,False,False,False,2025-08-22 07:27:06,nonbehav
0.001,0.10888888888888888,49.652031263971594,False,False,False,False,2025-08-22 07:27:14,nonbehav
0.001,0.20777777777777778,48.84026293140758,False,False,False,False,2025-08-22 07:27:22,nonbehav
0.001,0.30666666666666664,48.3903645120075,False,False,False,False,2025-08-22 07:27:30,nonbehav
0.001,0.40555555555555556,47.99342106101465,False,False,False,False,2025-08-22 07:27:38,nonbehav
0.001,0.5044444444444445,47.72407146680348,False,False,False,False,2025-08-22 07:27:46,nonbehav
0.001,0.6033333333333333,47.495942798276495,False,False,False,False,2025-08-22 07:27:54,nonbehav
0.001,0.7022222222222222,47.228560808104106,False,False,False,False,2025-08-22 07:28:02,nonbehav
0.001,0.8011111111111111,46.95001688374474,False,False,False,False,2025-08-22 07:28:10,nonbehav
0.001,0.9,46.76934558025335,False,False,False,False,2025-08-22 07:28:18,nonbehav
0.023111111111111114,0.01,25.103955780329603,False,False,False,False,2025-08-22 07:28:34,nonbehav
0.023111111111111114,0.10888888888888888,22.83117666855904,False,False,False,False,2025-08-22 07:28:53,nonbehav
0.023111111111111114,0.20777777777777778,32.93975723407413,False,False,False,False,2025-08-22 07:29:15,nonbehav
0.023111111111111114,0.30666666666666664,36.883397545797166,False,False,False,False,2025-08-22 07:29:38,nonbehav
0.023111111111111114,0.40555555555555556,43.89322120587415,False,False,False,False,2025-08-22 07:30:02,nonbehav
0.023111111111111114,0.5044444444444445,43.2321573529214,False,False,False,False,2025-08-22 07:30:26,nonbehav
0.023111111111111114,0.6033333333333333,45.1934813014605,False,False,False,False,2025-08-22 07:30:51,nonbehav
0.023111111111111114,0.7022222222222222,45.94212736882196,False,False,False,False,2025-08-22 07:31:17,nonbehav
0.023111111111111114,0.8011111111111111,44.66950563974046,False,False,False,False,2025-08-22 07:31:43,nonbehav
0.023111111111111114,0.9,51.55315179136836,False,False,False,False,2025-08-22 07:32:11,nonbehav
0.001,0.001,52.0474607045112,False,False,False,False,2025-08-22 09:13:30,nonbehav
0.001,0.10088888888888889,49.68301795267392,False,False,False,False,2025-08-22 09:13:39,nonbehav
0.001,0.20077777777777778,48.974672781320514,False,False,False,False,2025-08-22 09:13:48,nonbehav
0.001,0.30066666666666664,48.3781952809829,False,False,False,False,2025-08-22 09:13:56,nonbehav
0.001,0.40055555555555555,47.852243542134154,False,False,False,False,2025-08-22 09:14:05,nonbehav
0.001,0.5004444444444445,47.843322309732535,False,False,False,False,2025-08-22 09:14:13,nonbehav
0.001,0.6003333333333333,47.66469141544914,False,False,False,False,2025-08-22 09:14:22,nonbehav
0.001,0.7002222222222222,47.16095082540825,False,False,False,False,2025-08-22 09:14:31,nonbehav
0.001,0.8001111111111111,47.17252274862485,False,False,False,False,2025-08-22 09:14:39,nonbehav
0.001,0.9,46.53211036898889,False,False,False,False,2025-08-22 09:14:48,nonbehav
0.012,0.001,43.477965099362116,False,False,False,False,2025-08-22 09:15:00,nonbehav
0.012,0.10088888888888889,41.27366692876293,False,False,False,False,2025-08-22 09:15:11,nonbehav
0.012,0.20077777777777778,40.543198815596156,False,False,False,False,2025-08-22 09:15:22,nonbehav
0.012,0.30066666666666664,39.997957790337296,False,False,False,False,2025-08-22 09:15:33,nonbehav
0.012,0.40055555555555555,39.57154442751461,False,False,False,False,2025-08-22 09:15:45,nonbehav
0.012,0.5004444444444445,39.17760514408757,False,False,False,False,2025-08-22 09:15:56,nonbehav
0.012,0.6003333333333333,38.407272249142075,False,False,False,False,2025-08-22 09:16:09,nonbehav
0.012,0.7002222222222222,38.4865783568429,False,False,False,False,2025-08-22 09:16:20,nonbehav
0.012,0.8001111111111111,37.1609219561202,False,False,False,False,2025-08-22 09:16:31,nonbehav
0.012,0.9,36.56310135844303,False,False,False,False,2025-08-22 09:16:43,nonbehav
0.023000000000000003,0.001,26.744457401530223,False,False,False,False,2025-08-22 09:17:02,nonbehav
0.023000000000000003,0.10088888888888889,24.700500414440754,False,False,False,False,2025-08-22 09:17:22,nonbehav
0.023000000000000003,0.20077777777777778,33.70352580107571,False,False,False,False,2025-08-22 09:17:45,nonbehav
0.023000000000000003,0.30066666666666664,40.26224931905179,False,False,False,False,2025-08-22 09:18:08,nonbehav
0.023000000000000003,0.40055555555555555,31.614599595633937,False,False,False,False,2025-08-22 09:18:31,nonbehav
0.023000000000000003,0.5004444444444445,45.40241941994688,False,False,False,False,2025-08-22 09:18:55,nonbehav
0.023000000000000003,0.6003333333333333,46.263118484426535,False,False,False,False,2025-08-22 09:19:21,nonbehav
0.023000000000000003,0.7002222222222222,41.809180811747176,False,False,False,False,2025-08-22 09:19:46,nonbehav
0.023000000000000003,0.8001111111111111,47.6580916183714,False,False,False,False,2025-08-22 09:20:12,nonbehav
0.023000000000000003,0.9,48.09016195252077,False,False,False,False,2025-08-22 09:20:38,nonbehav
0.034,0.001,320.0124234289836,False,False,False,False,2025-08-22 09:22:04,nonbehav
0.034,0.10088888888888889,358.39374537079107,False,False,False,False,2025-08-22 09:23:32,nonbehav
0.034,0.20077777777777778,342.73913427043294,False,False,False,False,2025-08-22 09:24:58,nonbehav
0.034,0.30066666666666664,351.1008227067794,False,False,False,False,2025-08-22 09:26:26,nonbehav
0.034,0.40055555555555555,364.37990172952664,False,False,False,False,2025-08-22 09:27:56,nonbehav
0.034,0.5004444444444445,361.9032995291448,False,False,False,False,2025-08-22 09:29:25,nonbehav
0.034,0.6003333333333333,364.9887326807955,False,False,False,False,2025-08-22 09:30:55,nonbehav
0.034,0.7002222222222222,373.0821387836007,False,False,False,False,2025-08-22 09:32:29,nonbehav
0.034,0.8001111111111111,382.03643098343446,False,False,False,False,2025-08-22 09:34:01,nonbehav
0.034,0.9,369.9501467879645,False,False,False,False,2025-08-22 09:35:34,nonbehav
0.001,0.001,52.041987953976175,False,False,False,False,2025-08-22 11:09:51,nonbehav
0.001,0.10088888888888889,49.70991206496872,False,False,False,False,2025-08-22 11:10:09,nonbehav
0.001,0.20077777777777778,48.85392207707056,False,False,False,False,2025-08-22 11:10:22,nonbehav
0.001,0.30066666666666664,48.522336881058415,False,False,False,False,2025-08-22 11:10:36,nonbehav
0.001,0.40055555555555555,48.143726709804795,False,False,False,False,2025-08-22 11:10:46,nonbehav
0.001,0.5004444444444445,47.80239315756455,False,False,False,False,2025-08-22 11:10:55,nonbehav
0.001,0.6003333333333333,47.63124634041692,False,False,False,False,2025-08-22 11:11:06,nonbehav
0.001,0.7002222222222222,47.40935609388119,False,False,False,False,2025-08-22 11:11:17,nonbehav
0.001,0.8001111111111111,47.22936063657021,False,False,False,False,2025-08-22 11:11:26,nonbehav
0.001,0.9,46.93434740637092,False,False,False,False,2025-08-22 11:11:34,nonbehav
0.012,0.001,43.323905934330966,False,False,False,False,2025-08-22 11:11:47,nonbehav
0.012,0.10088888888888889,41.352427254633575,False,False,False,False,2025-08-22 11:12:02,nonbehav
0.012,0.20077777777777778,40.50109462300092,False,False,False,False,2025-08-22 11:12:17,nonbehav
0.012,0.30066666666666664,39.95741057798612,False,False,False,False,2025-08-22 11:12:32,nonbehav
0.012,0.40055555555555555,39.507255352027364,False,False,False,False,2025-08-22 11:12:46,nonbehav
0.012,0.5004444444444445,39.19379518335812,False,False,False,False,2025-08-22 11:13:00,nonbehav
0.012,0.6003333333333333,38.882016212143725,False,False,False,False,2025-08-22 11:13:13,nonbehav
0.012,0.7002222222222222,37.57832151676352,False,False,False,False,2025-08-22 11:13:25,nonbehav
0.012,0.8001111111111111,37.866451207439795,False,False,False,False,2025-08-22 11:13:35,nonbehav
0.012,0.9,36.70186315723919,False,False,False,False,2025-08-22 11:13:47,nonbehav
0.023000000000000003,0.001,27.35584860397771,False,False,False,False,2025-08-22 11:14:04,nonbehav
0.023000000000000003,0.10088888888888889,22.478955766663326,False,False,False,False,2025-08-22 11:14:24,nonbehav
0.023000000000000003,0.20077777777777778,28.318421939164793,False,False,False,False,2025-08-22 11:14:45,nonbehav
0.023000000000000003,0.30066666666666664,38.34476643323279,False,False,False,False,2025-08-22 11:15:09,nonbehav
0.023000000000000003,0.40055555555555555,44.30349978702134,False,False,False,False,2025-08-22 11:15:34,nonbehav
0.023000000000000003,0.5004444444444445,36.28937362323327,False,False,False,False,2025-08-22 11:16:01,nonbehav
0.023000000000000003,0.6003333333333333,44.956645924018126,False,False,False,False,2025-08-22 11:16:30,nonbehav
0.023000000000000003,0.7002222222222222,51.58616727644902,False,False,False,False,2025-08-22 11:16:59,nonbehav
0.023000000000000003,0.8001111111111111,45.59241059510208,False,False,False,False,2025-08-22 11:17:26,nonbehav
0.023000000000000003,0.9,54.81033900602656,False,False,False,False,2025-08-22 11:17:54,nonbehav
0.034,0.001,334.11494945216447,False,False,False,False,2025-08-22 11:19:18,nonbehav
0.034,0.10088888888888889,338.57101064547356,False,False,False,False,2025-08-22 11:20:46,nonbehav
0.034,0.20077777777777778,364.50466972780004,False,False,False,False,2025-08-22 11:22:14,nonbehav
