Parameter,Value,otj,cyc_otj,cyc_ue,disc,Timestamp,model_cat
d_u,0.06117404018875739,True,False,False,True,2025-11-25 18:17:00,otj_disc
gamma_u,0.011184054960888156,True,False,False,True,2025-11-25 18:17:00,otj_disc
d_u,0.13735543050280796,False,False,False,False,2025-11-25 19:53:45,nonbehav
gamma_u,0.8357057122552163,False,False,False,False,2025-11-25 19:53:45,nonbehav
d_u,0.12097981093114049,True,False,False,False,2025-11-25 21:56:45,otj_nonbehav
gamma_u,0.7346639906884046,True,False,False,False,2025-11-25 21:56:45,otj_nonbehav
d_u,0.12044208019292191,True,False,False,True,2025-11-26 02:14:37,otj_disc_no_rw
gamma_u,0.5281324836903089,True,False,False,True,2025-11-26 02:14:37,otj_disc_no_rw
d_u,0.07029532823847727,True,False,False,False,2025-12-17 16:32:00,otj_nonbehav
gamma_u,0.8104787487629466,True,False,False,False,2025-12-17 16:32:00,otj_nonbehav
d_u,0.26951671410491346,False,False,False,False,2025-12-17 16:33:31,nonbehav
gamma_u,0.3863669364015667,False,False,False,False,2025-12-17 16:33:31,nonbehav
d_u,0.10426395985647374,True,False,False,True,2025-12-17 16:37:48,otj_disc_no_rw
gamma_u,0.49925789719433544,True,False,False,True,2025-12-17 16:37:48,otj_disc_no_rw
d_u,0.02016077291684998,False,False,False,False,2025-12-17 19:33:58,nonbehav
gamma_u,0.7612284574562389,False,False,False,False,2025-12-17 19:33:58,nonbehav
d_u,0.01769800572655929,True,False,False,False,2025-12-17 20:12:32,otj_nonbehav
gamma_u,0.7483132648148437,True,False,False,False,2025-12-17 20:12:32,otj_nonbehav
d_u,0.017521971423679485,True,False,False,True,2025-12-17 21:21:42,otj_disc_no_rw
gamma_u,0.5227100179179471,True,False,False,True,2025-12-17 21:21:42,otj_disc_no_rw
d_u,0.0037343972307974115,True,False,False,True,2025-12-18 02:06:52,otj_disc
gamma_u,0.025296381730801346,True,False,False,True,2025-12-18 02:06:52,otj_disc
