Parameter,Value,otj,cyc_otj,cyc_ue,disc,Timestamp,model_cat
d_u,0.07110451594856233,True,True,False,True,2025-11-25 18:51:53,otj_cyclical_e_disc
gamma_u,0.007768717932191699,True,True,False,True,2025-11-25 18:51:53,otj_cyclical_e_disc
theta,0.5638478540504847,True,True,False,True,2025-11-25 18:51:53,otj_cyclical_e_disc
d_u,0.10547431795830316,True,True,False,True,2025-11-25 20:19:09,otj_cyclical_e_disc_no_rw
gamma_u,0.6159380903302081,True,True,False,True,2025-11-25 20:19:09,otj_cyclical_e_disc_no_rw
theta,0.1040240238971062,True,True,False,True,2025-11-25 20:19:09,otj_cyclical_e_disc_no_rw
d_u,0.08480862328439667,True,True,False,True,2025-12-17 16:53:50,otj_cyclical_e_disc_no_rw
gamma_u,0.18242728051312296,True,True,False,True,2025-12-17 16:53:50,otj_cyclical_e_disc_no_rw
theta,0.5496960340045192,True,True,False,True,2025-12-17 16:53:50,otj_cyclical_e_disc_no_rw
d_u,0.0629931180108558,True,True,False,True,2025-12-17 17:54:06,otj_cyclical_e_disc
gamma_u,0.33689047757550344,True,True,False,True,2025-12-17 17:54:06,otj_cyclical_e_disc
theta,0.35439761979236495,True,True,False,True,2025-12-17 17:54:06,otj_cyclical_e_disc
d_u,0.01670681897125722,True,True,False,True,2025-12-17 21:55:32,otj_cyclical_e_disc_no_rw
gamma_u,0.7900204101244411,True,True,False,True,2025-12-17 21:55:32,otj_cyclical_e_disc_no_rw
theta,0.09155339285343717,True,True,False,True,2025-12-17 21:55:32,otj_cyclical_e_disc_no_rw
d_u,0.009832531707124828,True,True,False,True,2025-12-18 02:29:09,otj_cyclical_e_disc
gamma_u,0.5217485015853802,True,True,False,True,2025-12-18 02:29:09,otj_cyclical_e_disc
theta,0.2536477995347427,True,True,False,True,2025-12-18 02:29:09,otj_cyclical_e_disc
