Parameter,Value,otj,cyc_otj,cyc_ue,disc,Timestamp,model_cat
d_u,0.0962746417395101,True,True,False,True,2025-10-15 16:16:16,otj_cyclical_e_disc
gamma_u,0.09298420457681374,True,True,False,True,2025-10-15 16:16:16,otj_cyclical_e_disc
theta,0.24529338801921943,True,True,False,True,2025-10-15 16:16:16,otj_cyclical_e_disc
d_u,0.19345394191848353,True,True,False,True,2025-10-15 17:49:29,otj_cyclical_e_disc
gamma_u,0.015166695034941483,True,True,False,True,2025-10-15 17:49:29,otj_cyclical_e_disc
theta,0.6493863107791888,True,True,False,True,2025-10-15 17:49:29,otj_cyclical_e_disc
d_u,0.1656600465276979,True,True,False,True,2025-10-16 02:25:35,otj_cyclical_e_disc
gamma_u,0.017668902367614214,True,True,False,True,2025-10-16 02:25:35,otj_cyclical_e_disc
theta,0.33209588557127273,True,True,False,True,2025-10-16 02:25:35,otj_cyclical_e_disc
d_u,0.19580121431030464,True,True,False,True,2025-10-16 09:51:56,otj_cyclical_e_disc
gamma_u,0.013470056208117,True,True,False,True,2025-10-16 09:51:56,otj_cyclical_e_disc
theta,0.514063177934735,True,True,False,True,2025-10-16 09:51:56,otj_cyclical_e_disc
