d_u,gamma_u,distance,otj,cyc_otj,cyc_ue,disc,timestamp,model_cat
0.0,0.0,52.8941555254958,False,False,False,False,2025-09-03 09:36:29,nonbehav
0.0,0.225,48.04859279117336,False,False,False,False,2025-09-03 09:36:34,nonbehav
0.0,0.45,45.06369804069922,False,False,False,False,2025-09-03 09:36:41,nonbehav
0.0,0.675,41.79276673148782,False,False,False,False,2025-09-03 09:36:49,nonbehav
0.0,0.9,39.014293229735934,False,False,False,False,2025-09-03 09:36:57,nonbehav
0.0125,0.0,51.619701872932026,False,False,False,False,2025-09-03 09:37:02,nonbehav
0.0125,0.225,46.917900621064675,False,False,False,False,2025-09-03 09:37:08,nonbehav
0.0125,0.45,43.66241893616872,False,False,False,False,2025-09-03 09:37:15,nonbehav
0.0125,0.675,40.40891718589831,False,False,False,False,2025-09-03 09:37:23,nonbehav
0.0125,0.9,37.293323949519035,False,False,False,False,2025-09-03 09:37:31,nonbehav
0.025,0.0,50.47592250136943,False,False,False,False,2025-09-03 09:37:37,nonbehav
0.025,0.225,45.45234175901085,False,False,False,False,2025-09-03 09:37:43,nonbehav
0.025,0.45,42.00451421733714,False,False,False,False,2025-09-03 09:37:51,nonbehav
0.025,0.675,38.47418659986962,False,False,False,False,2025-09-03 09:37:59,nonbehav
0.025,0.9,35.38324283808556,False,False,False,False,2025-09-03 09:38:08,nonbehav
0.037500000000000006,0.0,49.40011496467379,False,False,False,False,2025-09-03 09:38:14,nonbehav
0.037500000000000006,0.225,43.558344026236156,False,False,False,False,2025-09-03 09:38:21,nonbehav
0.037500000000000006,0.45,38.96723886417177,False,False,False,False,2025-09-03 09:38:29,nonbehav
0.037500000000000006,0.675,36.161622463972634,False,False,False,False,2025-09-03 09:38:38,nonbehav
0.037500000000000006,0.9,33.232614936271396,False,False,False,False,2025-09-03 09:38:47,nonbehav
0.05,0.0,48.403568739375466,False,False,False,False,2025-09-03 09:38:53,nonbehav
0.05,0.225,41.02026250053426,False,False,False,False,2025-09-03 09:39:01,nonbehav
0.05,0.45,36.55447113786706,False,False,False,False,2025-09-03 09:39:09,nonbehav
0.05,0.675,32.30724462858921,False,False,False,False,2025-09-03 09:39:19,nonbehav
0.05,0.9,29.265602661667696,False,False,False,False,2025-09-03 09:39:29,nonbehav
0.01,0.2,47.50773381416992,False,False,False,False,2025-09-03 10:27:25,nonbehav
0.01,0.375,45.27643004231122,False,False,False,False,2025-09-03 10:27:33,nonbehav
0.01,0.55,42.42193346084281,False,False,False,False,2025-09-03 10:27:42,nonbehav
0.01,0.7249999999999999,39.85093680555717,False,False,False,False,2025-09-03 10:27:50,nonbehav
0.01,0.9,37.912379932954735,False,False,False,False,2025-09-03 10:27:59,nonbehav
0.0325,0.2,44.76173723108491,False,False,False,False,2025-09-03 10:28:06,nonbehav
0.0325,0.375,41.61295951316554,False,False,False,False,2025-09-03 10:28:14,nonbehav
0.0325,0.55,39.44456854521312,False,False,False,False,2025-09-03 10:28:22,nonbehav
0.0325,0.7249999999999999,36.480173231384356,False,False,False,False,2025-09-03 10:28:31,nonbehav
0.0325,0.9,34.27044451544016,False,False,False,False,2025-09-03 10:28:40,nonbehav
0.05500000000000001,0.2,41.11296431701788,False,False,False,False,2025-09-03 10:28:49,nonbehav
0.05500000000000001,0.375,37.21663260584672,False,False,False,False,2025-09-03 10:28:57,nonbehav
0.05500000000000001,0.55,33.40856780342318,False,False,False,False,2025-09-03 10:29:07,nonbehav
0.05500000000000001,0.7249999999999999,29.958458703130763,False,False,False,False,2025-09-03 10:29:17,nonbehav
0.05500000000000001,0.9,28.468607276492868,False,False,False,False,2025-09-03 10:29:28,nonbehav
0.0775,0.2,36.62846496784015,False,False,False,False,2025-09-03 10:29:37,nonbehav
0.0775,0.375,30.00134564984391,False,False,False,False,2025-09-03 10:29:47,nonbehav
0.0775,0.55,25.42036051776698,False,False,False,False,2025-09-03 10:29:58,nonbehav
0.0775,0.7249999999999999,21.952369294663455,False,False,False,False,2025-09-03 10:30:10,nonbehav
0.0775,0.9,18.980572619541736,False,False,False,False,2025-09-03 10:30:23,nonbehav
0.1,0.2,29.445041287785052,False,False,False,False,2025-09-03 10:30:34,nonbehav
0.1,0.375,20.860560474695543,False,False,False,False,2025-09-03 10:30:46,nonbehav
0.1,0.55,15.871812521060118,False,False,False,False,2025-09-03 10:31:01,nonbehav
0.1,0.7249999999999999,11.72261221101485,False,False,False,False,2025-09-03 10:31:16,nonbehav
0.1,0.9,11.703457440795285,False,False,False,False,2025-09-03 10:31:33,nonbehav
