d_u,gamma_u,distance,otj,cyc_otj,cyc_ue,disc,timestamp,model_cat
0.0,0.0,52.882751515118414,True,False,False,True,2025-09-03 09:50:39,otj_disc
0.0,0.225,36.848526757370635,True,False,False,True,2025-09-03 09:51:21,otj_disc
0.0,0.45,43.25722577059283,True,False,False,True,2025-09-03 09:52:03,otj_disc
0.0,0.675,46.590826076392794,True,False,False,True,2025-09-03 09:52:45,otj_disc
0.0,0.9,47.17002445550793,True,False,False,True,2025-09-03 09:53:28,otj_disc
0.0125,0.0,51.36273115263364,True,False,False,True,2025-09-03 09:53:46,otj_disc
0.0125,0.225,39.073812856586244,True,False,False,True,2025-09-03 09:54:26,otj_disc
0.0125,0.45,46.602653280144885,True,False,False,True,2025-09-03 09:55:07,otj_disc
0.0125,0.675,49.18295530039262,True,False,False,True,2025-09-03 09:55:49,otj_disc
0.0125,0.9,51.30037667785121,True,False,False,True,2025-09-03 09:56:32,otj_disc
0.025,0.0,49.83572018053906,True,False,False,True,2025-09-03 09:56:51,otj_disc
0.025,0.225,41.70574381534256,True,False,False,True,2025-09-03 09:57:31,otj_disc
0.025,0.45,49.35070157200377,True,False,False,True,2025-09-03 09:58:15,otj_disc
0.025,0.675,51.10612616359471,True,False,False,True,2025-09-03 09:58:58,otj_disc
0.025,0.9,54.04271624102742,True,False,False,True,2025-09-03 09:59:44,otj_disc
0.037500000000000006,0.0,48.409171636048825,True,False,False,True,2025-09-03 10:00:03,otj_disc
0.037500000000000006,0.225,45.50000232454985,True,False,False,True,2025-09-03 10:00:49,otj_disc
0.037500000000000006,0.45,51.27307615001752,True,False,False,True,2025-09-03 10:01:34,otj_disc
0.037500000000000006,0.675,55.293353766007286,True,False,False,True,2025-09-03 10:02:20,otj_disc
0.037500000000000006,0.9,56.76527375264708,True,False,False,True,2025-09-03 10:03:06,otj_disc
0.05,0.0,46.802353366730244,True,False,False,True,2025-09-03 10:03:26,otj_disc
0.05,0.225,47.314721590174145,True,False,False,True,2025-09-03 10:04:09,otj_disc
0.05,0.45,55.69252334220995,True,False,False,True,2025-09-03 10:04:53,otj_disc
0.05,0.675,58.30124143503441,True,False,False,True,2025-09-03 10:05:38,otj_disc
0.05,0.9,60.328311352730964,True,False,False,True,2025-09-03 10:06:26,otj_disc
0.001,0.1,24.834020996380318,True,False,False,True,2025-09-03 10:45:20,otj_disc
0.001,0.2,36.049889710699155,True,False,False,True,2025-09-03 10:45:59,otj_disc
0.001,0.30000000000000004,39.42211758826657,True,False,False,True,2025-09-03 10:46:37,otj_disc
0.001,0.4,42.56239402148936,True,False,False,True,2025-09-03 10:47:16,otj_disc
0.001,0.5,45.23794574815926,True,False,False,True,2025-09-03 10:47:56,otj_disc
0.00575,0.1,26.03575395176321,True,False,False,True,2025-09-03 10:48:31,otj_disc
0.00575,0.2,37.48383692961105,True,False,False,True,2025-09-03 10:49:08,otj_disc
0.00575,0.30000000000000004,40.8685921075879,True,False,False,True,2025-09-03 10:49:47,otj_disc
0.00575,0.4,44.21141265383313,True,False,False,True,2025-09-03 10:50:28,otj_disc
0.00575,0.5,44.535383642648064,True,False,False,True,2025-09-03 10:51:08,otj_disc
0.010499999999999999,0.1,26.01716164556272,True,False,False,True,2025-09-03 10:51:47,otj_disc
