Parameter,Value,otj,cyc_otj,cyc_ue,disc,Timestamp,model_cat
d_u,0.17498230468267387,False,False,False,False,2025-12-10 01:51:00,nonbehav
gamma_u,0.3133177675226436,False,False,False,False,2025-12-10 01:51:00,nonbehav
d_u,0.024439629920776126,False,False,False,False,2025-12-10 02:57:10,nonbehav
gamma_u,0.6905477609002524,False,False,False,False,2025-12-10 02:57:10,nonbehav
d_u,0.021253793954533185,True,False,False,False,2025-12-10 04:09:59,otj_nonbehav
gamma_u,0.7212579459136058,True,False,False,False,2025-12-10 04:09:59,otj_nonbehav
d_u,0.02151458481783414,True,False,False,True,2025-12-10 09:27:48,otj_disc
gamma_u,0.7055138758237771,True,False,False,True,2025-12-10 09:27:48,otj_disc
d_u,0.020580693871774514,True,False,False,True,2025-12-10 10:52:14,otj_disc_no_rw
gamma_u,0.7518534432889715,True,False,False,True,2025-12-10 10:52:14,otj_disc_no_rw
