d_u,gamma_u,distance,otj,cyc_otj,cyc_ue,disc,timestamp,model_cat,error
0.001,0.001,1657.9147862992625,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.042625,15.293060366983184,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.08425,102.95142327534704,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.12587500000000001,135.9739814015876,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.1675,202.63860507763357,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.209125,238.0714105383731,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.25075000000000003,273.63483803289665,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.292375,240.38956491935883,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.334,230.24421275579377,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.37562500000000004,287.1822670168642,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.41725,302.00192841529355,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.45887500000000003,321.11632950961535,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.5005000000000001,316.01587566301674,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.5421250000000001,329.50301511452955,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.58375,351.0445276138275,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.625375,303.0948004545436,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.667,383.20068743452157,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.7086250000000001,335.80897458107324,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.7502500000000001,387.6141283425352,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.791875,348.3117521799415,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.8335,373.9652451917796,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.875125,369.01910540494436,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.9167500000000001,332.29315879797076,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,0.9583750000000001,349.0732852555808,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.001,1.0,406.17820066339004,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.001,698.7929872988926,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.042625,26.59654562250834,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.08425,118.74404542985572,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.12587500000000001,231.3521451908353,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.1675,232.27625259321496,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.209125,260.81698970042254,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.25075000000000003,313.9991124128241,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.292375,273.8667680906771,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.334,295.63113035276115,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.37562500000000004,323.8163741556542,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.41725,318.47690539785054,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.45887500000000003,361.70475886126087,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.5005000000000001,351.2716570232982,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.5421250000000001,440.10693272623826,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.58375,359.24634793697726,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.625375,414.09277851246065,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.667,412.57122876917884,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.7086250000000001,324.7888991202961,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.7502500000000001,371.12773467953724,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.791875,397.42494468864186,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.8335,366.82208834511414,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.875125,379.0426230026784,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.9167500000000001,410.1130914151574,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,0.9583750000000001,374.7132852849327,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.042625,1.0,392.7173750636669,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.001,529.8373615758519,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.042625,67.73185832103543,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.08425,209.1359239243563,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.12587500000000001,205.16965023504918,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.1675,252.15628027352847,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.209125,288.7932793197166,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.25075000000000003,317.6555201341976,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.292375,324.2980489023947,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.334,370.9323359334112,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.37562500000000004,293.17072963704055,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.41725,341.4221506450811,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.45887500000000003,350.31317610991715,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.5005000000000001,370.96383308328836,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.5421250000000001,441.60408448918804,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.58375,395.8532913326804,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.625375,452.63728070655065,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.667,410.5877525259485,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.7086250000000001,409.6816480979301,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.7502500000000001,422.758204106471,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.791875,410.23994990912377,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.8335,431.4319953182784,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.875125,438.5154116914899,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.9167500000000001,391.28318730969914,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,0.9583750000000001,408.437855135833,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.08425,1.0,408.66148535327545,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.001,343.29341128439114,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.042625,113.88490195641705,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.08425,320.3442468122409,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.12587500000000001,257.7986272366613,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.1675,283.2020174423458,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.209125,329.91807626844997,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.25075000000000003,281.8511575861874,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.292375,346.05459857978866,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.334,286.7911816196854,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.37562500000000004,382.098536643214,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.41725,446.4847365859557,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.45887500000000003,440.8553355350252,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.5005000000000001,424.82402667321895,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.5421250000000001,410.7951861834577,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.58375,388.5572529259663,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.625375,457.58277833049516,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.667,407.94787030197637,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.7086250000000001,374.72594720786344,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.7502500000000001,393.1296744035333,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.791875,459.64978479387497,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.8335,438.65258686466495,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.875125,401.52277395881526,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.9167500000000001,431.37609384035636,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,0.9583750000000001,467.8087589185065,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.12587500000000001,1.0,376.673816004898,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.001,160.87031900192517,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.042625,150.71416335171227,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
0.1675,0.08425,231.5010059156023,True,True,False,True,2025-10-01 18:19:13,otj_cyclical_e_disc,
