Parameter,Value,otj,cyc_otj,cyc_ue,disc,Timestamp
d_u,0.028456585498946526,False,False,False,False,2025-04-23 19:30:11
d_v,0.016536318995441657,False,False,False,False,2025-04-23 19:30:11
gamma_u,0.3517463245923779,False,False,False,False,2025-04-23 19:30:11
gamma_v,0.3000635167978138,False,False,False,False,2025-04-23 19:30:11
d_u,0.016298856442440345,True,False,False,False,2025-04-23 19:42:19
d_v,0.028488285604300008,True,False,False,False,2025-04-23 19:42:19
gamma_u,0.8500644192587314,True,False,False,False,2025-04-23 19:42:19
gamma_v,0.08684947497763103,True,False,False,False,2025-04-23 19:42:19
d_u,0.016084773127692884,True,True,False,False,2025-04-23 19:51:13
d_v,0.028047005878335328,True,True,False,False,2025-04-23 19:51:13
gamma_u,0.9602959439844143,True,True,False,False,2025-04-23 19:51:13
gamma_v,0.09859983250819669,True,True,False,False,2025-04-23 19:51:13
d_u,0.0037567713534691826,True,False,True,False,2025-04-23 19:59:50
d_v,0.02059958629756454,True,False,True,False,2025-04-23 19:59:50
gamma_u,0.9213234955420927,True,False,True,False,2025-04-23 19:59:50
gamma_v,0.12974354809324323,True,False,True,False,2025-04-23 19:59:50
d_u,0.003369791484944348,True,True,True,False,2025-04-23 20:08:51
d_v,0.021382581067020606,True,True,True,False,2025-04-23 20:08:51
gamma_u,0.8206135801346268,True,True,True,False,2025-04-23 20:08:51
gamma_v,0.11588370506082289,True,True,True,False,2025-04-23 20:08:51
d_u,0.009187710637460144,True,True,False,True,2025-04-23 20:18:25
d_v,0.016784378165667965,True,True,False,True,2025-04-23 20:18:25
gamma_u,0.7414248062670183,True,True,False,True,2025-04-23 20:18:25
gamma_v,0.2521616733566374,True,True,False,True,2025-04-23 20:18:25
d_u,0.003295341627145144,True,False,True,True,2025-04-23 20:27:14
d_v,0.021407803044269213,True,False,True,True,2025-04-23 20:27:14
gamma_u,0.8453213816933088,True,False,True,True,2025-04-23 20:27:14
gamma_v,0.11951375450077942,True,False,True,True,2025-04-23 20:27:14
d_u,0.003006486122235259,True,True,True,True,2025-04-23 20:36:07
d_v,0.021270107276774797,True,True,True,True,2025-04-23 20:36:07
gamma_u,0.919269143694544,True,True,True,True,2025-04-23 20:36:07
gamma_v,0.1288869359920744,True,True,True,True,2025-04-23 20:36:07
d_u,0.009689351523471763,True,False,False,True,2025-04-23 20:46:43
d_v,0.01564111388012411,True,False,False,True,2025-04-23 20:46:43
gamma_u,0.832704746340445,True,False,False,True,2025-04-23 20:46:43
gamma_v,0.28490198027732677,True,False,False,True,2025-04-23 20:46:43
