Parameter,Value,otj,cyc_otj,cyc_ue,disc,Timestamp,model_cat
d_u,0.028334823300529922,False,False,False,False,2025-04-23 21:38:40,nonbehav
d_v,0.011281877870953066,False,False,False,False,2025-04-23 21:38:40,nonbehav
gamma_u,0.8810788304562753,False,False,False,False,2025-04-23 21:38:40,nonbehav
gamma_v,0.3313379578133164,False,False,False,False,2025-04-23 21:38:40,nonbehav
d_u,0.018390755013661896,True,False,False,False,2025-04-23 21:43:06,otj_nonbehav
d_v,0.014875528946207563,True,False,False,False,2025-04-23 21:43:06,otj_nonbehav
gamma_u,1.065521784645858,True,False,False,False,2025-04-23 21:43:06,otj_nonbehav
gamma_v,0.27919186891185754,True,False,False,False,2025-04-23 21:43:06,otj_nonbehav
d_u,0.02917257702266688,False,False,False,False,2025-04-23 21:58:10,nonbehav
d_v,0.012293926979601194,False,False,False,False,2025-04-23 21:58:10,nonbehav
gamma_u,0.743375235232879,False,False,False,False,2025-04-23 21:58:10,nonbehav
gamma_v,0.31963282904452534,False,False,False,False,2025-04-23 21:58:10,nonbehav
d_u,0.018627228378096595,True,False,False,False,2025-04-23 22:02:47,otj_nonbehav
d_v,0.01209562010558112,True,False,False,False,2025-04-23 22:02:47,otj_nonbehav
gamma_u,1.0289764458382964,True,False,False,False,2025-04-23 22:02:47,otj_nonbehav
gamma_v,0.31857649813197497,True,False,False,False,2025-04-23 22:02:47,otj_nonbehav
d_u,0.018546795435364416,True,True,False,False,2025-04-23 22:07:10,otj_cyclical_e
d_v,0.01354080770807102,True,True,False,False,2025-04-23 22:07:10,otj_cyclical_e
gamma_u,1.0617306991234414,True,True,False,False,2025-04-23 22:07:10,otj_cyclical_e
gamma_v,0.2998066728436305,True,True,False,False,2025-04-23 22:07:10,otj_cyclical_e
d_u,0.012300248016598951,True,True,False,True,2025-04-23 22:12:22,otj_cyclical_e_disc
d_v,0.006920068522194714,True,True,False,True,2025-04-23 22:12:22,otj_cyclical_e_disc
gamma_u,0.6348686093106638,True,True,False,True,2025-04-23 22:12:22,otj_cyclical_e_disc
gamma_v,0.3454795089049758,True,True,False,True,2025-04-23 22:12:22,otj_cyclical_e_disc
d_u,0.012798365085423419,True,False,False,True,2025-04-23 22:17:35,otj_disc
d_v,0.008113692767806891,True,False,False,True,2025-04-23 22:17:35,otj_disc
gamma_u,0.5307130424526664,True,False,False,True,2025-04-23 22:17:35,otj_disc
gamma_v,0.3221899444713991,True,False,False,True,2025-04-23 22:17:35,otj_disc
d_u,0.006909344794553846,True,False,True,False,2025-04-23 22:23:57,otj_cyclical_ue
d_v,0.011277882020117673,True,False,True,False,2025-04-23 22:23:57,otj_cyclical_ue
gamma_u,1.2345404516554774,True,False,True,False,2025-04-23 22:23:57,otj_cyclical_ue
gamma_v,0.2758690676300823,True,False,True,False,2025-04-23 22:23:57,otj_cyclical_ue
d_u,0.00710522952498259,True,True,True,False,2025-04-23 22:29:33,otj_cyclical_e_ue
d_v,0.011125185596398909,True,True,True,False,2025-04-23 22:29:33,otj_cyclical_e_ue
gamma_u,1.2438564295139432,True,True,True,False,2025-04-23 22:29:33,otj_cyclical_e_ue
gamma_v,0.2728993509586173,True,True,True,False,2025-04-23 22:29:33,otj_cyclical_e_ue
d_u,0.0073643265219697105,True,False,True,True,2025-04-23 22:39:36,otj_cyclical_ue_disc
d_v,0.009829172072505735,True,False,True,True,2025-04-23 22:39:36,otj_cyclical_ue_disc
gamma_u,1.2500957808090911,True,False,True,True,2025-04-23 22:39:36,otj_cyclical_ue_disc
gamma_v,0.2943728314004008,True,False,True,True,2025-04-23 22:39:36,otj_cyclical_ue_disc
d_u,0.006305307060667511,True,True,True,True,2025-04-23 22:47:55,otj_cyclical_e_ue_disc
d_v,0.01147209224029039,True,True,True,True,2025-04-23 22:47:55,otj_cyclical_e_ue_disc
gamma_u,1.2267833272946043,True,True,True,True,2025-04-23 22:47:55,otj_cyclical_e_ue_disc
gamma_v,0.2637435134132785,True,True,True,True,2025-04-23 22:47:55,otj_cyclical_e_ue_disc
