,ipums_ordered_occ_titles,ipums_code,ACS_broad_classification,IPUMS_CPS_av_monthly_employment_whole_period
0,chief executives and legislators,10,"Management, business, and financial",1539458.22921
1,general and operations managers,20,"Management, business, and financial",967342.33222
2,advertising and promotions managers,40,"Management, business, and financial",68085.4602888
3,marketing and sales managers,50,"Management, business, and financial",970173.895254
4,public relations and fundraising managers,60,"Management, business, and financial",64527.1885517
5,administrative services managers,100,"Management, business, and financial",142534.601529
6,computer and information systems managers,110,"Management, business, and financial",594312.323587
7,financial managers,120,"Management, business, and financial",1169770.31539
8,industrial production managers,140,"Management, business, and financial",261872.415811
9,purchasing managers,150,"Management, business, and financial",198318.25181
10,"transportation, storage, and distribution managers",160,"Management, business, and financial",269405.77548
11,compensation and benefits managers,135,"Management, business, and financial",15199.3536382
12,human resources managers,136,"Management, business, and financial",217625.901556
13,training and development managers,137,"Management, business, and financial",37118.7838146
14,"farmers, ranchers, and other agricultural managers",205,"Management, business, and financial",831030.481929
15,construction managers,220,"Management, business, and financial",862871.47113
16,education administrators,230,"Management, business, and financial",851195.611367
17,architectural and engineering managers,300,"Management, business, and financial",117239.992335
18,food service managers,310,"Management, business, and financial",1076812.83534
19,"miscellaneous managers, including funeral service managers and postmasters and mail superintendents",430,"Management, business, and financial",3815768.92444
20,gaming managers,330,"Management, business, and financial",21303.6926955
21,lodging managers,340,"Management, business, and financial",147926.128152
22,medical and health services managers,350,"Management, business, and financial",578697.667692
23,natural sciences managers,360,"Management, business, and financial",17553.4987416
24,"property, real estate, and community association managers",410,"Management, business, and financial",644126.632394
25,social and community service managers,420,"Management, business, and financial",351423.367444
26,emergency management directors,425,"Management, business, and financial",6267.76232584
27,"agents and business managers of artists, performers, and athletes",500,"Management, business, and financial",47332.7506539
28,"buyers and purchasing agents, farm products",510,"Management, business, and financial",12696.5827101
29,"wholesale and retail buyers, except farm products",520,"Management, business, and financial",195617.068717
30,"purchasing agents, except wholesale, retail, and farm products",530,"Management, business, and financial",261384.8942
31,"claims adjusters, appraisers, examiners, and investigators",540,"Management, business, and financial",313616.022087
32,compliance officers,565,"Management, business, and financial",194795.373624
33,cost estimators,600,"Management, business, and financial",114008.957308
34,human resources workers,630,"Management, business, and financial",539749.47699
35,logisticians,700,"Management, business, and financial",95063.6265584
36,management analysts,710,"Management, business, and financial",789166.811249
37,"meeting, convention, and event planners",725,"Management, business, and financial",119894.677216
38,fundraisers,726,"Management, business, and financial",70274.0865798
39,"compensation, benefits, and job analysis specialists",640,"Management, business, and financial",61261.2394921
40,training and development specialists,650,"Management, business, and financial",111517.202389
41,market research analysts and marketing specialists,735,"Management, business, and financial",219426.835418
42,"business operations specialists, all other",740,"Management, business, and financial",203952.306129
43,accountants and auditors,800,"Management, business, and financial",1709745.90605
44,appraisers and assessors of real estate,810,"Management, business, and financial",85611.2749663
45,budget analysts,820,"Management, business, and financial",52100.6927281
46,credit analysts,830,"Management, business, and financial",26102.6221753
47,financial analysts,840,"Management, business, and financial",184136.531526
48,personal financial advisors,850,"Management, business, and financial",420262.755428
49,insurance underwriters,860,"Management, business, and financial",105854.188788
50,financial examiners,900,"Management, business, and financial",12498.5429787
51,credit counselors and loan officers,910,"Management, business, and financial",335102.226237
52,"tax examiners and collectors, and revenue agents",930,"Management, business, and financial",67635.3636607
53,tax preparers,940,"Management, business, and financial",105913.719691
54,"financial specialists, all other",950,"Management, business, and financial",78772.9442966
55,computer and information research scientists,1005,"Computer, engineering, and science",20156.1588989
56,computer systems analysts,1006,"Computer, engineering, and science",437751.503576
57,information security analysts,1007,"Computer, engineering, and science",55167.8536404
58,computer programmers,1010,"Computer, engineering, and science",471360.444666
59,"software developers, applications and systems software",1020,"Computer, engineering, and science",1193349.3606
60,web developers,1030,"Computer, engineering, and science",170329.272107
61,database administrators,1060,"Computer, engineering, and science",101789.355087
62,network and computer systems administrators,1105,"Computer, engineering, and science",185581.549233
63,computer network architects ,1106,"Computer, engineering, and science",100697.162264
64,computer support specialists,1050,"Computer, engineering, and science",429394.679906
65,"computer occupations, all other",1107,"Computer, engineering, and science",396023.579269
66,actuaries,1200,"Computer, engineering, and science",22224.4009191
67,"miscellaneous mathematical science occupations, including mathematicians and statisticians",1240,"Computer, engineering, and science",55959.6656921
68,operations research analysts,1220,"Computer, engineering, and science",124659.492103
69,"architects, except naval",1300,Architecture and engineering,200813.122902
70,"surveyors, cartographers, and photogrammetrists",1310,Architecture and engineering,41024.0051382
71,aerospace engineers,1320,Architecture and engineering,133828.531173
72,biomedical and agricultural engineers,1340,Architecture and engineering,13286.227727
73,chemical engineers,1350,Architecture and engineering,72378.7575022
74,civil engineers,1360,Architecture and engineering,362929.408269
75,computer hardware engineers,1400,Architecture and engineering,78428.3674742
76,electrical and electronics engineers,1410,Architecture and engineering,297570.521031
77,environmental engineers,1420,Architecture and engineering,38133.7379989
78,"industrial engineers, including health and safety",1430,Architecture and engineering,190541.766581
79,marine engineers and naval architects,1440,Architecture and engineering,10226.2664697
80,materials engineers,1450,Architecture and engineering,36698.2890371
