id,label,Interval,classification,acs_occ_code,modularity_class,median_edu,median_earnings,total_employment_2010,log_median_earnings,log_total_employment_2010,mSML
0,chief executives and legislators,,"Management, business, and financial",10,4,9.080371,117268.13,13052,11.6722183,9.476696658,3.49985011681
1,general and operations managers,,"Management, business, and financial",20,4,8.40703,76146.92,10896,11.24041991,9.296151028,3.4729286782
2,advertising and promotions managers,,"Management, business, and financial",40,4,9.132232,64923.06,605,11.08095816,6.405228458,3.59630464112
3,marketing and sales managers,,"Management, business, and financial",50,4,9.026223,76888.64,9648,11.25011342,9.174505919,3.56139615289
4,public relations and fundraising managers,,"Management, business, and financial",60,4,9.643216,77520.02,597,11.2582915,6.391917113,3.52343846989
5,administrative services managers,,"Management, business, and financial",100,4,8.123015,59100.09,1512,10.98698773,7.321188557,3.33014456683
6,computer and information systems managers,,"Management, business, and financial",110,4,9.379449,87511.14,5732,11.37952138,8.653819789,3.54795995671
7,financial managers,,"Management, business, and financial",120,4,8.82074,75238.09,12334,11.2284129,9.420114956,3.54906338664
8,industrial production managers,,"Management, business, and financial",140,4,8.056893,67541.11,2865,11.12049173,7.960323629,3.49500107487
9,purchasing managers,,"Management, business, and financial",150,4,8.756066,65875.21,2308,11.09551747,7.744136628,3.42698895308
10,"transportation, storage, and distribution managers",,"Management, business, and financial",160,4,7.476526,50267.66,2556,10.82511721,7.846198816,3.51897466693
11,compensation and benefits managers,,"Management, business, and financial",135,4,8.734178,70921.94,237,11.16933511,5.468060141,3.39163593836
12,human resources managers,,"Management, business, and financial",136,4,8.5980015,64570.47,4704,11.07551246,8.45616849,3.43167938284
13,training and development managers,,"Management, business, and financial",137,4,8.915052,59183.19,671,10.98839283,6.508769137,3.54236060825
14,"farmers, ranchers, and other agricultural managers",,"Management, business, and financial",205,4,6.7858925,14380.66,11611,9.573639527,9.359708204,3.39873693061
15,construction managers,,"Management, business, and financial",220,4,7.4997478,51594.58,7928,10.85117191,8.978156076,3.44187322946
16,education administrators,,"Management, business, and financial",230,4,9.887556,57299.2,10841,10.95604194,9.291090522,3.59931955029667
17,architectural and engineering managers,,"Management, business, and financial",300,4,9.880886,109816.88,1805,11.60656953,7.498315871,3.45804928252
18,food service managers,,"Management, business, and financial",310,4,7.0618596,30872.49,9958,10.33762078,9.206131527,3.47667547522
19,"miscellaneous managers, including funeral service managers and postmasters and mail superintendents",,"Management, business, and financial",430,4,8.541722,69312.84,36947,11.14638545,10.51723973,3.389755047875
20,gaming managers,,"Management, business, and financial",330,4,7.39726,46877.31,219,10.75528904,5.38907173,3.53653565699
21,lodging managers,,"Management, business, and financial",340,4,7.8665414,34561.25,1596,10.45048839,7.375255778,3.37904180637
22,medical and health services managers,,"Management, business, and financial",350,4,9.013264,69165.3,6484,11.14425457,8.777092883,3.51907901109
23,natural sciences managers,,"Management, business, and financial",360,4,10.206294,99219.23,286,11.50508713,5.655991811,3.47137255853
24,"property, real estate, and community association managers",,"Management, business, and financial",410,4,7.988662,43973.99,6262,10.6913536,8.742254902,3.41520870265
25,social and community service managers,,"Management, business, and financial",420,4,9.2200365,49347.66,3813,10.80664563,8.24617156,3.52507315775
26,emergency management directors,,"Management, business, and financial",425,4,8.765766,54940.54,111,10.91400679,4.709530201,3.48268506138
27,"agents and business managers of artists, performers, and athletes",,"Management, business, and financial",500,4,8.348485,43450.56,462,10.67937902,6.135564891,3.41275372825
28,"buyers and purchasing agents, farm products",,"Management, business, and financial",510,4,6.972414,33419.31,145,10.41688916,4.976733742,3.71108474576
29,"wholesale and retail buyers, except farm products",,"Management, business, and financial",520,4,7.6570797,34071.22,2712,10.43620832,7.905441649,3.48171498299
30,"purchasing agents, except wholesale, retail, and farm products",,"Management, business, and financial",530,4,8.000969,45495.94,3097,10.72537837,8.03818918,3.50628307799
31,"claims adjusters, appraisers, examiners, and investigators",,"Management, business, and financial",540,4,8.249397,44655.07,3320,10.70672313,8.107720062,3.39717971141
32,compliance officers,,"Management, business, and financial",565,4,8.731972,59097.04,2399,10.98693612,7.782807263,3.5454311399
33,cost estimators,,"Management, business, and financial",600,4,7.778121,52412.18,1618,10.86689429,7.388946098,3.33423356946
34,human resources workers,,"Management, business, and financial",630,4,8.656969,48151.37,7390,10.78210487,8.907883014,3.59249361148
35,logisticians,,"Management, business, and financial",700,4,8.138318,49474.71,1070,10.80921691,6.975413927,3.48318422379
36,management analysts,,"Management, business, and financial",710,4,9.580358,59196.2,8624,10.98861263,9.062304293,3.30183060109
37,"meeting, convention, and event planners",,"Management, business, and financial",725,4,8.745975,34135.33,1118,10.4380882,7.019296654,3.41508179959
38,fundraisers,,"Management, business, and financial",726,4,9.381739,45591.23,1150,10.72747065,7.047517221,3.50901177048
39,"compensation, benefits, and job analysis specialists",,"Management, business, and financial",640,4,8.414005,51137.56,814,10.84227454,6.701960366,3.65097935103
40,training and development specialists,,"Management, business, and financial",650,4,8.439348,47351.52,1657,10.7653542,7.412764017,3.50869921363
41,market research analysts and marketing specialists,,"Management, business, and financial",735,4,9.470937,58504.86,2701,10.97686511,7.901377354,3.62435124445
