,id,label,u_perc_change,ltu_perc_change
0,0,chief executives and legislators,-1.3556880543282788,-1.0002361289328416
1,1,general and operations managers,-1.9001610822532125,-3.241343221057913
2,2,advertising and promotions managers,-13.246265889344157,-35.61577525231222
3,3,marketing and sales managers,-2.143484038070742,-3.4987501922104847
4,4,public relations and fundraising managers,-12.673792050241222,-37.78297966474802
5,5,administrative services managers,12.127083449037302,23.47431741802417
6,6,computer and information systems managers,-9.449601991399312,-21.41174086409119
7,7,financial managers,0.9305269287037081,3.5650636900123187
8,8,industrial production managers,-9.494726084185386,-24.183584494515436
9,9,purchasing managers,-9.375164668439064,-27.535303212967808
10,10,"transportation, storage, and distribution managers",4.143399576039599,12.730686971759638
11,11,compensation and benefits managers,57.60658053321055,90.1736130446818
12,12,human resources managers,-9.172275677450452,-26.867317973532852
13,13,training and development managers,-12.927876199687361,-34.413020482211586
14,14,"farmers, ranchers, and other agricultural managers",1.5903847860903155,6.617520257174581
15,15,construction managers,1.4922185958122838,4.266548629713072
16,16,education administrators,-6.489783163665073,-13.840106182585705
17,17,architectural and engineering managers,-12.889236990886689,-37.660549563824155
18,18,food service managers,7.049845801257489,18.74551718575264
19,19,"miscellaneous managers, including funeral service managers and postmasters and mail superintendents",-5.0294574509266745,-7.562646652282223
20,20,gaming managers,-11.931606296597204,-38.283371377734355
21,21,lodging managers,-8.822659257278051,-27.766668842173324
22,22,medical and health services managers,-6.387590021788508,-14.124584693001365
23,23,natural sciences managers,-19.434122320770477,-46.777179320600666
24,24,"property, real estate, and community association managers",19.269304208518445,31.123112416108317
25,25,social and community service managers,-9.250170450677043,-25.297813460433133
26,26,emergency management directors,-20.728853599143008,-45.9524565429058
27,27,"agents and business managers of artists, performers, and athletes",-10.291895102930617,-29.607713835198297
28,28,"buyers and purchasing agents, farm products",36.739731145200366,60.95872844422189
29,29,"wholesale and retail buyers, except farm products",-7.537029887905036,-19.968926962244115
30,30,"purchasing agents, except wholesale, retail, and farm products",10.800703562826097,12.917420702017033
31,31,"claims adjusters, appraisers, examiners, and investigators",53.41735792896023,110.9173553718108
32,32,compliance officers,-10.035619976245558,-30.900080678303343
33,33,cost estimators,1.4612718055473317,4.9468312718749265
34,34,human resources workers,33.0476112623158,30.52276055322
35,35,logisticians,-12.295542702131225,-38.37101283428263
36,36,management analysts,-6.226118368825736,-13.647532587128133
37,37,"meeting, convention, and event planners",-12.51652955369161,-37.00263683775686
38,38,fundraisers,-14.980883411299656,-46.987752830388125
39,39,"compensation, benefits, and job analysis specialists",-2.8179304574698447,-12.325669725560381
40,40,training and development specialists,-11.074533003458852,-34.3420594948272
41,41,market research analysts and marketing specialists,0.047858784066482855,0.5458562254080009
42,42,"business operations specialists, all other",-11.024062418114765,-31.359199967547838
43,43,accountants and auditors,23.99213457159454,18.418041880364456
44,44,appraisers and assessors of real estate,42.47216017828043,116.28311644016866
45,45,budget analysts,36.55534683354399,48.13444616083587
46,46,credit analysts,52.617646885181244,69.12227228756947
47,47,financial analysts,-7.6317516584373015,-24.51397454472896
48,48,personal financial advisors,-1.0165727981255004,-2.9059578437290856
49,49,insurance underwriters,64.13096347679243,173.51149174140357
50,50,financial examiners,-11.721104921500334,-40.338788100229294
51,51,credit counselors and loan officers,0.8245269869250951,3.6142321950322827
52,52,"tax examiners and collectors, and revenue agents",40.34207620557929,72.92782897579768
53,53,tax preparers,52.54796243321089,80.81906318755317
