,id,label,u_perc_change,ltu_perc_change
0,0,chief executives and legislators,-1.914538756669465,-2.233851217654363
1,1,general and operations managers,-2.4744175481721418,-4.612066614087345
2,2,advertising and promotions managers,-13.623725191154085,-36.31261250900608
3,3,marketing and sales managers,-2.7460832347091846,-4.973130989766346
4,4,public relations and fundraising managers,-13.048641184407343,-38.593267162202004
5,5,administrative services managers,11.974978336158335,22.955999423493886
6,6,computer and information systems managers,-9.866393518090138,-22.352077469823083
7,7,financial managers,0.42740994040179475,2.3302604212197227
8,8,industrial production managers,-9.919901083776026,-25.22957464263401
9,9,purchasing managers,-9.74059237494878,-28.468490086823657
10,10,"transportation, storage, and distribution managers",3.920415643313953,12.02781245591167
11,11,compensation and benefits managers,55.324200136519444,69.61506469592804
12,12,human resources managers,-9.490969223137284,-27.709489013357913
13,13,training and development managers,-13.237577499964653,-35.09799068851089
14,14,"farmers, ranchers, and other agricultural managers",0.775872301181411,4.13266280185788
15,15,construction managers,0.7059054737532212,2.4260173814055226
16,16,education administrators,-6.949263987692151,-15.00102871440896
17,17,architectural and engineering managers,-13.177095369941432,-38.25261584051585
18,18,food service managers,5.565342192857126,15.028746054922948
19,19,"miscellaneous managers, including funeral service managers and postmasters and mail superintendents",-5.344674451712896,-8.039695127855465
20,20,gaming managers,-10.154072712112836,-29.289173948108722
21,21,lodging managers,-9.171743585768521,-28.609222146097554
22,22,medical and health services managers,-6.858422685826459,-15.322756381416795
23,23,natural sciences managers,-19.464886686293525,-46.419586418987265
24,24,"property, real estate, and community association managers",19.234950097452106,31.044878197515622
25,25,social and community service managers,-9.584432303865633,-26.15694899516058
26,26,emergency management directors,-21.011511713960925,-46.2779211119513
27,27,"agents and business managers of artists, performers, and athletes",-10.804644596132364,-30.40966647153268
28,28,"buyers and purchasing agents, farm products",35.33279458511329,52.403472436931345
29,29,"wholesale and retail buyers, except farm products",-7.666949742681669,-19.88577551850612
30,30,"purchasing agents, except wholesale, retail, and farm products",10.930169791091775,13.341112808511026
31,31,"claims adjusters, appraisers, examiners, and investigators",49.23706058748682,93.62402492017154
32,32,compliance officers,-10.322726476094532,-31.4125316217512
33,33,cost estimators,1.1932554495958045,4.02131786192075
34,34,human resources workers,33.037277810776395,30.444410439653073
35,35,logisticians,-12.57998943058797,-38.74972227905583
36,36,management analysts,-6.632935628482522,-14.588482289383068
37,37,"meeting, convention, and event planners",-12.852333876735972,-37.43066877166374
38,38,fundraisers,-15.546323675922395,-47.60969493118525
39,39,"compensation, benefits, and job analysis specialists",-3.013175506089836,-13.042616131691412
40,40,training and development specialists,-11.407233757039577,-35.19383019487572
41,41,market research analysts and marketing specialists,-0.22433646646412503,-0.4260395501086602
42,42,"business operations specialists, all other",-11.314706556165262,-31.944271130147786
43,43,accountants and auditors,24.069307078982806,18.52230086796203
44,44,appraisers and assessors of real estate,39.86165466069101,100.91583510892872
45,45,budget analysts,36.54516528620658,47.97395911155726
46,46,credit analysts,49.86289637245815,58.529502131759905
47,47,financial analysts,-7.9719952988681335,-25.33998006946065
48,48,personal financial advisors,-1.4051312434386678,-4.303273822553705
49,49,insurance underwriters,58.011868599538396,139.4173933396414
50,50,financial examiners,-10.099899023378295,-34.39888648261527
51,51,credit counselors and loan officers,0.6871159841451089,3.057288702603121
52,52,"tax examiners and collectors, and revenue agents",36.94243337405385,57.88343555306465
53,53,tax preparers,47.39170932171196,64.92642914835729
54,54,"financial specialists, all other",-5.5245225739262,-17.418531780378128
55,55,computer and information research scientists,-9.834680323575082,-34.54462385750235
56,56,computer systems analysts,-6.219593526700526,-15.893625802049387
57,57,information security analysts,-12.035482231727823,-38.939284123054556
58,58,computer programmers,-4.835555416391107,-13.518519969505654
59,59,"software developers, applications and systems software",-4.939556271596722,-9.481268725056635
60,60,web developers,-11.009080879865989,-33.419531294120006
61,61,database administrators,-10.626331270476005,-35.423110166836075
62,62,network and computer systems administrators,-9.618691907589714,-32.1979785231877
63,63,computer network architects ,-8.004283841787023,-30.588505824101265
64,64,computer support specialists,-6.596236185681876,-18.66865373589528
65,65,"computer occupations, all other",-5.8188737555383145,-15.4706316426585
66,66,actuaries,-13.20963280985713,-47.823308306909055
67,67,"miscellaneous mathematical science occupations, including mathematicians and statisticians",-4.438962842693332,-17.293896977149647
68,68,operations research analysts,-10.758111571707493,-34.144330509412946
69,69,"architects, except naval",-11.66820768118748,-35.86721157957393
70,70,"surveyors, cartographers, and photogrammetrists",1.9346728661063015,3.7484964377578764
71,71,aerospace engineers,-8.97020719682827,-32.45732164160089
72,72,biomedical and agricultural engineers,-11.002599875233923,-41.100782975223034
73,73,chemical engineers,-10.47518175496966,-39.014497500342806
74,74,civil engineers,-7.993681974975898,-23.47437652058244
75,75,computer hardware engineers,-5.2472954713191555,-17.67099986321072
76,76,electrical and electronics engineers,-6.348096728050707,-21.201932680833615
77,77,environmental engineers,-12.539491671050275,-45.28530420558609
78,78,"industrial engineers, including health and safety",-8.207656577031758,-30.02154389486803
79,79,marine engineers and naval architects,-12.482432875855844,-50.81358097820163
80,80,materials engineers,-11.25280232647045,-46.30994474868127
81,81,mechanical engineers,-7.332602571522638,-25.442008854836462
82,82,"petroleum, mining and geological engineers, including mining safety engineers",-10.834817762088786,-38.58287427493935
83,83,"miscellaneous engineers, including nuclear engineers",-7.194365480421784,-20.589731147160045
84,84,drafters,2.9245987908824533,2.282041284512144
