,id,label,u_perc_change,ltu_perc_change
0,0,chief executives and legislators,-3.1795682410580404,-8.256104940648383
1,1,general and operations managers,-2.994168793643533,-7.85166220341776
2,2,advertising and promotions managers,-3.1513219463145394,-8.194486586753763
3,3,marketing and sales managers,-3.181304533562227,-8.259892605082209
4,4,public relations and fundraising managers,-3.179568241058116,-8.256104940648566
5,5,administrative services managers,4.204347501475718,-0.20634270651948897
6,6,computer and information systems managers,-3.156091384610166,-8.204890957997726
7,7,financial managers,-3.114735704032169,-8.114674914280965
8,8,industrial production managers,-3.1620181232882727,-8.21781994159077
9,9,purchasing managers,-3.162018123288274,-8.217819941590957
10,10,"transportation, storage, and distribution managers",-2.1185976558070654,-5.941632844835495
11,11,compensation and benefits managers,28.854028559210978,22.130801983260433
12,12,human resources managers,-3.190508184535258,-8.279970064017116
13,13,training and development managers,-3.189592083278398,-8.277971619550273
14,14,"farmers, ranchers, and other agricultural managers",-3.1417074366587854,-8.17351285324741
15,15,construction managers,-3.1122442187241677,-8.10923982182632
16,16,education administrators,-3.1854962961563897,-8.269036795968642
17,17,architectural and engineering managers,-3.177247934638799,-8.251043269254536
18,18,food service managers,-3.0971536537527506,-8.076320255514347
19,19,"miscellaneous managers, including funeral service managers and postmasters and mail superintendents",-2.360613251187386,-6.469581828573826
20,20,gaming managers,-3.0869563495793724,-8.054075175122826
21,21,lodging managers,-3.192337562019308,-8.283960790243373
22,22,medical and health services managers,-3.188445629576526,-8.2754706688744
23,23,natural sciences managers,-3.1760855249735536,-8.248507511174633
24,24,"property, real estate, and community association managers",10.61163896200618,5.565079586333246
25,25,social and community service managers,-3.189133678885023,-8.276971625590397
26,26,emergency management directors,-3.1933649350710227,-8.286201970435705
27,27,"agents and business managers of artists, performers, and athletes",-2.874449640828599,-7.590498847546863
28,28,"buyers and purchasing agents, farm products",16.755387404567426,11.125617511129644
29,29,"wholesale and retail buyers, except farm products",-2.7919686581915335,-7.410569323201626
30,30,"purchasing agents, except wholesale, retail, and farm products",7.175284502129498,2.4655588666129074
31,31,"claims adjusters, appraisers, examiners, and investigators",32.18027223381922,25.16915947466905
32,32,compliance officers,-3.1009492298296557,-8.084600178671092
33,33,cost estimators,-2.176179903060552,-6.067246604854048
34,34,human resources workers,30.479877121812578,23.615062358249585
35,35,logisticians,-3.1830374621264585,-8.263672931192916
36,36,management analysts,-3.0356111143250875,-7.942067249643215
37,37,"meeting, convention, and event planners",-3.153709796154242,-8.19969560187601
38,38,fundraisers,-3.1967809529125066,-8.293653899907248
39,39,"compensation, benefits, and job analysis specialists",-2.4324074382814738,-6.626198463361624
40,40,training and development specialists,-3.1807261436486214,-8.258630866694794
41,41,market research analysts and marketing specialists,-1.8472399806110629,-5.648252891590641
42,42,"business operations specialists, all other",-2.8902018972153702,-7.624861871706226
43,43,accountants and auditors,25.796112320585497,19.342763350091307
44,44,appraisers and assessors of real estate,20.348722809777165,14.3871027789591
45,45,budget analysts,25.79611232058565,19.34276335009122
46,46,credit analysts,32.18027223381915,25.169159474669005
47,47,financial analysts,-2.8902018972154258,-7.624861871706233
48,48,personal financial advisors,-2.1476824329254587,-6.005080320184247
49,49,insurance underwriters,33.96897171347626,26.80664133127002
50,50,financial examiners,-2.9799572858539665,-7.820660271153802
51,51,credit counselors and loan officers,-2.335770569893793,-6.415388344382169
52,52,"tax examiners and collectors, and revenue agents",24.356809967189825,18.032125908283145
53,53,tax preparers,33.96897171347624,26.806641331270008
54,54,"financial specialists, all other",-2.721157464993239,-7.256097056951126
55,55,computer and information research scientists,-3.1795682410580213,-8.256104940648436
56,56,computer systems analysts,-3.189362910581372,-8.277471686922455
57,57,information security analysts,-3.1967809529124214,-8.293653899907216
58,58,computer programmers,-2.4089190338552213,-6.574959289179688
59,59,"software developers, applications and systems software",-3.0933426322377287,-8.068006638647077
60,60,web developers,-3.196780952912454,-8.29365389990723
61,61,database administrators,-3.1620181232881874,-8.217819941590838
62,62,network and computer systems administrators,-3.16201812328838,-8.217819941590925
63,63,computer network architects ,-3.1967809529124445,-8.29365389990722
64,64,computer support specialists,-3.196780952912412,-8.29365389990721
