"","PRUNEDUR_MO","Category","Probability"
"1",0,"0",0.128315509841758
"2",0,"1 to 10",0.670070833904532
"3",0,"11 to 20",0.120757060563644
"4",0,"21 to 80",0.0632341766800283
"5",0,"81 or more",0.017622419010038
"6",1,"0",0.117573945436487
"7",1,"1 to 10",0.664290925036999
"8",1,"11 to 20",0.129554735167964
"9",1,"21 to 80",0.0691468867443417
"10",1,"81 or more",0.0194335076142077
"11",2,"0",0.108454778980922
"12",2,"1 to 10",0.657489797467941
"13",2,"11 to 20",0.137846622401214
"14",2,"21 to 80",0.0749628982879837
"15",2,"81 or more",0.0212459028619386
"16",3,"0",0.100744340530247
"17",3,"1 to 10",0.65011363006178
"18",3,"11 to 20",0.145529920150774
"19",3,"21 to 80",0.0805843510015658
"20",3,"81 or more",0.023027758255633
"21",4,"0",0.0942610548484956
"22",4,"1 to 10",0.642556288134027
"23",4,"11 to 20",0.152522675346093
"24",4,"21 to 80",0.0859145154754392
"25",4,"81 or more",0.0247454661959444
"26",5,"0",0.0888524399703441
"27",5,"1 to 10",0.635158821943161
"28",5,"11 to 20",0.158763462971588
"29",5,"21 to 80",0.0908605898265711
"30",5,"81 or more",0.0263646852883356
"31",6,"0",0.0843919898938327
"32",6,"1 to 10",0.628210796469763
"33",6,"11 to 20",0.164209599374925
"34",6,"21 to 80",0.0953361583862035
"35",6,"81 or more",0.0278514558752762
"36",7,"0",0.0807762173042616
"37",7,"1 to 10",0.621952901155157
"38",7,"11 to 20",0.168834297768732
"39",7,"21 to 80",0.0992632309379766
"40",7,"81 or more",0.0291733528338729
"41",8,"0",0.0779220095724519
"42",8,"1 to 10",0.616580321741701
"43",8,"11 to 20",0.172623211536356
"44",8,"21 to 80",0.102573835109478
"45",8,"81 or more",0.0303006220400137
"46",9,"0",0.0757643735054265
"47",9,"1 to 10",0.612246404274064
"48",9,"11 to 20",0.175570792355452
"49",9,"21 to 80",0.10521118233248
"50",9,"81 or more",0.0312072475325764
"51",10,"0",0.0742545979628525
"52",10,"1 to 10",0.609066204434135
"53",10,"11 to 20",0.177676834220079
"54",10,"21 to 80",0.107130463383455
"55",10,"81 or more",0.0318718999994787
"56",11,"0",0.0733588382333308
"57",11,"1 to 10",0.607119588848414
"58",11,"11 to 20",0.17894350008433
"59",11,"21 to 80",0.10829934958033
"60",11,"81 or more",0.0322787232535948
"61",12,"0",0.0730571146133471
"62",12,"1 to 10",0.606453632565901
"63",12,"11 to 20",0.179373049990352
"64",12,"21 to 80",0.108698279533826
"65",12,"81 or more",0.0324179232965736
"66",13,"0",0.073342714823783
"67",13,"1 to 10",0.607084133611232
"68",13,"11 to 20",0.178966417301529
"69",13,"21 to 80",0.108320600439612
"70",13,"81 or more",0.0322861338238436
"71",14,"0",0.0742219922277601
"72",14,"1 to 10",0.608996138944222
"73",14,"11 to 20",0.177722716301058
"74",14,"21 to 80",0.107172610404971
"75",14,"81 or more",0.0318865421219896
"76",15,"0",0.0757145568359809
"77",15,"1 to 10",0.612143446403422
"78",15,"11 to 20",0.175639708444442
"79",15,"21 to 80",0.105273518453008
"80",15,"81 or more",0.0312287698631466
"81",16,"0",0.0778538619562214
"82",16,"1 to 10",0.616447116160683
"83",16,"11 to 20",0.172715201445841
"84",16,"21 to 80",0.102655306438006
"85",16,"81 or more",0.030328513999249
"86",17,"0",0.0806881944120934
"87",17,"1 to 10",0.621793095393837
"88",17,"11 to 20",0.168949299554668
"89",17,"21 to 80",0.0993624471191294
"90",17,"81 or more",0.0292069635202723
"91",18,"0",0.084282078687732
"92",18,"1 to 10",0.628029133212198
"93",18,"11 to 20",0.164347360258697
"94",18,"21 to 80",0.0954514098856319
"95",18,"81 or more",0.0278900179557408
"96",19,"0",0.0887181027286186
"97",19,"1 to 10",0.634961239506411
"98",19,"11 to 20",0.158923440632736
"99",19,"21 to 80",0.090989874349136
"100",19,"81 or more",0.0264073427830974
"101",20,"0",0.0940991619738495
"102",20,"1 to 10",0.642350018985811
"103",20,"11 to 20",0.152703938752063
"104",20,"21 to 80",0.0860555754082097
"105",20,"81 or more",0.0247913048800669
"106",21,"0",0.10055109343971
"107",21,"1 to 10",0.64990728532689
"108",21,"11 to 20",0.145731060961633
"109",21,"21 to 80",0.080734723008005
"110",21,"81 or more",0.0230758372637625
"111",22,"0",0.108225626011421
"112",22,"1 to 10",0.657293423832787
"113",22,"11 to 20",0.138065689113415
"114",22,"21 to 80",0.0751199750202814
"115",22,"81 or more",0.0212952860220965
"116",23,"0",0.117303496360148
"117",23,"1 to 10",0.664116019363599
"118",23,"11 to 20",0.129789202000074
"119",23,"21 to 80",0.0693079892143998
"120",23,"81 or more",0.019483293061779
"121",24,"0",0.127997458682423
"122",24,"1 to 10",0.669930300072838
"123",24,"11 to 20",0.121003841165497
"124",24,"21 to 80",0.063396634329179
"125",24,"81 or more",0.0176717657500636
"126",25,"0",0.140554734557398
"127",25,"1 to 10",0.674241977333902
"128",25,"11 to 20",0.111831316548619
"129",25,"21 to 80",0.057481992892018
"130",25,"81 or more",0.015889978668063
"131",26,"0",0.155258189944259
"132",26,"1 to 10",0.67651311185703
"133",26,"11 to 20",0.102409523495647
"134",26,"21 to 80",0.0516553308907173
"135",26,"81 or more",0.0141638438123468
"136",27,"0",0.172425178525288
"137",27,"1 to 10",0.676171739483392
"138",27,"11 to 20",0.0928874740103874
"139",27,"21 to 80",0.0460002336671447
"140",27,"81 or more",0.0125153743137874
"141",28,"0",0.192402560981718
"142",28,"1 to 10",0.672626178932427
"143",28,"11 to 20",0.083418798112881
"144",28,"21 to 80",0.0405901079582803
"145",28,"81 or more",0.010962354014694
"146",29,"0",0.215555944933241
"147",29,"1 to 10",0.665285218575046
"148",29,"11 to 20",0.0741543990811956
"149",29,"21 to 80",0.0354862252438722
"150",29,"81 or more",0.00951821216664561
