"","date","ue","eu","ee","en","un","ne","nu","u","Etotal","Utotal","LFtotal","NILFtotal","EEtotal","ENtotal","EUtotal","UEtotal","UNtotal","NEtotal","NUtotal","EE","EU","EN","UE","UN","NE","NU"
"1","1996-01-01",0.283685765300639,0.0141302211684739,0.0272565998012101,0,0,0,0,0.0627894748138764,88670144.0028005,5940556.176,94610700.1788005,51429628.8891997,2416846.6294,0,1252928.7458,1685251.2251,0,0,0,0.0255451722144801,0.0132429920023015,0,0.0178124802153997,0,0,0
"2","1996-02-01",0.255821025920568,0.0128518272522796,0.0258284201788542,0,0,0,0,0.0594091833309181,89326972.8471001,5642030.9578,94969003.8049006,50972312.1442006,2307174.588,0,1148014.824,1443350.1479,0,0,0,0.0242939748293005,0.0120883106909115,0,0.0151981182288186,0,0,0
"3","1996-03-01",0.25483779741513,0.0122124450322725,0.0241261050313195,0,0,0,2.87525121323467,0.0578951969695523,90665313.1436012,5571658.42469999,96236971.568301,51319509.0284995,2187400.8676,0,1107245.1531,1419869.1609,0,0,147556480.596801,0.0227293194284232,0.0115054031216492,0,0.0147538844766358,0,0,1.53326188669681
"4","1996-04-01",0.303104599140126,0.013659712165017,0.0300288086336616,1,1,0,0,0.0529590548670279,90351685.9060009,5052516.3836,95404202.2896009,50510232.2812001,2713153.4858,90351685.9060009,1234178.0231,1531440.9531,5052516.3836,0,0,0.0284385113096401,0.0129363067190021,0.947040945132972,0.0160521330963105,0.0529590548670279,0,0
"5","1996-05-01",0.266593199334295,0.0136775521669527,0.0300820325227487,1,1,0,0,0.0536973992023184,91406113.5968995,5186787.5743,96592901.1711996,49877015.4785003,2749681.682,91406113.5968995,1250211.8871,1382762.2937,5186787.5743,0,0,0.0284667056135575,0.0129431031881333,0.94630260079768,0.0143153614492769,0.0536973992023184,0,0
"6","1996-06-01",0.284687769225027,0.0141920968786372,0.0302102247055627,0,0,0,0,0.054935424716908,92674273.9813015,5387039.9279,98061313.9092012,48902492.8051996,2799710.6414,0,1315242.2745,1533624.3798,0,0,0,0.0285506131805695,0.0134124480089858,0,0.0156394435140859,0,0,0
"7","1996-07-01",0.317984353549213,0.0128360711537027,0.0326748490345577,0,0,0,0,0.0572659634111637,92853839.8414997,5640365.5629,98494205.4043998,48109738.2902997,3033985.1991,0,1191878.4951,1793547.9973,0,0,0,0.0308036923252794,0.0121010011726716,0,0.0182096803556718,0,0,0
"8","1996-08-01",0.300564055287951,0.0128199804815085,0.0314869550072809,0,0,0,0,0.0508825808002991,92919628.1006997,4981460.0271,97901088.1278001,49311026.2488001,2925756.1493,0,1191227.8186,1497247.827,0,0,0,0.0298848174749674,0.0121676667887998,0,0.0152934748288547,0,0,0
"9","1996-09-01",0.302956701663548,0.0113367270392024,0.0271827053210106,0,0,0,0,0.0508538036731566,92293831.8601003,4944962.56090001,97238794.4210008,50323663.6342999,2508796.0344,0,1046309.9792,1498109.5473,0,0,0,0.0258003613613105,0.0107602113480546,0,0.0154065006278652,0,0,0
"10","1996-10-01",0.288897072934305,0.0149852414635444,0.028578615204324,1,1,0,0,0.0480795612280502,93186697.1110993,4706670.1448,97893367.2558991,50090660.4460999,2663146.7589,93186697.1110993,1396425.1574,1359743.2281,4706670.1448,0,0,0.0272045679247949,0.0142647576290809,0.951920438771952,0.0138900445067494,0.0480795612280502,0,0
"11","1996-11-01",0.222941564896707,0.0108410399761239,0.0202729079600925,0,0,0,0,0.0514826756382688,93963581.6899011,5100061.40500001,99063643.094901,51076748.1536003,1904915.0432,0,1018662.9454,1137015.6707,0,0,0,0.0192292044153386,0.0102829142314516,0,0.0114776282718652,0,0,0
"12","1996-12-01",0.250728882165818,0.0189288350779024,0.0284727597364576,1,1,0,0,0.04907041215433,92558492.0777996,4776256.2157,97334748.2934997,50650471.2092999,2635395.7065,92558492.0777996,1752024.4316,1197545.3819,4776256.2157,0,0,0.0270755896810183,0.0179999893390283,0.950929587845669,0.0123033695868711,0.04907041215433,0,0
"13","1997-01-01",0.27290855643773,0.0129435581946554,0.026143792471498,0,0,0,0,0.0600480629668432,91499469.681299,5845369.0028,97344838.6840996,51573961.68,2392143.1466,0,1184328.7106,1595251.2164,0,0,0,0.0245739083749772,0.0121663225971677,0,0.0163876301811631,0,0,0
"14","1997-02-01",0.266980738947731,0.0114671857949913,0.0261747649357111,1,1,0,0,0.0559283174461554,91756929.599901,5435827.36500002,97192756.9649011,51173210.9726,2401716.0635,91756929.599901,1052193.7597,1451261.2067,5435827.36500002,0,0,0.0247108543733082,0.010825845387635,0.944071682553845,0.0149317835198778,0.0559283174461554,0,0
"15","1997-03-01",0.272166453931769,0.0111768897092888,0.0230747283443674,0,0,0,0,0.0541909491637222,93265596.7638003,5343733.18640001,98609329.9502002,50798638.4537999,2152078.3092,0,1042419.2887,1454384.9121,0,0,0,0.0218242869136911,0.0105712034472442,0,0.014748958469087,0,0,0
