"","year","quarter","value","value_smooth"
"1",2000,1,27.6521981615092,27.9350770625387
"2",2000,2,28.2481839451584,28.152691610572
"3",2000,3,29.2499380042541,28.5719767822593
"4",2000,4,29.6494283726039,29.212010849015
"5",2001,1,28.2357757413688,30.1769727362589
"6",2001,2,32.0029793175384,31.2896637929243
"7",2001,3,32.6774746482084,32.6167721439549
"8",2001,4,34.986073992168,33.7224795287137
"9",2002,1,32.9764091533844,34.6074545711025
"10",2002,2,35.6035438315271,34.9751227223186
"11",2002,3,35.3323354415213,35.1045278593996
"12",2002,4,35.7053230378896,35.1606256441965
"13",2003,1,33.7940789418119,35.3110081220611
"14",2003,2,35.8818153656014,35.435232078504
"15",2003,3,36.0048354332455,35.4935399453668
"16",2003,4,36.0592713695106,35.4724075062002
"17",2004,1,33.6661117294661,35.2198703425608
"18",2004,2,35.6365492890546,34.8259564228096
"19",2004,3,34.5465505651187,34.4242430821039
"20",2004,4,34.4170534372013,33.943591334167
"21",2005,1,32.3357453839837,33.454233550218
"22",2005,2,33.7967023189122,32.9711297887907
"23",2005,3,32.235634416702,32.787122877973
"24",2005,4,33.2588085467738,32.6876570233535
"25",2006,1,31.6732957476382,32.5667509611535
"26",2006,2,33.2009119020458,32.2127225529432
"27",2006,3,31.7358436289163,31.8676361227143
"28",2006,4,31.5016756984135,31.6646236590506
"29",2007,1,30.7265962975563,31.5518499121118
"30",2007,2,32.5062022289643,31.5982832788913
"31",2007,3,31.657458957118,31.7347208573589
"32",2007,4,32.4097664005009,31.7787140461633
"33",2008,1,30.5900394730943,32.0873870643232
"34",2008,2,33.232793406553,32.5903008859064
"35",2008,3,33.4210810597937,33.5428565407787
"36",2008,4,35.1128725170422,34.6408240601285
"37",2009,1,34.8078833334592,35.6520124449012
"38",2009,2,37.010192778093,36.2791893751652
"39",2009,3,36.4030268574567,36.360882558767
"40",2009,4,36.7872301316419,36.234070949767
"41",2010,1,35.1074627353013,35.949470328467
"42",2010,2,35.7438530399888,35.9304765963381
"43",2010,3,35.9343469770716,35.9231928315928
"44",2010,4,37.05699431959,35.9397234047183
"45",2011,1,34.8448807874542,35.8217876799615
"46",2011,2,35.6149186798678,35.6115496184113
"47",2011,3,35.6088366861127,35.2348143971311
"48",2011,4,35.4542834282481,35.0632672850421
"49",2012,1,33.9601096927962,34.9719725933463
"50",2012,2,35.1153081465041,34.9368140328318
"51",2012,3,35.3659847330862,34.9532499212123
"52",2012,4,35.4880574069152,35.0508373053583
"53",2013,1,33.960514581845,35.2028685882394
"54",2013,2,35.6575804124877,35.3026187533048
"55",2013,3,36.1167633079451,35.3605107696919
"56",2013,4,35.0725688968375,35.3356331548187
"57",2014,1,34.6540050150059,34.9884816077488
"58",2014,2,34.8519836084292,34.6574104534206
"59",2014,3,33.9243539520599,34.2830011028065
"60",2014,4,34.6545645317685,33.8418806523115
"61",2015,1,32.846920719815,33.4604231715407
"62",2015,2,33.0821379009844,33.1577642561936
"63",2015,3,32.7678560582917,33.0482017017879
"64",2015,4,33.9049433588434,33.1459701739398
"65",2016,1,32.5861682469802,33.253792084524
"66",2016,2,33.3716769768931,33.1038136584079
"67",2016,3,32.8849511430271,32.7697366010123
"68",2016,4,32.8560451736543,32.4614036754638
"69",2017,1,30.9398586929835,32.3961213798517
"70",2017,2,33.354829558135,32.3636524424234
"71",2017,3,32.345860160566,32.3377381128078
"72",2017,4,32.6265037440678,32.2484159281388
"73",2018,1,30.9689787825178,31.9972200209228
"74",2018,2,32.4300674967819,31.7284251948405
"75",2018,3,31.4368493422871,31.5739145359312
"76",2018,4,31.9040846925668,31.6676297788562
"77",2019,1,30.906204608411,31.8424140583695
"78",2019,2,32.2549559408143,32.6487517490476
"79",2019,3,32.8730171394038,32.742371546233
"80",2019,4,32.7351011627229,29.7503800372248
"81",2020,1,29.5539022613815,26.5375605996598
"82",2020,2,16.7403637843364,24.0332842685048
"83",2020,3,23.5904622184184,24.3341807137345
"84",2020,4,28.957213939308,25.7694351938437
"85",2021,1,28.8709362951945,28.9766221737361
"86",2021,2,30.0591955481956,30.1638333705645
"87",2021,3,31.2066205894372,30.7456852141888
"88",2021,4,31.0510788972443,30.763302041389
"89",2022,1,29.9223890378936,30.7283075681237
"90",2022,2,31.1678963039969,30.71693018664
"91",2022,3,30.532911464554,31.1172703360126
"92",2022,4,32.2739648925613,31.7921005078035
"93",2023,1,32.0658783789764,32.4683940286892
"94",2023,2,33.6147417536313,32.889099163504
"95",2023,3,32.6109770463733,32.9658545752816
"96",2023,4,33.2854155929688,32.9734449332541
"97",2024,1,32.5837746565419,33.0996758739522
"98",2024,2,33.5149121035442,33.46860119471
"99",2024,3,33.6101364374081,34.0186134865236
"100",2024,4,35.0980322026818,34.8096149382199
