"","acs_occ_code","label","OCC2010_cps","major_cat","OCC2010_desc","OCC2010","SOC2010","SOC_major","SOC_minor","SOC_broad"
"1",10,"chief executives and legislators",10,NA,"Chief executives",10,"11-1011","11","11-1000","11-1010"
"2",20,"general and operations managers",20,NA,"General and operations managers",20,"11-1021","11","11-1000","11-1020"
"3",40,"advertising and promotions managers",30,NA,"Advertising and promotions managers",40,"11-2011","11","11-2000","11-2010"
"4",50,"marketing and sales managers",30,NA,"Marketing and sales managers",50,"11-2020","11","11-2000","11-2020"
"5",60,"public relations and fundraising managers",30,NA,"Public relations and fundraising managers",60,"11-2031","11","11-2000","11-2030"
"6",100,"administrative services managers",100,NA,"Administrative services managers",100,"11-3011","11","11-3000","11-3010"
"7",110,"computer and information systems managers",110,NA,"Computer and information systems managers",110,"11-3021","11","11-3000","11-3020"
"8",120,"financial managers",120,NA,"Financial managers",120,"11-3031","11","11-3000","11-3030"
"9",135,"compensation and benefits managers",130,NA,"Compensation and benefits managers",135,"11-3111","11","11-3000","11-3110"
"10",136,"human resources managers",130,NA,"Human resources managers",136,"11-3121","11","11-3000","11-3120"
"11",137,"training and development managers",130,NA,"Training and development managers",137,"11-3131","11","11-3000","11-3130"
"12",140,"industrial production managers",140,NA,"Industrial production managers",140,"11-3051","11","11-3000","11-3050"
"13",150,"purchasing managers",150,NA,"Purchasing managers",150,"11-3061","11","11-3000","11-3060"
"14",160,"transportation, storage, and distribution managers",160,NA,"Transportation, storage, and distribution managers",160,"11-3071","11","11-3000","11-3070"
"15",205,"farmers, ranchers, and other agricultural managers",205,NA,"Farmers, ranchers, and other agricultural managers",205,"11-9013","11","11-9000","11-9010"
"16",220,"construction managers",220,NA,"Construction managers",220,"11-9021","11","11-9000","11-9020"
"17",230,"education administrators",230,NA,"Education administrators",230,"11-9030","11","11-9000","11-9030"
"18",300,"architectural and engineering managers",300,NA,"Architectural and engineering managers",300,"11-9041","11","11-9000","11-9040"
"19",310,"food service managers",310,NA,"Food service managers",310,"11-9051","11","11-9000","11-9050"
"20",330,"gaming managers",330,NA,"Gaming managers",330,"11-9071","11","11-9000","11-9070"
"21",340,"lodging managers",330,NA,"Lodging managers",340,"11-9081","11","11-9000","11-9080"
"22",350,"medical and health services managers",350,NA,"Medical and health services managers",350,"11-9111","11","11-9000","11-9110"
"23",360,"natural sciences managers",360,NA,"Natural sciences managers",360,"11-9121","11","11-9000","11-9120"
"24",410,"property, real estate, and community association managers",410,NA,"Property, real estate, and community association managers",410,"11-9141","11","11-9000","11-9140"
"25",420,"social and community service managers",420,NA,"Social and community service managers",420,"11-9151","11","11-9000","11-9150"
"26",425,"emergency management directors",420,NA,"Emergency management directors",425,"11-9161","11","11-9000","11-9160"
"27",430,"miscellaneous managers, including funeral service managers and postmasters and mail superintendents",430,NA,"Managers, all other",430,"11-9199","11","11-9000","11-9190"
"28",500,"agents and business managers of artists, performers, and athletes",500,NA,"Agents and business managers of artists, performers, and athletes",500,"13-1011","13","13-1000","13-1010"
"29",510,"buyers and purchasing agents, farm products",510,NA,"Buyers and purchasing agents, farm products",510,"13-1021","13","13-1000","13-1020"
"30",520,"wholesale and retail buyers, except farm products",520,NA,"Wholesale and retail buyers, except farm products",520,"13-1022","13","13-1000","13-1020"
"31",530,"purchasing agents, except wholesale, retail, and farm products",530,NA,"Purchasing agents, except wholesale, retail, and farm products",530,"13-1023","13","13-1000","13-1020"
"32",540,"claims adjusters, appraisers, examiners, and investigators",540,NA,"Claims adjusters, appraisers, examiners, and investigators",540,"13-1030","13","13-1000","13-1030"
"33",565,"compliance officers",560,NA,"Compliance officers",565,"13-1041","13","13-1000","13-1040"
"34",600,"cost estimators",600,NA,"Cost estimators",600,"13-1051","13","13-1000","13-1050"
"35",630,"human resources workers",620,NA,"Human resources workers",630,"13-1070","13","13-1000","13-1070"
"36",640,"compensation, benefits, and job analysis specialists",620,NA,"Compensation, benefits, and job analysis specialists",640,"13-1141","13","13-1000","13-1140"
"37",650,"training and development specialists",620,NA,"Training and development specialists",650,"13-1151","13","13-1000","13-1150"
"38",700,"logisticians",700,NA,"Logisticians",700,"13-1081","13","13-1000","13-1080"
"39",710,"management analysts",710,NA,"Management analysts",710,"13-1111","13","13-1000","13-1110"
"40",725,"meeting, convention, and event planners",720,NA,"Meeting, convention, and event planners",725,"13-1121","13","13-1000","13-1120"
"41",726,"fundraisers",720,NA,"Fundraisers",726,"13-1131","13","13-1000","13-1130"
"42",735,"market research analysts and marketing specialists",730,NA,"Market research analysts and marketing specialists",735,"13-1161","13","13-1000","13-1160"
"43",740,"business operations specialists, all other",730,NA,"Business operations specialists, all other",740,"13-1199","13","13-1000","13-1190"
"44",800,"accountants and auditors",800,NA,"Accountants and auditors",800,"13-2011","13","13-2000","13-2010"
"45",810,"appraisers and assessors of real estate",810,NA,"Appraisers and assessors of real estate",810,"13-2021","13","13-2000","13-2020"
"46",820,"budget analysts",820,NA,"Budget analysts",820,"13-2031","13","13-2000","13-2030"
"47",830,"credit analysts",830,NA,"Credit analysts",830,"13-2041","13","13-2000","13-2040"
"48",840,"financial analysts",840,NA,"Financial analysts",840,"13-2051","13","13-2000","13-2050"
"49",850,"personal financial advisors",850,NA,"Personal financial advisors",850,"13-2052","13","13-2000","13-2050"
