"","acs_occ_code","OCC2010_cps","acs_occ_code_label","major_cat","OCC2010_desc","OCC2010","SOC2010","SOC_major","SOC_minor","SOC_broad"
"1",10,10,"Chief executives and legislators/public administration",NA,"Chief executives",10,"11-1011","11","11-1000","11-1010"
"2",20,20,"General and Operations Managers",NA,"General and operations managers",20,"11-1021","11","11-1000","11-1020"
"3",40,30,"40",NA,"Advertising and promotions managers",40,"11-2011","11","11-2000","11-2010"
"4",50,30,"50",NA,"Marketing and sales managers",50,"11-2020","11","11-2000","11-2020"
"5",60,30,"60",NA,"Public relations and fundraising managers",60,"11-2031","11","11-2000","11-2030"
"6",100,100,"Administrative Services Managers",NA,"Administrative services managers",100,"11-3011","11","11-3000","11-3010"
"7",110,110,"Computer and Information Systems Managers",NA,"Computer and information systems managers",110,"11-3021","11","11-3000","11-3020"
"8",120,120,"Financial Managers",NA,"Financial managers",120,"11-3031","11","11-3000","11-3030"
"9",135,130,"135",NA,"Compensation and benefits managers",135,"11-3111","11","11-3000","11-3110"
"10",136,130,"136",NA,"Human resources managers",136,"11-3121","11","11-3000","11-3120"
"11",137,130,"137",NA,"Training and development managers",137,"11-3131","11","11-3000","11-3130"
"12",140,140,"Industrial Production Managers",NA,"Industrial production managers",140,"11-3051","11","11-3000","11-3050"
"13",150,150,"Purchasing Managers",NA,"Purchasing managers",150,"11-3061","11","11-3000","11-3060"
"14",160,160,"Transportation, Storage, and Distribution Managers",NA,"Transportation, storage, and distribution managers",160,"11-3071","11","11-3000","11-3070"
"15",205,205,"Farmers, Ranchers, and Other Agricultural Managers",NA,"Farmers, ranchers, and other agricultural managers",205,"11-9013","11","11-9000","11-9010"
"16",220,220,"Constructions Managers",NA,"Construction managers",220,"11-9021","11","11-9000","11-9020"
"17",230,230,"Education Administrators",NA,"Education administrators",230,"11-9030","11","11-9000","11-9030"
"18",300,300,"Architectural and Engineering Managers",NA,"Architectural and engineering managers",300,"11-9041","11","11-9000","11-9040"
