"","label","id","Interval","classification","acs_occ_code","median_edu","median_earnings","total_employment_2010","log_median_earnings","log_total_employment_2010","auto_prob_average","women_pct"
"1","chief executives and legislators",0,NA,"Management, business, and financial",10,9.080371,117268.13,13052,11.6722183,9.476696658,0.015,0.306
"2","general and operations managers",1,NA,"Management, business, and financial",20,8.40703,76146.92,10896,11.24041991,9.296151028,0.16,0.371
"3","advertising and promotions managers",2,NA,"Management, business, and financial",40,9.132232,64923.06,605,11.08095816,6.405228458,0.039,0.664
"4","marketing and sales managers",3,NA,"Management, business, and financial",50,9.026223,76888.64,9648,11.25011342,9.174505919,0.0135,0.4775
"5","public relations and fundraising managers",4,NA,"Management, business, and financial",60,9.643216,77520.02,597,11.2582915,6.391917113,0.015,0.664
"6","administrative services managers",5,NA,"Management, business, and financial",100,8.123015,59100.09,1512,10.98698773,7.321188557,0.73,0.74
"7","computer and information systems managers",6,NA,"Management, business, and financial",110,9.379449,87511.14,5732,11.37952138,8.653819789,0.035,0.277
"8","financial managers",7,NA,"Management, business, and financial",120,8.82074,75238.09,12334,11.2284129,9.420114956,0.069,0.562
"9","industrial production managers",8,NA,"Management, business, and financial",140,8.056893,67541.11,2865,11.12049173,7.960323629,0.03,0.191
"10","purchasing managers",9,NA,"Management, business, and financial",150,8.756066,65875.21,2308,11.09551747,7.744136628,0.03,0.477
"11","transportation, storage, and distribution managers",10,NA,"Management, business, and financial",160,7.476526,50267.66,2556,10.82511721,7.846198816,0.59,0.214
"12","compensation and benefits managers",11,NA,"Management, business, and financial",135,8.734178,70921.94,237,11.16933511,5.468060141,0.96,0.765
"13","human resources managers",12,NA,"Management, business, and financial",136,8.5980015,64570.47,4704,11.07551246,8.45616849,0.0055,0.765
"14","training and development managers",13,NA,"Management, business, and financial",137,8.915052,59183.19,671,10.98839283,6.508769137,0.0063,0.48
"15","farmers, ranchers, and other agricultural managers",14,NA,"Management, business, and financial",205,6.7858925,14380.66,11611,9.573639527,9.359708204,0.047,0.274
"16","construction managers",15,NA,"Management, business, and financial",220,7.4997478,51594.58,7928,10.85117191,8.978156076,0.071,0.106
"17","education administrators",16,NA,"Management, business, and financial",230,9.887556,57299.2,10841,10.95604194,9.291090522,0.009866667,0.686
"18","architectural and engineering managers",17,NA,"Management, business, and financial",300,9.880886,109816.88,1805,11.60656953,7.498315871,0.017,0.128
"19","food service managers",18,NA,"Management, business, and financial",310,7.0618596,30872.49,9958,10.33762078,9.206131527,0.083,0.467
"20","miscellaneous managers, including funeral service managers and postmasters and mail superintendents",19,NA,"Management, business, and financial",430,8.541722,69312.84,36947,11.14638545,10.51723973,0.5,0.3675
"21","gaming managers",20,NA,"Management, business, and financial",330,7.39726,46877.31,219,10.75528904,5.38907173,0.091,0.375
"22","lodging managers",21,NA,"Management, business, and financial",340,7.8665414,34561.25,1596,10.45048839,7.375255778,0.0039,0.616
"23","medical and health services managers",22,NA,"Management, business, and financial",350,9.013264,69165.3,6484,11.14425457,8.777092883,0.0073,0.718
"24","natural sciences managers",23,NA,"Management, business, and financial",360,10.206294,99219.23,286,11.50508713,5.655991811,0.018,0.718
"25","property, real estate, and community association managers",24,NA,"Management, business, and financial",410,7.988662,43973.99,6262,10.6913536,8.742254902,0.81,0.517
"26","social and community service managers",25,NA,"Management, business, and financial",420,9.2200365,49347.66,3813,10.80664563,8.24617156,0.0067,0.717
"27","emergency management directors",26,NA,"Management, business, and financial",425,8.765766,54940.54,111,10.91400679,4.709530201,0.003,0.3675
"28","agents and business managers of artists, performers, and athletes",27,NA,"Management, business, and financial",500,8.348485,43450.56,462,10.67937902,6.135564891,0.24,0.433
"29","buyers and purchasing agents, farm products",28,NA,"Management, business, and financial",510,6.972414,33419.31,145,10.41688916,4.976733742,0.87,0.576
"30","wholesale and retail buyers, except farm products",29,NA,"Management, business, and financial",520,7.6570797,34071.22,2712,10.43620832,7.905441649,0.29,0.576
"31","purchasing agents, except wholesale, retail, and farm products",30,NA,"Management, business, and financial",530,8.000969,45495.94,3097,10.72537837,8.03818918,0.77,0.519
"32","claims adjusters, appraisers, examiners, and investigators",31,NA,"Management, business, and financial",540,8.249397,44655.07,3320,10.70672313,8.107720062,0.98,0.552
"33","compliance officers",32,NA,"Management, business, and financial",565,8.731972,59097.04,2399,10.98693612,7.782807263,0.08,0.518
"34","cost estimators",33,NA,"Management, business, and financial",600,7.778121,52412.18,1618,10.86689429,7.388946098,0.57,0.177
"35","human resources workers",34,NA,"Management, business, and financial",630,8.656969,48151.37,7390,10.78210487,8.907883014,0.97,0.765
"36","logisticians",35,NA,"Management, business, and financial",700,8.138318,49474.71,1070,10.80921691,6.975413927,0.012,0.387
"37","management analysts",36,NA,"Management, business, and financial",710,9.580358,59196.2,8624,10.98861263,9.062304293,0.13,0.466
"38","meeting, convention, and event planners",37,NA,"Management, business, and financial",725,8.745975,34135.33,1118,10.4380882,7.019296654,0.037,0.692
"39","fundraisers",38,NA,"Management, business, and financial",726,9.381739,45591.23,1150,10.72747065,7.047517221,0,0.749
"40","compensation, benefits, and job analysis specialists",39,NA,"Management, business, and financial",640,8.414005,51137.56,814,10.84227454,6.701960366,0.47,0.782
"41","training and development specialists",40,NA,"Management, business, and financial",650,8.439348,47351.52,1657,10.7653542,7.412764017,0.014,0.567
"42","market research analysts and marketing specialists",41,NA,"Management, business, and financial",735,9.470937,58504.86,2701,10.97686511,7.901377354,0.61,0.617
"43","business operations specialists, all other",42,NA,"Management, business, and financial",740,8.681343,49391.29,2680,10.80752937,7.893572074,0.23,0.577
"44","accountants and auditors",43,NA,"Management, business, and financial",800,9.527542,56232.07,24254,10.93724251,10.09633683,0.94,0.57
"45","appraisers and assessors of real estate",44,NA,"Management, business, and financial",810,8.464438,33432.7,1167,10.41728974,7.062191632,0.9,0.342
"46","budget analysts",45,NA,"Management, business, and financial",820,9.242857,62570.71,630,11.04405256,6.445719819,0.94,0.439
"47","credit analysts",46,NA,"Management, business, and financial",830,9.031468,52667.48,286,10.87175347,5.655991811,0.98,0.439
"48","financial analysts",47,NA,"Management, business, and financial",840,9.914438,97502.34,935,11.48763166,6.840546529,0.23,0.439
"49","personal financial advisors",48,NA,"Management, business, and financial",850,9.683702,84990.23,3835,11.35029159,8.251924714,0.58,0.326
"50","insurance underwriters",49,NA,"Management, business, and financial",860,8.502655,57190.74,1130,10.95414728,7.029972912,0.99,0.569
"51","financial examiners",50,NA,"Management, business, and financial",900,9.522876,76006.54,153,11.23857467,5.030437921,0.17,0.516
"52","credit counselors and loan officers",51,NA,"Management, business, and financial",910,8.398944,53003.02,3597,10.87810417,8.187855444,0.51,0.516
"53","tax examiners and collectors, and revenue agents",52,NA,"Management, business, and financial",930,8.304627,40103.05,778,10.59920767,6.656726524,0.93,0.608
"54","tax preparers",53,NA,"Management, business, and financial",940,8.296499,19707.55,1828,9.88875709,7.510977752,0.99,0.663
"55","financial specialists, all other",54,NA,"Management, business, and financial",950,8.862531,69242.55,822,11.14537084,6.711740395,0.33,0.578
"56","computer and information research scientists",55,NA,"Computer, engineering, and science",1005,10.028986,76912.56,207,11.25042447,5.332718793,0.015,0.193
"57","computer systems analysts",56,NA,"Computer, engineering, and science",1006,9.306789,66261.58,5199,11.10136552,8.556221578,0.0065,0.378
"58","information security analysts",57,NA,"Computer, engineering, and science",1007,8.935606,73613.45,528,11.20658303,6.269096284,0,0.193
"59","computer programmers",58,NA,"Computer, engineering, and science",1010,9.250469,63865.8,5326,11.06453929,8.580355766,0.48,0.215
"60","software developers, applications and systems software",59,NA,"Computer, engineering, and science",1020,9.795245,81013.96,9338,11.30237676,9.141847376,0.086,0.356666666666667
"61","web developers",60,NA,"Computer, engineering, and science",1030,8.946849,38879.75,1825,10.56822883,7.509335266,0,0.194
"62","database administrators",61,NA,"Computer, engineering, and science",1060,9.129059,62354.03,1232,11.04058358,7.116394144,0.03,0.308
"63","network and computer systems administrators",62,NA,"Computer, engineering, and science",1105,8.528857,58390.18,2547,10.974903,7.842671475,0.03,0.167
"64","computer network architects",63,NA,"Computer, engineering, and science",1106,8.91446,84718.84,982,11.34709329,6.889591308,0,0.077
"65","computer support specialists",64,NA,"Computer, engineering, and science",1050,8.204214,45949.9,5837,10.73530695,8.671972245,0,0.262
"66","computer occupations, all other",65,NA,"Computer, engineering, and science",1107,8.418497,54722.68,3460,10.91003353,8.149023868,0,0.26
"67","actuaries",66,NA,"Computer, engineering, and science",1200,10.285714,119131.71,287,11.68798497,5.659482216,0.21,0.507
"68","miscellaneous mathematical science occupations, including mathematicians and statisticians",67,NA,"Computer, engineering, and science",1240,10.141684,72238.85,487,11.18773327,6.188264123,0.419,0.507
"69","operations research analysts",68,NA,"Computer, engineering, and science",1220,9.329037,69957.94,1474,11.15564948,7.295735073,0.035,0.55
"70","architects, except naval",69,NA,"Architecture and engineering",1300,10.033209,53218.65,2138,10.88216418,7.667626092,0.0315,0.31
