DATE,GDPC1_CH1
1948-01-01,57.001
1948-04-01,99.798
1948-07-01,117.338
1948-10-01,85.912
1949-01-01,21.125
1949-04-01,-23.562
1949-07-01,-13.346
1949-10-01,-35.012
1950-01-01,85.297
1950-04-01,164.554
1950-07-01,234.703
1950-10-01,301.862
1951-01-01,247.863
1951-04-01,221.216
1951-07-01,182.132
1951-10-01,139.942
1952-01-01,133.987
1952-04-01,94.902
1952-07-01,60.258
1952-10-01,144.785
1953-01-01,168.857
1953-04-01,185.406
1953-07-01,149.268
1953-10-01,14.904
1954-01-01,-51.619
1954-04-01,-70.901
1954-07-01,-22.303
1954-10-01,78.007
1955-01-01,175.554
1955-04-01,221.605
1955-07-01,230.897
1955-10-01,193.216
1956-01-01,97.176
1956-04-01,73.784
1956-07-01,29.495
1956-10-01,62.502
1957-01-01,95.089
1957-04-01,62.276
1957-07-01,96.512
1957-10-01,11.324
1958-01-01,-92.287
1958-04-01,-64.746
1958-07-01,-23.502
1958-10-01,85.138
1959-01-01,231.405
1959-04-01,286.443
1959-07-01,216.173
1959-10-01,150.800
1960-01-01,165.052
1960-04-01,70.579
1960-07-01,85.328
1960-10-01,30.446
1961-01-01,-23.478
1961-04-01,54.775
1961-07-01,105.867
1961-10-01,222.011
1962-01-01,264.444
1962-04-01,239.128
1962-07-01,217.524
1962-10-01,159.132
1963-01-01,135.335
1963-04-01,145.034
1963-07-01,184.979
1963-10-01,198.726
1964-01-01,242.071
1964-04-01,243.409
1964-07-01,222.163
1964-10-01,208.899
1965-01-01,226.558
1965-04-01,236.633
1965-07-01,269.509
1965-10-01,360.412
1966-01-01,369.777
1966-04-01,330.821
1966-07-01,272.827
1966-10-01,208.079
1967-01-01,138.411
1967-04-01,125.241
1967-07-01,131.138
1967-10-01,128.940
1968-01-01,187.254
1968-04-01,268.746
1968-07-01,262.467
1968-10-01,245.735
1969-01-01,226.044
1969-04-01,157.592
1969-07-01,152.741
1969-10-01,106.344
1970-01-01,17.055
1970-04-01,8.539
1970-07-01,22.477
1970-10-01,-8.884
1971-01-01,142.967
1971-04-01,164.895
1971-07-01,160.995
1971-10-01,231.360
1972-01-01,189.030
1972-04-01,287.411
1972-07-01,296.782
1972-10-01,381.188
1973-01-01,425.895
1973-04-01,364.036
1973-07-01,277.447
1973-10-01,237.911
1974-01-01,38.714
1974-04-01,-12.755
1974-07-01,-38.323
1974-10-01,-119.667
1975-01-01,-140.223
1975-04-01,-112.141
1975-07-01,48.348
1975-10-01,154.066
1976-01-01,366.614
1976-04-01,370.415
1976-07-01,302.569
1976-10-01,266.647
1977-01-01,204.054
1977-04-01,284.441
1977-07-01,369.562
1977-10-01,323.415
1978-01-01,268.557
1978-04-01,404.454
1978-07-01,355.458
1978-10-01,451.158
1979-01-01,442.467
1979-04-01,187.534
1979-07-01,170.366
1979-10-01,92.785
1980-01-01,102.830
1980-04-01,-56.165
1980-07-01,-118.538
1980-10-01,-2.858
1981-01-01,117.465
1981-04-01,213.456
1981-07-01,310.662
1981-10-01,95.091
1982-01-01,-163.391
1982-04-01,-74.833
1982-07-01,-191.509
1982-10-01,-106.951
1983-01-01,104.435
1983-04-01,239.544
1983-07-01,418.850
1983-10-01,576.977
1984-01-01,634.781
1984-04-01,605.214
1984-07-01,532.719
1984-10-01,439.405
1985-01-01,365.973
1985-04-01,301.117
1985-07-01,351.755
1985-10-01,347.989
1986-01-01,348.307
1986-04-01,313.737
1986-07-01,268.381
1986-10-01,252.005
1987-01-01,237.240
1987-04-01,294.732
1987-07-01,289.423
1987-10-01,399.139
1988-01-01,381.135
1988-04-01,407.338
1988-07-01,384.182
1988-10-01,354.073
1989-01-01,404.223
1989-04-01,355.699
1989-07-01,373.022
1989-10-01,265.362
1990-01-01,275.661
1990-04-01,237.562
1990-07-01,171.341
1990-10-01,59.937
1991-01-01,-95.470
1991-04-01,-54.345
1991-07-01,-10.374
1991-10-01,116.625
1992-01-01,284.519
1992-04-01,317.919
1992-07-01,369.478
1992-10-01,443.319
1993-01-01,339.840
1993-04-01,290.418
1993-07-01,238.933
1993-10-01,275.339
1994-01-01,362.841
1994-04-01,449.514
1994-07-01,463.570
1994-10-01,445.945
1995-01-01,380.835
1995-04-01,266.360
1995-07-01,298.134
1995-10-01,248.135
1996-01-01,294.467
1996-04-01,454.419
1996-07-01,463.753
1996-10-01,509.708
1997-01-01,501.054
1997-04-01,509.081
1997-07-01,556.947
1997-10-01,539.720
1998-01-01,588.270
1998-04-01,504.118
1998-07-01,511.742
1998-10-01,614.175
1999-01-01,611.855
1999-04-01,605.409
1999-07-01,622.019
1999-10-01,636.31
2000-01-01,562.550
2000-04-01,704.160
2000-07-01,540.541
2000-10-01,401.785
2001-01-01,304.973
2001-04-01,140.786
2001-07-01,69.204
2001-10-01,23.809
2002-01-01,189.665
2002-04-01,189.154
2002-07-01,305.117
2002-10-01,284.006
2003-01-01,241.356
2003-04-01,282.719
2003-07-01,469.149
2003-10-01,625.18
2004-01-01,634.539
2004-04-01,623.283
2004-07-01,523.837
2004-10-01,508.12
2005-01-01,596.047
2005-04-01,555.932
2005-07-01,534.968
2005-10-01,465.854
2006-01-01,509.108
2006-04-01,473.369
2006-07-01,373.151
2006-10-01,425.132
2007-01-01,257.855
2007-04-01,317.163
2007-07-01,388.849
2007-10-01,353.325
2008-01-01,231.313
2008-04-01,229.977
2008-07-01,44.708
2008-10-01,-429.841
2009-01-01,-544.741
2009-04-01,-674.146
2009-07-01,-528.014
2009-10-01,17.404
2010-01-01,284.448
2010-04-01,474.017
2010-07-01,545.985
2010-10-01,458.110
2011-01-01,337.922
2011-04-01,291.952
2011-07-01,159.047
2011-10-01,261.719
2012-01-01,446.378
2012-04-01,409.411
2012-07-01,438.337
2012-10-01,267.269
2013-01-01,295.39
2013-04-01,265.146
2013-07-01,390.80
2013-10-01,526.295
2014-01-01,291.574
2014-04-01,476.240
2014-07-01,546.491
2014-10-01,483.884
2015-01-01,712.647
2015-04-01,596.332
2015-07-01,450.477
2015-10-01,392.175
2016-01-01,335.069
2016-04-01,280.466
2016-07-01,340.520
2016-10-01,412.146
2017-01-01,396.653
2017-04-01,444.240
2017-07-01,462.828
2017-10-01,578.000
2018-01-01,645.734
2018-04-01,643.527
2018-07-01,615.388
2018-10-01,422.522
2019-01-01,387.564
2019-04-01,451.799
2019-07-01,567.168
2019-10-01,680.574
2020-01-01,261.597
2020-04-01,-1545.658
2020-07-01,-294.529
2020-10-01,-213.757
2021-01-01,365.141
2021-04-01,2332.388
2021-07-01,1022.628
2021-10-01,1188.697
2022-01-01,845.471
2022-04-01,530.217
2022-07-01,495.363
2022-10-01,289.071
2023-01-01,499.585
2023-04-01,620.196
2023-07-01,714.149
2023-10-01,711.141
2024-01-01,650.110
2024-04-01,684.488
2024-07-01,605.315
