,DATE,USREC
0,1980-09-01,0
1,1980-10-01,0
2,1980-11-01,0
3,1980-12-01,0
4,1981-01-01,0
5,1981-02-01,0
6,1981-03-01,0
7,1981-04-01,0
8,1981-05-01,0
9,1981-06-01,0
10,1981-07-01,0
11,1981-08-01,1
12,1981-09-01,1
13,1981-10-01,1
14,1981-11-01,1
15,1981-12-01,1
16,1982-01-01,1
17,1982-02-01,1
18,1982-03-01,1
19,1982-04-01,1
20,1982-05-01,1
21,1982-06-01,1
22,1982-07-01,1
23,1982-08-01,1
24,1982-09-01,1
25,1982-10-01,1
26,1982-11-01,1
27,1982-12-01,0
28,1983-01-01,0
29,1983-02-01,0
30,1983-03-01,0
31,1983-04-01,0
32,1983-05-01,0
33,1983-06-01,0
34,1983-07-01,0
35,1983-08-01,0
36,1983-09-01,0
37,1983-10-01,0
38,1983-11-01,0
39,1983-12-01,0
40,1984-01-01,0
41,1984-02-01,0
42,1984-03-01,0
43,1984-04-01,0
44,1984-05-01,0
45,1984-06-01,0
46,1984-07-01,0
47,1984-08-01,0
48,1984-09-01,0
49,1984-10-01,0
50,1984-11-01,0
51,1984-12-01,0
52,1985-01-01,0
53,1985-02-01,0
54,1985-03-01,0
55,1985-04-01,0
56,1985-05-01,0
57,1985-06-01,0
58,1985-07-01,0
59,1985-08-01,0
60,1985-09-01,0
61,1985-10-01,0
62,1985-11-01,0
63,1985-12-01,0
64,1986-01-01,0
65,1986-02-01,0
66,1986-03-01,0
67,1986-04-01,0
68,1986-05-01,0
69,1986-06-01,0
70,1986-07-01,0
71,1986-08-01,0
72,1986-09-01,0
73,1986-10-01,0
74,1986-11-01,0
75,1986-12-01,0
76,1987-01-01,0
77,1987-02-01,0
78,1987-03-01,0
79,1987-04-01,0
80,1987-05-01,0
81,1987-06-01,0
82,1987-07-01,0
83,1987-08-01,0
84,1987-09-01,0
85,1987-10-01,0
86,1987-11-01,0
87,1987-12-01,0
88,1988-01-01,0
89,1988-02-01,0
90,1988-03-01,0
91,1988-04-01,0
92,1988-05-01,0
93,1988-06-01,0
94,1988-07-01,0
95,1988-08-01,0
96,1988-09-01,0
97,1988-10-01,0
98,1988-11-01,0
99,1988-12-01,0
100,1989-01-01,0
101,1989-02-01,0
102,1989-03-01,0
103,1989-04-01,0
104,1989-05-01,0
105,1989-06-01,0
106,1989-07-01,0
107,1989-08-01,0
108,1989-09-01,0
109,1989-10-01,0
110,1989-11-01,0
111,1989-12-01,0
112,1990-01-01,0
113,1990-02-01,0
114,1990-03-01,0
115,1990-04-01,0
116,1990-05-01,0
117,1990-06-01,0
118,1990-07-01,0
119,1990-08-01,1
120,1990-09-01,1
121,1990-10-01,1
122,1990-11-01,1
123,1990-12-01,1
124,1991-01-01,1
125,1991-02-01,1
126,1991-03-01,1
127,1991-04-01,0
128,1991-05-01,0
129,1991-06-01,0
130,1991-07-01,0
131,1991-08-01,0
132,1991-09-01,0
133,1991-10-01,0
134,1991-11-01,0
135,1991-12-01,0
136,1992-01-01,0
137,1992-02-01,0
138,1992-03-01,0
139,1992-04-01,0
140,1992-05-01,0
141,1992-06-01,0
142,1992-07-01,0
143,1992-08-01,0
144,1992-09-01,0
145,1992-10-01,0
146,1992-11-01,0
147,1992-12-01,0
148,1993-01-01,0
149,1993-02-01,0
150,1993-03-01,0
151,1993-04-01,0
152,1993-05-01,0
153,1993-06-01,0
154,1993-07-01,0
155,1993-08-01,0
156,1993-09-01,0
157,1993-10-01,0
158,1993-11-01,0
159,1993-12-01,0
160,1994-01-01,0
161,1994-02-01,0
162,1994-03-01,0
163,1994-04-01,0
164,1994-05-01,0
165,1994-06-01,0
166,1994-07-01,0
167,1994-08-01,0
168,1994-09-01,0
169,1994-10-01,0
170,1994-11-01,0
171,1994-12-01,0
172,1995-01-01,0
173,1995-02-01,0
174,1995-03-01,0
175,1995-04-01,0
176,1995-05-01,0
177,1995-06-01,0
178,1995-07-01,0
179,1995-08-01,0
180,1995-09-01,0
181,1995-10-01,0
182,1995-11-01,0
183,1995-12-01,0
184,1996-01-01,0
185,1996-02-01,0
186,1996-03-01,0
187,1996-04-01,0
188,1996-05-01,0
189,1996-06-01,0
190,1996-07-01,0
191,1996-08-01,0
192,1996-09-01,0
193,1996-10-01,0
194,1996-11-01,0
195,1996-12-01,0
196,1997-01-01,0
197,1997-02-01,0
198,1997-03-01,0
199,1997-04-01,0
200,1997-05-01,0
201,1997-06-01,0
202,1997-07-01,0
203,1997-08-01,0
204,1997-09-01,0
205,1997-10-01,0
206,1997-11-01,0
207,1997-12-01,0
208,1998-01-01,0
209,1998-02-01,0
210,1998-03-01,0
211,1998-04-01,0
212,1998-05-01,0
213,1998-06-01,0
214,1998-07-01,0
215,1998-08-01,0
216,1998-09-01,0
217,1998-10-01,0
218,1998-11-01,0
219,1998-12-01,0
220,1999-01-01,0
221,1999-02-01,0
222,1999-03-01,0
223,1999-04-01,0
224,1999-05-01,0
225,1999-06-01,0
226,1999-07-01,0
227,1999-08-01,0
228,1999-09-01,0
229,1999-10-01,0
230,1999-11-01,0
231,1999-12-01,0
232,2000-01-01,0
233,2000-02-01,0
234,2000-03-01,0
235,2000-04-01,0
236,2000-05-01,0
237,2000-06-01,0
238,2000-07-01,0
239,2000-08-01,0
240,2000-09-01,0
241,2000-10-01,0
242,2000-11-01,0
243,2000-12-01,0
244,2001-01-01,0
245,2001-02-01,0
246,2001-03-01,0
247,2001-04-01,1
248,2001-05-01,1
249,2001-06-01,1
250,2001-07-01,1
251,2001-08-01,1
252,2001-09-01,1
253,2001-10-01,1
254,2001-11-01,1
255,2001-12-01,0
256,2002-01-01,0
257,2002-02-01,0
258,2002-03-01,0
259,2002-04-01,0
260,2002-05-01,0
261,2002-06-01,0
262,2002-07-01,0
263,2002-08-01,0
264,2002-09-01,0
265,2002-10-01,0
266,2002-11-01,0
267,2002-12-01,0
268,2003-01-01,0
269,2003-02-01,0
270,2003-03-01,0
271,2003-04-01,0
272,2003-05-01,0
273,2003-06-01,0
274,2003-07-01,0
275,2003-08-01,0
276,2003-09-01,0
277,2003-10-01,0
278,2003-11-01,0
279,2003-12-01,0
280,2004-01-01,0
281,2004-02-01,0
282,2004-03-01,0
283,2004-04-01,0
284,2004-05-01,0
285,2004-06-01,0
286,2004-07-01,0
287,2004-08-01,0
288,2004-09-01,0
289,2004-10-01,0
290,2004-11-01,0
291,2004-12-01,0
292,2005-01-01,0
293,2005-02-01,0
294,2005-03-01,0
295,2005-04-01,0
296,2005-05-01,0
297,2005-06-01,0
298,2005-07-01,0
299,2005-08-01,0
300,2005-09-01,0
301,2005-10-01,0
302,2005-11-01,0
303,2005-12-01,0
304,2006-01-01,0
305,2006-02-01,0
306,2006-03-01,0
307,2006-04-01,0
308,2006-05-01,0
309,2006-06-01,0
310,2006-07-01,0
311,2006-08-01,0
312,2006-09-01,0
313,2006-10-01,0
314,2006-11-01,0
315,2006-12-01,0
316,2007-01-01,0
317,2007-02-01,0
318,2007-03-01,0
319,2007-04-01,0
320,2007-05-01,0
321,2007-06-01,0
322,2007-07-01,0
323,2007-08-01,0
324,2007-09-01,0
325,2007-10-01,0
326,2007-11-01,0
327,2007-12-01,0
328,2008-01-01,1
329,2008-02-01,1
330,2008-03-01,1
331,2008-04-01,1
332,2008-05-01,1
333,2008-06-01,1
334,2008-07-01,1
335,2008-08-01,1
336,2008-09-01,1
337,2008-10-01,1
338,2008-11-01,1
339,2008-12-01,1
340,2009-01-01,1
341,2009-02-01,1
342,2009-03-01,1
343,2009-04-01,1
344,2009-05-01,1
345,2009-06-01,1
346,2009-07-01,0
347,2009-08-01,0
348,2009-09-01,0
349,2009-10-01,0
350,2009-11-01,0
351,2009-12-01,0
352,2010-01-01,0
353,2010-02-01,0
354,2010-03-01,0
355,2010-04-01,0
356,2010-05-01,0
357,2010-06-01,0
358,2010-07-01,0
359,2010-08-01,0
360,2010-09-01,0
361,2010-10-01,0
362,2010-11-01,0
363,2010-12-01,0
364,2011-01-01,0
365,2011-02-01,0
366,2011-03-01,0
367,2011-04-01,0
368,2011-05-01,0
369,2011-06-01,0
370,2011-07-01,0
371,2011-08-01,0
372,2011-09-01,0
373,2011-10-01,0
374,2011-11-01,0
375,2011-12-01,0
376,2012-01-01,0
377,2012-02-01,0
378,2012-03-01,0
379,2012-04-01,0
380,2012-05-01,0
381,2012-06-01,0
382,2012-07-01,0
383,2012-08-01,0
384,2012-09-01,0
385,2012-10-01,0
386,2012-11-01,0
387,2012-12-01,0
388,2013-01-01,0
389,2013-02-01,0
390,2013-03-01,0
391,2013-04-01,0
392,2013-05-01,0
393,2013-06-01,0
394,2013-07-01,0
395,2013-08-01,0
396,2013-09-01,0
397,2013-10-01,0
398,2013-11-01,0
399,2013-12-01,0
400,2014-01-01,0
401,2014-02-01,0
402,2014-03-01,0
403,2014-04-01,0
404,2014-05-01,0
405,2014-06-01,0
406,2014-07-01,0
407,2014-08-01,0
408,2014-09-01,0
409,2014-10-01,0
410,2014-11-01,0
411,2014-12-01,0
412,2015-01-01,0
413,2015-02-01,0
414,2015-03-01,0
415,2015-04-01,0
416,2015-05-01,0
417,2015-06-01,0
418,2015-07-01,0
419,2015-08-01,0
420,2015-09-01,0
421,2015-10-01,0
422,2015-11-01,0
423,2015-12-01,0
424,2016-01-01,0
425,2016-02-01,0
426,2016-03-01,0
427,2016-04-01,0
428,2016-05-01,0
429,2016-06-01,0
430,2016-07-01,0
431,2016-08-01,0
432,2016-09-01,0
433,2016-10-01,0
434,2016-11-01,0
435,2016-12-01,0
436,2017-01-01,0
437,2017-02-01,0
438,2017-03-01,0
439,2017-04-01,0
440,2017-05-01,0
441,2017-06-01,0
442,2017-07-01,0
443,2017-08-01,0
444,2017-09-01,0
445,2017-10-01,0
446,2017-11-01,0
447,2017-12-01,0
448,2018-01-01,0
449,2018-02-01,0
450,2018-03-01,0
451,2018-04-01,0
452,2018-05-01,0
453,2018-06-01,0
454,2018-07-01,0
455,2018-08-01,0
456,2018-09-01,0
457,2018-10-01,0
458,2018-11-01,0
459,2018-12-01,0
460,2019-01-01,0
461,2019-02-01,0
462,2019-03-01,0
463,2019-04-01,0
464,2019-05-01,0
465,2019-06-01,0
466,2019-07-01,0
467,2019-08-01,0
468,2019-09-01,0
469,2019-10-01,0
470,2019-11-01,0
471,2019-12-01,0
472,2020-01-01,0
473,2020-02-01,0
474,2020-03-01,1
475,2020-04-01,1
476,2020-05-01,0
477,2020-06-01,0
478,2020-07-01,0
479,2020-08-01,0
480,2020-09-01,0
481,2020-10-01,0
482,2020-11-01,0
483,2020-12-01,0
484,2021-01-01,0
485,2021-02-01,0
486,2021-03-01,0
487,2021-04-01,0
488,2021-05-01,0
489,2021-06-01,0
490,2021-07-01,0
491,2021-08-01,0
492,2021-09-01,0
493,2021-10-01,0
494,2021-11-01,0
495,2021-12-01,0
496,2022-01-01,0
497,2022-02-01,0
498,2022-03-01,0
499,2022-04-01,0
500,2022-05-01,0
501,2022-06-01,0
502,2022-07-01,0
503,2022-08-01,0
504,2022-09-01,0
505,2022-10-01,0
506,2022-11-01,0
507,2022-12-01,0
508,2023-01-01,0
509,2023-02-01,0
510,2023-03-01,0
511,2023-04-01,0
512,2023-05-01,0
513,2023-06-01,0
514,2023-07-01,0
515,2023-08-01,0
516,2023-09-01,0
517,2023-10-01,0
518,2023-11-01,0
519,2023-12-01,0
520,2024-01-01,0
521,2024-02-01,0
522,2024-03-01,0
523,2024-04-01,0
524,2024-05-01,0
