occupation,total_unemployed,less_than_5_weeks,wks5_14,wks15plus,wks15_26,wks27plus,wks_mean_duration,wks_median_duration
"Management, professional, and related occupations......................................","1,090",379,344,368,161,207,17.9,8.8
"Management, business, and financial operations occupations....................................",429,138,141,150,68,82,17.6,9.4
Professional and related occupations............,662,240,203,218,93,126,18.1,8.4
,NA,NA,NA,NA,NA,NA,NA,NA
Service occupations...............................,"1,521",560,478,482,232,251,16.3,8.3
Sales and office occupations......................,"1,638",570,508,560,276,285,16.9,8.9
Sales and related occupations...................,835,302,255,277,136,142,16.2,8.7
Office and administrative support occupations...,804,268,253,283,140,143,17.5,9.2
"Natural resources, construction, and maintenance occupations......................................","1,052",408,345,299,142,157,15.1,7.6
"Farming, fishing, and forestry occupations......",89,30,32,27,13,13,16.5,8.6
Construction and extraction occupations.........,781,316,253,212,100,112,14.4,7.1
"Installation, maintenance, and repair occupations....................................",182,62,60,60,28,32,17.2,9.1
"Production, transportation, and material moving occupations......................................","1,128",383,361,384,164,219,17.9,9.0
Production occupations..........................,564,187,183,193,83,110,18.1,9.2
Transportation and material moving occupations....................................,564,196,177,191,81,109,17.7,8.8
INDUSTRY,1,NA,NA,NA,NA,NA,NA,NA
Agriculture and related industries................,82,28,29,25,12,14,17.6,8.7
Mining............................................,25,9,10,6,3,3,2,2
Construction......................................,769,299,255,215,109,107,14.1,7.5
Manufacturing.....................................,710,229,222,259,108,152,19.5,9.7
Durable goods.................................,439,139,139,162,69,93,19.1,9.8
Nondurable goods..............................,271,90,83,97,39,58,20.2,9.4
Wholesale and retail trade........................,987,341,311,334,163,171,16.8,9.0
Transportation and utilities......................,262,83,84,95,37,58,18.8,9.5
Information.......................................,124,40,36,49,19,29,22.1,10.1
Financial activities..............................,295,101,94,100,50,50,17.2,8.9
Professional and business services................,752,262,242,247,117,130,16.9,8.8
Education and health services.....................,807,300,255,253,121,132,16.2,8.1
Leisure and hospitality...........................,929,361,294,274,132,142,15.2,7.6
Other services....................................,245,95,71,80,37,43,15.9,8.1
Public administration.............................,133,40,42,51,22,29,20.3,10.0
No previous work experience.......................,627,237,190,201,83,118,17.3,8.1
1 Includes wage and salary workers only.,NA,NA,NA,NA,NA,NA,NA,NA
2 Data not shown where base is less than,"35,000.",NA,NA,NA,NA,NA,NA,NA
NOTE:  Updated population controls are introduced annually with the release of January data.,NA,NA,NA,NA,NA,NA,NA,NA
&#12;,NA,NA,NA,NA,NA,NA,NA,NA
