"","Occupation and industry","2011","2011","2011","2011","2011","2011","2011","2011"
"1","Occupation and industry","Unemployed","Unemployed","Unemployed","Unemployed","Unemployed","Unemployed","Weeks","Weeks"
"2","Occupation and industry","Total","Lessthan5 weeks","5 to 14weeks","15 weeks and over","15 weeks and over","15 weeks and over","Average(mean)duration(1)","Medianduration"
"3","Occupation and industry","Total","Lessthan5 weeks","5 to 14weeks","Total","15 to 26weeks","27 weeksand over","Average(mean)duration(1)","Medianduration"
"4","Total unemployed(2)","13,747","2,677","2,993","8,077","2,061","6,016","39.3","21.4"
"5","","","","","","","","",""
"6","No previous work experience","1,284","270","335","678","203","474","35.1","16.9"
"7","","","","","","","","",""
"8","OCCUPATION","","","","","","","",""
"9","Management, professional, and related occupations","2,458","466","510","1,482","361","1,121","41.6","22.8"
"10","Management, business, and financial operations occupations","1,067","157","215","695","164","531","45.1","27.2"
"11","Professional and related occupations","1,392","309","295","788","197","591","39.0","20.0"
"12","Service occupations","2,727","587","639","1,500","415","1,086","36.1","18.4"
"13","Sales and office occupations","3,135","545","641","1,949","463","1,486","40.6","24.7"
"14","Sales and related occupations","1,481","277","310","894","211","683","40.0","23.3"
"15","Office and administrative support occupations","1,653","267","331","1,055","252","803","41.2","26.0"
"16","Natural resources, construction, and maintenance occupations","2,000","421","430","1,150","295","855","39.2","20.4"
"17","Farming, fishing, and forestry occupations","181","45","58","77","36","42","23.8","12.0"
"18","Construction and extraction occupations","1,414","315","292","807","196","611","39.5","20.6"
"19","Installation, maintenance, and repair occupations","406","60","80","265","63","202","44.9","27.4"
"20","Production, transportation, and material moving occupations","2,099","383","426","1,290","317","973","41.4","23.5"
"21","Production occupations","1,025","180","204","641","142","499","43.8","25.9"
"22","Transportation and material moving occupations","1,073","203","222","648","175","474","39.0","21.8"
"23","","","","","","","","",""
"24","INDUSTRY(3)","","","","","","","",""
"25","Agriculture and related industries","195","49","60","86","38","48","25.0","12.3"
"26","Mining, quarrying, and oil and gas extraction","52","11","11","31","9","22","40.4","21.3"
"27","Construction","1,407","293","292","822","205","617","39.7","21.3"
"28","Manufacturing","1,391","218","251","922","197","725","47.1","29.9"
"29","Durable goods","899","131","157","611","125","486","48.3","33.2"
"30","Nondurable goods","492","86","94","311","72","239","44.9","26.2"
"31","Wholesale and retail trade","1,861","333","410","1,118","285","833","39.8","22.4"
"32","Transportation and utilities","533","88","102","343","78","265","43.8","26.9"
"33","Information","230","43","41","146","30","116","43.6","27.8"
"34","Financial activities","601","85","105","411","96","315","45.4","29.1"
"35","Professional and business services","1,475","278","320","878","237","641","38.6","21.4"
"36","Education and health services","1,642","352","380","910","239","671","36.2","18.8"
"37","Leisure and hospitality","1,588","359","399","830","234","596","33.5","16.3"
"38","Other services","559","111","112","336","87","249","41.3","22.5"
"39","Public administration","279","43","51","185","45","140","40.6","27.4"
