"","X","acs_occ_code","label","OCC2010_cps","major_cat","OCC2010_desc","OCC2010","SOC2010_orig","SOC_major_orig","SOC_minor_orig","SOC_broad_orig","SOC2010_adj","SOC_major_adj","SOC_minor_adj","SOC_broad_adj","ltuer_occ","ltuer_soc2010","ltuer_soc_major","ltuer_soc_minor","ltuer_soc_broad"
"1",1,10,"chief executives and legislators",10,NA,"Chief executives",10,"11-1011",11,"11-1000","11-1010","11-1011",11,"11-1000","11-1010",0.390617667905639,0.390617667905639,0.347023672604906,0.371804122619335,0.390617667905639
"2",2,20,"general and operations managers",20,NA,"General and operations managers",20,"11-1021",11,"11-1000","11-1020","11-1021",11,"11-1000","11-1020",0.356337070895074,0.356337070895074,0.347023672604906,0.371804122619335,0.356337070895074
"3",3,40,"advertising and promotions managers",30,NA,"Advertising and promotions managers",40,"11-2011",11,"11-2000","11-2010","11-2011",11,"11-2000","11-2010",0.349213966498906,0.349213966498906,0.347023672604906,0.349213966498906,0.349213966498906
"4",4,50,"marketing and sales managers",30,NA,"Marketing and sales managers",50,"11-2020",11,"11-2000","11-2020","11-2011",11,"11-2000","11-2010",0.349213966498906,0.349213966498906,0.347023672604906,0.349213966498906,0.349213966498906
"5",5,60,"public relations and fundraising managers",30,NA,"Public relations and fundraising managers",60,"11-2031",11,"11-2000","11-2030","11-2011",11,"11-2000","11-2010",0.349213966498906,0.349213966498906,0.347023672604906,0.349213966498906,0.349213966498906
"6",6,100,"administrative services managers",100,NA,"Administrative services managers",100,"11-3011",11,"11-3000","11-3010","11-3011",11,"11-3000","11-3010",0.468451671863668,0.468451671863668,0.347023672604906,0.376991551716436,0.468451671863668
"7",7,110,"computer and information systems managers",110,NA,"Computer and information systems managers",110,"11-3021",11,"11-3000","11-3020","11-3021",11,"11-3000","11-3020",0.376319855649259,0.376319855649259,0.347023672604906,0.376991551716436,0.376319855649259
"8",8,120,"financial managers",120,NA,"Financial managers",120,"11-3031",11,"11-3000","11-3030","11-3031",11,"11-3000","11-3030",0.382179301927228,0.382179301927228,0.347023672604906,0.376991551716436,0.382179301927228
"9",9,135,"compensation and benefits managers",130,NA,"Compensation and benefits managers",135,"11-3111",11,"11-3000","11-3110","11-3111",11,"11-3000","11-3110",0.368582750745165,0.368582750745165,0.347023672604906,0.376991551716436,0.368582750745165
"10",10,136,"human resources managers",130,NA,"Human resources managers",136,"11-3121",11,"11-3000","11-3120","11-3111",11,"11-3000","11-3110",0.368582750745165,0.368582750745165,0.347023672604906,0.376991551716436,0.368582750745165
"11",11,137,"training and development managers",130,NA,"Training and development managers",137,"11-3131",11,"11-3000","11-3130","11-3111",11,"11-3000","11-3110",0.368582750745165,0.368582750745165,0.347023672604906,0.376991551716436,0.368582750745165
"12",12,140,"industrial production managers",140,NA,"Industrial production managers",140,"11-3051",11,"11-3000","11-3050","11-3051",11,"11-3000","11-3050",0.340438355006004,0.340438355006004,0.347023672604906,0.376991551716436,0.340438355006004
"13",13,150,"purchasing managers",150,NA,"Purchasing managers",150,"11-3061",11,"11-3000","11-3060","11-3061",11,"11-3000","11-3060",0.374045078084236,0.374045078084236,0.347023672604906,0.376991551716436,0.374045078084236
"14",14,160,"transportation, storage, and distribution managers",160,NA,"Transportation, storage, and distribution managers",160,"11-3071",11,"11-3000","11-3070","11-3071",11,"11-3000","11-3070",0.360918950174782,0.360918950174782,0.347023672604906,0.376991551716436,0.360918950174782
"15",15,205,"farmers, ranchers, and other agricultural managers",205,NA,"Farmers, ranchers, and other agricultural managers",205,"11-9013",11,"11-9000","11-9010","11-9013",11,"11-9000","11-9010",0.291540016463638,0.291540016463638,0.347023672604906,0.331652537621519,0.291540016463638
"16",16,220,"construction managers",220,NA,"Construction managers",220,"11-9021",11,"11-9000","11-9020","11-9021",11,"11-9000","11-9020",0.349045379926706,0.349045379926706,0.347023672604906,0.331652537621519,0.349045379926706
"17",17,230,"education administrators",230,NA,"Education administrators",230,"11-9030",11,"11-9000","11-9030","11-9030",11,"11-9000","11-9030",0.330484718471633,0.330484718471633,0.347023672604906,0.331652537621519,0.330484718471633
"18",18,300,"architectural and engineering managers",300,NA,"Architectural and engineering managers",300,"11-9041",11,"11-9000","11-9040","11-9041",11,"11-9000","11-9040",0.389520055754744,0.389520055754744,0.347023672604906,0.331652537621519,0.389520055754744
"19",19,310,"food service managers",310,NA,"Food service managers",310,"11-9051",11,"11-9000","11-9050","11-9051",11,"11-9000","11-9050",0.309320758322912,0.309320758322912,0.347023672604906,0.331652537621519,0.309320758322912
"20",20,330,"gaming managers",330,NA,"Gaming managers",330,"11-9071",11,"11-9000","11-9070","11-9071",11,"11-9000","11-9070",0.497252802650274,0.497252802650274,0.347023672604906,0.331652537621519,0.497252802650274
"21",21,340,"lodging managers",330,NA,"Lodging managers",340,"11-9081",11,"11-9000","11-9080","11-9071",11,"11-9000","11-9070",0.497252802650274,0.497252802650274,0.347023672604906,0.331652537621519,0.497252802650274
"22",22,350,"medical and health services managers",350,NA,"Medical and health services managers",350,"11-9111",11,"11-9000","11-9110","11-9111",11,"11-9000","11-9110",0.349014732865114,0.349014732865114,0.347023672604906,0.331652537621519,0.349014732865114
"23",23,360,"natural sciences managers",360,NA,"Natural sciences managers",360,"11-9121",11,"11-9000","11-9120","11-9121",11,"11-9000","11-9120",0.419326076706229,0.419326076706229,0.347023672604906,0.331652537621519,0.419326076706229
"24",24,410,"property, real estate, and community association managers",410,NA,"Property, real estate, and community association managers",410,"11-9141",11,"11-9000","11-9140","11-9141",11,"11-9000","11-9140",0.381024902751618,0.381024902751618,0.347023672604906,0.331652537621519,0.381024902751618
"25",25,420,"social and community service managers",420,NA,"Social and community service managers",420,"11-9151",11,"11-9000","11-9150","11-9151",11,"11-9000","11-9150",0.311296649482206,0.311296649482206,0.347023672604906,0.331652537621519,0.311296649482206
"26",26,425,"emergency management directors",420,NA,"Emergency management directors",425,"11-9161",11,"11-9000","11-9160","11-9151",11,"11-9000","11-9150",0.311296649482206,0.311296649482206,0.347023672604906,0.331652537621519,0.311296649482206
"27",27,430,"miscellaneous managers, including funeral service managers and postmasters and mail superintendents",430,NA,"Managers, all other",430,"11-9199",11,"11-9000","11-9190","11-9199",11,"11-9000","11-9190",0.329716225889286,0.329716225889286,0.347023672604906,0.331652537621519,0.329716225889286
"28",28,500,"agents and business managers of artists, performers, and athletes",500,NA,"Agents and business managers of artists, performers, and athletes",500,"13-1011",13,"13-1000","13-1010","13-1011",13,"13-1000","13-1010",0.302764410934272,0.302764410934272,0.325250065906211,0.315864881385743,0.302764410934272
"29",29,510,"buyers and purchasing agents, farm products",510,NA,"Buyers and purchasing agents, farm products",510,"13-1021",13,"13-1000","13-1020","13-1021",13,"13-1000","13-1020",0.179392136239666,0.179392136239666,0.325250065906211,0.315864881385743,0.334773200052742
