"","X","acs_occ_code","label","OCC2010_cps","major_cat","OCC2010_desc","OCC2010","SOC2010_orig","SOC_major_orig","SOC_minor_orig","SOC_broad_orig","SOC2010_adj","SOC_major_adj","SOC_minor_adj","SOC_broad_adj","ltuer_occ","uer_occ","ltuer_soc2010","uer_soc2010","ltuer_soc_major","uer_soc_major","ltuer_soc_minor","uer_soc_minor","ltuer_soc_broad","uer_soc_broad"
"1",1,10,"chief executives and legislators",10,NA,"Chief executives",10,"11-1011",11,"11-1000","11-1010","11-1011",11,"11-1000","11-1010",0.390617667905639,0.0166312050830304,0.390617667905639,0.0166312050830304,0.347023672604906,0.0261737183597339,0.371804122619335,0.0224179012250441,0.390617667905639,0.0166312050830304
"2",2,20,"general and operations managers",20,NA,"General and operations managers",20,"11-1021",11,"11-1000","11-1020","11-1021",11,"11-1000","11-1020",0.356337070895074,0.031399874725525,0.356337070895074,0.031399874725525,0.347023672604906,0.0261737183597339,0.371804122619335,0.0224179012250441,0.356337070895074,0.031399874725525
"3",3,40,"advertising and promotions managers",30,NA,"Advertising and promotions managers",40,"11-2011",11,"11-2000","11-2010","11-2011",11,"11-2000","11-2010",0.349213966498906,0.0364515398010846,0.349213966498906,0.0364515398010846,0.347023672604906,0.0261737183597339,0.349213966498906,0.0364515398010846,0.349213966498906,0.0364515398010846
"4",4,50,"marketing and sales managers",30,NA,"Marketing and sales managers",50,"11-2020",11,"11-2000","11-2020","11-2011",11,"11-2000","11-2010",0.349213966498906,0.0364515398010846,0.349213966498906,0.0364515398010846,0.347023672604906,0.0261737183597339,0.349213966498906,0.0364515398010846,0.349213966498906,0.0364515398010846
"5",5,60,"public relations and fundraising managers",30,NA,"Public relations and fundraising managers",60,"11-2031",11,"11-2000","11-2030","11-2011",11,"11-2000","11-2010",0.349213966498906,0.0364515398010846,0.349213966498906,0.0364515398010846,0.347023672604906,0.0261737183597339,0.349213966498906,0.0364515398010846,0.349213966498906,0.0364515398010846
"6",6,100,"administrative services managers",100,NA,"Administrative services managers",100,"11-3011",11,"11-3000","11-3010","11-3011",11,"11-3000","11-3010",0.468451671863668,0.0313860373842244,0.468451671863668,0.0313860373842244,0.347023672604906,0.0261737183597339,0.376991551716436,0.0277923616498086,0.468451671863668,0.0313860373842244
"7",7,110,"computer and information systems managers",110,NA,"Computer and information systems managers",110,"11-3021",11,"11-3000","11-3020","11-3021",11,"11-3000","11-3020",0.376319855649259,0.0248598158267752,0.376319855649259,0.0248598158267752,0.347023672604906,0.0261737183597339,0.376991551716436,0.0277923616498086,0.376319855649259,0.0248598158267752
"8",8,120,"financial managers",120,NA,"Financial managers",120,"11-3031",11,"11-3000","11-3030","11-3031",11,"11-3000","11-3030",0.382179301927228,0.025386461308956,0.382179301927228,0.025386461308956,0.347023672604906,0.0261737183597339,0.376991551716436,0.0277923616498086,0.382179301927228,0.025386461308956
"9",9,135,"compensation and benefits managers",130,NA,"Compensation and benefits managers",135,"11-3111",11,"11-3000","11-3110","11-3111",11,"11-3000","11-3110",0.368582750745165,0.0293212991380897,0.368582750745165,0.0293212991380897,0.347023672604906,0.0261737183597339,0.376991551716436,0.0277923616498086,0.368582750745165,0.0293212991380897
"10",10,136,"human resources managers",130,NA,"Human resources managers",136,"11-3121",11,"11-3000","11-3120","11-3111",11,"11-3000","11-3110",0.368582750745165,0.0293212991380897,0.368582750745165,0.0293212991380897,0.347023672604906,0.0261737183597339,0.376991551716436,0.0277923616498086,0.368582750745165,0.0293212991380897
"11",11,137,"training and development managers",130,NA,"Training and development managers",137,"11-3131",11,"11-3000","11-3130","11-3111",11,"11-3000","11-3110",0.368582750745165,0.0293212991380897,0.368582750745165,0.0293212991380897,0.347023672604906,0.0261737183597339,0.376991551716436,0.0277923616498086,0.368582750745165,0.0293212991380897
"12",12,140,"industrial production managers",140,NA,"Industrial production managers",140,"11-3051",11,"11-3000","11-3050","11-3051",11,"11-3000","11-3050",0.340438355006004,0.0325158000251845,0.340438355006004,0.0325158000251845,0.347023672604906,0.0261737183597339,0.376991551716436,0.0277923616498086,0.340438355006004,0.0325158000251845
"13",13,150,"purchasing managers",150,NA,"Purchasing managers",150,"11-3061",11,"11-3000","11-3060","11-3061",11,"11-3000","11-3060",0.374045078084236,0.0294342630656537,0.374045078084236,0.0294342630656537,0.347023672604906,0.0261737183597339,0.376991551716436,0.0277923616498086,0.374045078084236,0.0294342630656537
"14",14,160,"transportation, storage, and distribution managers",160,NA,"Transportation, storage, and distribution managers",160,"11-3071",11,"11-3000","11-3070","11-3071",11,"11-3000","11-3070",0.360918950174782,0.0346097574424297,0.360918950174782,0.0346097574424297,0.347023672604906,0.0261737183597339,0.376991551716436,0.0277923616498086,0.360918950174782,0.0346097574424297
"15",15,205,"farmers, ranchers, and other agricultural managers",205,NA,"Farmers, ranchers, and other agricultural managers",205,"11-9013",11,"11-9000","11-9010","11-9013",11,"11-9000","11-9010",0.291540016463638,0.011609367616911,0.291540016463638,0.011609367616911,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.291540016463638,0.011609367616911
"16",16,220,"construction managers",220,NA,"Construction managers",220,"11-9021",11,"11-9000","11-9020","11-9021",11,"11-9000","11-9020",0.349045379926706,0.0353270671842646,0.349045379926706,0.0353270671842646,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.349045379926706,0.0353270671842646
"17",17,230,"education administrators",230,NA,"Education administrators",230,"11-9030",11,"11-9000","11-9030","11-9030",11,"11-9000","11-9030",0.330484718471633,0.0198727571322886,0.330484718471633,0.0198727571322886,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.330484718471633,0.0198727571322886
"18",18,300,"architectural and engineering managers",300,NA,"Architectural and engineering managers",300,"11-9041",11,"11-9000","11-9040","11-9041",11,"11-9000","11-9040",0.389520055754744,0.0180575718290276,0.389520055754744,0.0180575718290276,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.389520055754744,0.0180575718290276
"19",19,310,"food service managers",310,NA,"Food service managers",310,"11-9051",11,"11-9000","11-9050","11-9051",11,"11-9000","11-9050",0.309320758322912,0.0419063681224782,0.309320758322912,0.0419063681224782,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.309320758322912,0.0419063681224782
"20",20,330,"gaming managers",330,NA,"Gaming managers",330,"11-9071",11,"11-9000","11-9070","11-9071",11,"11-9000","11-9070",0.497252802650274,0.0526379648983657,0.497252802650274,0.0526379648983657,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.497252802650274,0.0526379648983657
"21",21,340,"lodging managers",330,NA,"Lodging managers",340,"11-9081",11,"11-9000","11-9080","11-9071",11,"11-9000","11-9070",0.497252802650274,0.0526379648983657,0.497252802650274,0.0526379648983657,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.497252802650274,0.0526379648983657
"22",22,350,"medical and health services managers",350,NA,"Medical and health services managers",350,"11-9111",11,"11-9000","11-9110","11-9111",11,"11-9000","11-9110",0.349014732865114,0.0191790207500884,0.349014732865114,0.0191790207500884,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.349014732865114,0.0191790207500884
"23",23,360,"natural sciences managers",360,NA,"Natural sciences managers",360,"11-9121",11,"11-9000","11-9120","11-9121",11,"11-9000","11-9120",0.419326076706229,0.0176026911833686,0.419326076706229,0.0176026911833686,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.419326076706229,0.0176026911833686
"24",24,410,"property, real estate, and community association managers",410,NA,"Property, real estate, and community association managers",410,"11-9141",11,"11-9000","11-9140","11-9141",11,"11-9000","11-9140",0.381024902751618,0.0280068942898793,0.381024902751618,0.0280068942898793,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.381024902751618,0.0280068942898793
"25",25,420,"social and community service managers",420,NA,"Social and community service managers",420,"11-9151",11,"11-9000","11-9150","11-9151",11,"11-9000","11-9150",0.311296649482206,0.0296299691994923,0.311296649482206,0.0296299691994923,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.311296649482206,0.0296299691994923
"26",26,425,"emergency management directors",420,NA,"Emergency management directors",425,"11-9161",11,"11-9000","11-9160","11-9151",11,"11-9000","11-9150",0.311296649482206,0.0296299691994923,0.311296649482206,0.0296299691994923,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.311296649482206,0.0296299691994923
"27",27,430,"miscellaneous managers, including funeral service managers and postmasters and mail superintendents",430,NA,"Managers, all other",430,"11-9199",11,"11-9000","11-9190","11-9199",11,"11-9000","11-9190",0.329716225889286,0.0231026364856945,0.329716225889286,0.0231026364856945,0.347023672604906,0.0261737183597339,0.331652537621519,0.0255210815658061,0.329716225889286,0.0231026364856945
"28",28,500,"agents and business managers of artists, performers, and athletes",500,NA,"Agents and business managers of artists, performers, and athletes",500,"13-1011",13,"13-1000","13-1010","13-1011",13,"13-1000","13-1010",0.302764410934272,0.0610281756564831,0.302764410934272,0.0610281756564831,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.302764410934272,0.0610281756564831
"29",29,510,"buyers and purchasing agents, farm products",510,NA,"Buyers and purchasing agents, farm products",510,"13-1021",13,"13-1000","13-1020","13-1021",13,"13-1000","13-1020",0.179392136239666,0.0369816074574551,0.179392136239666,0.0369816074574551,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.334773200052742,0.0357941307862739
"30",30,520,"wholesale and retail buyers, except farm products",520,NA,"Wholesale and retail buyers, except farm products",520,"13-1022",13,"13-1000","13-1020","13-1022",13,"13-1000","13-1020",0.332057714804759,0.0380491193091793,0.332057714804759,0.0380491193091793,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.334773200052742,0.0357941307862739
"31",31,530,"purchasing agents, except wholesale, retail, and farm products",530,NA,"Purchasing agents, except wholesale, retail, and farm products",530,"13-1023",13,"13-1000","13-1020","13-1023",13,"13-1000","13-1020",0.343863152839686,0.0340870756190764,0.343863152839686,0.0340870756190764,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.334773200052742,0.0357941307862739
"32",32,540,"claims adjusters, appraisers, examiners, and investigators",540,NA,"Claims adjusters, appraisers, examiners, and investigators",540,"13-1030",13,"13-1000","13-1030","13-1030",13,"13-1000","13-1030",0.348010170956149,0.0272925177746359,0.348010170956149,0.0272925177746359,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.348010170956149,0.0272925177746359
"33",33,565,"compliance officers",560,NA,"Compliance officers",565,"13-1041",13,"13-1000","13-1040","13-1041",13,"13-1000","13-1040",0.234731508221559,0.0199944416818894,0.234731508221559,0.0199944416818894,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.234731508221559,0.0199944416818894
"34",34,600,"cost estimators",600,NA,"Cost estimators",600,"13-1051",13,"13-1000","13-1050","13-1051",13,"13-1000","13-1050",0.364625904900018,0.0309853048166809,0.364625904900018,0.0309853048166809,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.364625904900018,0.0309853048166809
"35",35,630,"human resources workers",620,NA,"Human resources workers",630,"13-1070",13,"13-1000","13-1070","13-1070",13,"13-1000","13-1070",0.327415075965289,0.0398171780983238,0.327415075965289,0.0398171780983238,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.327415075965289,0.0398171780983238
"36",36,640,"compensation, benefits, and job analysis specialists",620,NA,"Compensation, benefits, and job analysis specialists",640,"13-1141",13,"13-1000","13-1140","13-1070",13,"13-1000","13-1070",0.327415075965289,0.0398171780983238,0.327415075965289,0.0398171780983238,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.327415075965289,0.0398171780983238
"37",37,650,"training and development specialists",620,NA,"Training and development specialists",650,"13-1151",13,"13-1000","13-1150","13-1070",13,"13-1000","13-1070",0.327415075965289,0.0398171780983238,0.327415075965289,0.0398171780983238,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.327415075965289,0.0398171780983238
"38",38,700,"logisticians",700,NA,"Logisticians",700,"13-1081",13,"13-1000","13-1080","13-1081",13,"13-1000","13-1080",0.373994744125961,0.0314287700453351,0.373994744125961,0.0314287700453351,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.373994744125961,0.0314287700453351
"39",39,710,"management analysts",710,NA,"Management analysts",710,"13-1111",13,"13-1000","13-1110","13-1111",13,"13-1000","13-1110",0.318902881299804,0.0359081657861618,0.318902881299804,0.0359081657861618,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.318902881299804,0.0359081657861618
"40",40,725,"meeting, convention, and event planners",720,NA,"Meeting, convention, and event planners",725,"13-1121",13,"13-1000","13-1120","13-1121",13,"13-1000","13-1120",0.237180095464047,0.0568098896125301,0.237180095464047,0.0568098896125301,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.237180095464047,0.0568098896125301
"41",41,726,"fundraisers",720,NA,"Fundraisers",726,"13-1131",13,"13-1000","13-1130","13-1121",13,"13-1000","13-1120",0.237180095464047,0.0568098896125301,0.237180095464047,0.0568098896125301,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.237180095464047,0.0568098896125301
"42",42,735,"market research analysts and marketing specialists",730,NA,"Market research analysts and marketing specialists",735,"13-1161",13,"13-1000","13-1160","13-1161",13,"13-1000","13-1160",0.300784158320794,0.036379523892511,0.300784158320794,0.036379523892511,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.300784158320794,0.036379523892511
"43",43,740,"business operations specialists, all other",730,NA,"Business operations specialists, all other",740,"13-1199",13,"13-1000","13-1190","13-1161",13,"13-1000","13-1160",0.300784158320794,0.036379523892511,0.300784158320794,0.036379523892511,0.325250065906211,0.0336273051078002,0.315864881385743,0.0361853604166525,0.300784158320794,0.036379523892511
