"","occ_code","occ_title","occ_group","tot_emp","emp_prse","year"
"1","11-0000","Management Occupations","major",7782680,0.3,2000
"2","11-1011","Chief Executives",NA,519890,0.9,2000
"3","11-1021","General and Operations Managers",NA,2221590,0.5,2000
"4","11-1031","Legislators",NA,52750,2.8,2000
"5","11-2011","Advertising and Promotions Managers",NA,93420,1.8,2000
"6","11-2021","Marketing Managers",NA,202100,1.6,2000
"7","11-2022","Sales Managers",NA,344180,1,2000
"8","11-2031","Public Relations Managers",NA,68000,4.4,2000
"9","11-3011","Administrative Services Managers",NA,344440,1.2,2000
"10","11-3021","Computer and Information Systems Managers",NA,283480,1.2,2000
"11","11-3031","Financial Managers",NA,622890,1.4,2000
"12","11-3040","Human Resources Managers",NA,224970,1.1,2000
"13","11-3051","Industrial Production Managers",NA,205370,0.8,2000
"14","11-3061","Purchasing Managers",NA,126030,1.1,2000
"15","11-3071","Transportation, Storage, and Distribution Managers",NA,116680,1.3,2000
"16","11-9011","Farm, Ranch, and Other Agricultural Managers",NA,5370,5.8,2000
"17","11-9021","Construction Managers",NA,229200,1.7,2000
"18","11-9031","Education Administrators, Preschool and Child Care Center/Program",NA,49460,3.9,2000
"19","11-9032","Education Administrators, Elementary and Secondary School",NA,196390,1.6,2000
"20","11-9033","Education Administrators, Postsecondary",NA,92280,2.7,2000
"21","11-9041","Engineering Managers",NA,242280,1.8,2000
"22","11-9051","Food Service Managers",NA,282290,2.4,2000
"23","11-9061","Funeral Directors",NA,26110,5.6,2000
"24","11-9071","Gaming Managers",NA,3720,5.2,2000
"25","11-9081","Lodging Managers",NA,31890,4.6,2000
"26","11-9111","Medical and Health Services Managers",NA,230410,1.3,2000
"27","11-9121","Natural Sciences Managers",NA,38870,3,2000
"28","11-9131","Postmasters and Mail Superintendents",NA,26850,0,2000
"29","11-9141","Property, Real Estate, and Community Association Managers",NA,145340,2.6,2000
"30","11-9151","Social and Community Service Managers",NA,93460,1.5,2000
"31","13-0000","Business and Financial Operations Occupations","major",4619270,0.5,2000
"32","13-1011","Agents and Business Managers of Artists, Performers, and Athletes",NA,6600,20.6,2000
"33","13-1021","Purchasing Agents and Buyers, Farm Products",NA,17910,3.9,2000
"34","13-1022","Wholesale and Retail Buyers, Except Farm Products",NA,137040,1.9,2000
"35","13-1023","Purchasing Agents, Except Wholesale, Retail, and Farm Products",NA,228940,0.8,2000
"36","13-1031","Claims Adjusters, Examiners, and Investigators",NA,189700,2.5,2000
