"","year","occ_code"
"1",2000,"11-0000"
"2",2000,"11-1011"
"3",2000,"11-1021"
"4",2000,"11-1031"
"5",2000,"11-2011"
"6",2000,"11-2021"
"7",2000,"11-2022"
"8",2000,"11-2031"
"9",2000,"11-3011"
"10",2000,"11-3021"
"11",2000,"11-3031"
"12",2000,"11-3040"
"13",2000,"11-3051"
"14",2000,"11-3061"
"15",2000,"11-3071"
"16",2000,"11-9011"
"17",2000,"11-9021"
"18",2000,"11-9031"
"19",2000,"11-9032"
"20",2000,"11-9033"
"21",2000,"11-9041"
"22",2000,"11-9051"
"23",2000,"11-9061"
"24",2000,"11-9071"
"25",2000,"11-9081"
"26",2000,"11-9111"
"27",2000,"11-9121"
"28",2000,"11-9131"
"29",2000,"11-9141"
"30",2000,"11-9151"
"31",2000,"13-0000"
"32",2000,"13-1011"
"33",2000,"13-1021"
"34",2000,"13-1022"
"35",2000,"13-1023"
"36",2000,"13-1031"
"37",2000,"13-1032"
"38",2000,"13-1041"
"39",2000,"13-1051"
"40",2000,"13-1061"
"41",2000,"13-1071"
"42",2000,"13-1072"
"43",2000,"13-1073"
"44",2000,"13-1111"
"45",2000,"13-1121"
"46",2000,"13-2011"
"47",2000,"13-2021"
"48",2000,"13-2031"
"49",2000,"13-2041"
"50",2000,"13-2051"
"51",2000,"13-2052"
"52",2000,"13-2053"
"53",2000,"13-2061"
"54",2000,"13-2071"
"55",2000,"13-2072"
"56",2000,"13-2081"
"57",2000,"13-2082"
"58",2000,"15-0000"
"59",2000,"15-1011"
"60",2000,"15-1021"
"61",2000,"15-1031"
"62",2000,"15-1032"
"63",2000,"15-1041"
"64",2000,"15-1051"
"65",2000,"15-1061"
"66",2000,"15-1071"
"67",2000,"15-1081"
"68",2000,"15-2011"
"69",2000,"15-2021"
"70",2000,"15-2031"
"71",2000,"15-2041"
"72",2000,"15-2091"
"73",2000,"17-0000"
"74",2000,"17-1011"
"75",2000,"17-1012"
"76",2000,"17-1021"
"77",2000,"17-1022"
"78",2000,"17-2011"
"79",2000,"17-2021"
"80",2000,"17-2031"
"81",2000,"17-2041"
"82",2000,"17-2051"
"83",2000,"17-2061"
"84",2000,"17-2071"
"85",2000,"17-2072"
"86",2000,"17-2081"
"87",2000,"17-2111"
"88",2000,"17-2112"
"89",2000,"17-2121"
"90",2000,"17-2131"
"91",2000,"17-2141"
"92",2000,"17-2151"
"93",2000,"17-2161"
"94",2000,"17-2171"
"95",2000,"17-3011"
"96",2000,"17-3012"
"97",2000,"17-3013"
"98",2000,"17-3021"
"99",2000,"17-3022"
"100",2000,"17-3023"
"101",2000,"17-3024"
"102",2000,"17-3025"
"103",2000,"17-3026"
"104",2000,"17-3027"
"105",2000,"17-3031"
"106",2000,"19-0000"
"107",2000,"19-1010"
"108",2000,"19-1021"
"109",2000,"19-1022"
"110",2000,"19-1023"
"111",2000,"19-1031"
"112",2000,"19-1032"
"113",2000,"19-1041"
"114",2000,"19-1042"
"115",2000,"19-2011"
"116",2000,"19-2012"
"117",2000,"19-2021"
"118",2000,"19-2031"
"119",2000,"19-2032"
"120",2000,"19-2041"
"121",2000,"19-2042"
"122",2000,"19-2043"
"123",2000,"19-3011"
"124",2000,"19-3021"
"125",2000,"19-3022"
"126",2000,"19-3031"
"127",2000,"19-3032"
"128",2000,"19-3041"
"129",2000,"19-3051"
"130",2000,"19-3091"
"131",2000,"19-3092"
"132",2000,"19-3093"
"133",2000,"19-3094"
"134",2000,"19-4011"
"135",2000,"19-4021"
"136",2000,"19-4031"
"137",2000,"19-4041"
"138",2000,"19-4051"
"139",2000,"19-4091"
"140",2000,"19-4092"
"141",2000,"19-4093"
"142",2000,"21-0000"
"143",2000,"21-1011"
"144",2000,"21-1012"
"145",2000,"21-1013"
"146",2000,"21-1014"
"147",2000,"21-1015"
"148",2000,"21-1021"
"149",2000,"21-1022"
"150",2000,"21-1023"
"151",2000,"21-1091"
"152",2000,"21-1092"
"153",2000,"21-1093"
"154",2000,"21-2011"
"155",2000,"21-2021"
"156",2000,"23-0000"
"157",2000,"23-1011"
"158",2000,"23-1021"
"159",2000,"23-1022"
"160",2000,"23-1023"
"161",2000,"23-2011"
"162",2000,"23-2091"
"163",2000,"23-2092"
"164",2000,"23-2093"
"165",2000,"25-0000"
"166",2000,"25-1011"
"167",2000,"25-1021"
"168",2000,"25-1022"
"169",2000,"25-1031"
"170",2000,"25-1032"
"171",2000,"25-1041"
"172",2000,"25-1042"
"173",2000,"25-1043"
"174",2000,"25-1051"
"175",2000,"25-1052"
"176",2000,"25-1053"
"177",2000,"25-1054"
"178",2000,"25-1061"
"179",2000,"25-1062"
"180",2000,"25-1063"
"181",2000,"25-1064"
"182",2000,"25-1065"
"183",2000,"25-1066"
"184",2000,"25-1067"
"185",2000,"25-1071"
"186",2000,"25-1072"
"187",2000,"25-1081"
"188",2000,"25-1082"
"189",2000,"25-1111"
"190",2000,"25-1112"
"191",2000,"25-1113"
"192",2000,"25-1121"
"193",2000,"25-1122"
"194",2000,"25-1123"
"195",2000,"25-1124"
"196",2000,"25-1125"
"197",2000,"25-1126"
"198",2000,"25-1191"
"199",2000,"25-1192"
"200",2000,"25-1193"
"201",2000,"25-1194"
"202",2000,"25-2011"
"203",2000,"25-2012"
"204",2000,"25-2021"
"205",2000,"25-2022"
"206",2000,"25-2023"
"207",2000,"25-2031"
"208",2000,"25-2032"
"209",2000,"25-2041"
"210",2000,"25-2042"
"211",2000,"25-2043"
"212",2000,"25-3011"
"213",2000,"25-3021"
"214",2000,"25-4010"
"215",2000,"25-4021"
"216",2000,"25-4031"
"217",2000,"25-9011"
"218",2000,"25-9021"
"219",2000,"25-9031"
"220",2000,"25-9041"
"221",2000,"27-0000"
"222",2000,"27-1011"
"223",2000,"27-1013"
"224",2000,"27-1014"
"225",2000,"27-1021"
"226",2000,"27-1022"
"227",2000,"27-1023"
"228",2000,"27-1024"
"229",2000,"27-1025"
"230",2000,"27-1026"
"231",2000,"27-1027"
"232",2000,"27-2011"
"233",2000,"27-2012"
"234",2000,"27-2021"
"235",2000,"27-2022"
"236",2000,"27-2023"
"237",2000,"27-2031"
"238",2000,"27-2032"
"239",2000,"27-2041"
"240",2000,"27-2042"
"241",2000,"27-3010"
"242",2000,"27-3020"
"243",2000,"27-3031"
"244",2000,"27-3041"
"245",2000,"27-3042"
"246",2000,"27-3043"
"247",2000,"27-3091"
"248",2000,"27-4011"
"249",2000,"27-4012"
"250",2000,"27-4013"
"251",2000,"27-4014"
"252",2000,"27-4021"
"253",2000,"27-4031"
"254",2000,"27-4032"
"255",2000,"29-0000"
"256",2000,"29-1011"
"257",2000,"29-1020"
"258",2000,"29-1031"
"259",2000,"29-1041"
"260",2000,"29-1051"
"261",2000,"29-1061"
"262",2000,"29-1062"
"263",2000,"29-1063"
"264",2000,"29-1064"
"265",2000,"29-1065"
"266",2000,"29-1066"
"267",2000,"29-1067"
"268",2000,"29-1071"
"269",2000,"29-1081"
"270",2000,"29-1111"
"271",2000,"29-1121"
"272",2000,"29-1122"
"273",2000,"29-1123"
"274",2000,"29-1124"
"275",2000,"29-1125"
"276",2000,"29-1126"
"277",2000,"29-1127"
"278",2000,"29-1131"
"279",2000,"29-2011"
"280",2000,"29-2012"
"281",2000,"29-2021"
"282",2000,"29-2031"
"283",2000,"29-2032"
"284",2000,"29-2033"
"285",2000,"29-2034"
"286",2000,"29-2041"
"287",2000,"29-2051"
"288",2000,"29-2052"
"289",2000,"29-2053"
"290",2000,"29-2054"
"291",2000,"29-2055"
"292",2000,"29-2056"
"293",2000,"29-2061"
"294",2000,"29-2071"
"295",2000,"29-2081"
"296",2000,"29-2091"
"297",2000,"29-9010"
"298",2000,"29-9091"
"299",2000,"31-0000"
"300",2000,"31-1011"
"301",2000,"31-1012"
"302",2000,"31-1013"
"303",2000,"31-2011"
"304",2000,"31-2012"
"305",2000,"31-2021"
"306",2000,"31-2022"
"307",2000,"31-9011"
"308",2000,"31-9091"
"309",2000,"31-9092"
"310",2000,"31-9093"
"311",2000,"31-9094"
"312",2000,"31-9095"
"313",2000,"31-9096"
"314",2000,"33-0000"
"315",2000,"33-1011"
"316",2000,"33-1012"
"317",2000,"33-1021"
"318",2000,"33-2011"
"319",2000,"33-2021"
"320",2000,"33-2022"
"321",2000,"33-3011"
"322",2000,"33-3012"
"323",2000,"33-3021"
"324",2000,"33-3031"
"325",2000,"33-3041"
"326",2000,"33-3051"
"327",2000,"33-3052"
"328",2000,"33-9011"
"329",2000,"33-9021"
"330",2000,"33-9031"
"331",2000,"33-9032"
"332",2000,"33-9091"
"333",2000,"35-0000"
"334",2000,"35-1011"
"335",2000,"35-1012"
"336",2000,"35-2011"
"337",2000,"35-2012"
"338",2000,"35-2014"
"339",2000,"35-2015"
"340",2000,"35-2021"
"341",2000,"35-3011"
"342",2000,"35-3021"
"343",2000,"35-3022"
"344",2000,"35-3031"
"345",2000,"35-3041"
"346",2000,"35-9011"
"347",2000,"35-9021"
"348",2000,"35-9031"
"349",2000,"37-0000"
"350",2000,"37-1011"
"351",2000,"37-1012"
"352",2000,"37-2011"
"353",2000,"37-2012"
"354",2000,"37-2021"
"355",2000,"37-3011"
"356",2000,"37-3012"
