year,occ_code,soc2010_code
2000,11-0000,11-0000
2000,11-1011,11-1011
2000,11-1011,11-1011
2000,11-1011,11-1011
2000,11-1021,11-1021
2000,11-1021,11-1021
2000,11-1021,11-1021
2000,11-1031,11-1031
2000,11-1031,11-1031
2000,11-1031,11-1031
2000,11-2011,11-2011
2000,11-2011,11-2011
2000,11-2011,11-2011
2000,11-2021,11-2021
2000,11-2021,11-2021
2000,11-2021,11-2021
2000,11-2022,11-2022
2000,11-2022,11-2022
2000,11-2022,11-2022
2000,11-2031,11-2031
2000,11-2031,11-2031
2000,11-3011,11-3011
2000,11-3011,11-3011
2000,11-3021,11-3021
2000,11-3021,11-3021
2000,11-3021,11-3021
2000,11-3031,11-3031
2000,11-3031,11-3031
2000,11-3031,11-3031
2000,11-3040,11-3040
2000,11-3051,11-3051
2000,11-3051,11-3051
2000,11-3051,11-3051
2000,11-3061,11-3061
2000,11-3061,11-3061
2000,11-3061,11-3061
2000,11-3071,11-3071
2000,11-3071,11-3071
2000,11-3071,11-3071
2000,11-9011,11-9013
2000,11-9011,11-9011
2000,11-9021,11-9021
2000,11-9021,11-9021
2000,11-9021,11-9021
2000,11-9031,11-9031
2000,11-9031,11-9031
2000,11-9031,11-9031
2000,11-9032,11-9032
2000,11-9032,11-9032
2000,11-9032,11-9032
2000,11-9033,11-9033
2000,11-9033,11-9033
2000,11-9033,11-9033
2000,11-9041,11-9041
2000,11-9041,11-9041
2000,11-9041,11-9041
2000,11-9051,11-9051
2000,11-9051,11-9051
2000,11-9051,11-9051
2000,11-9061,11-9061
2000,11-9061,39-4031
2000,11-9061,11-9061
2000,11-9071,11-9071
2000,11-9071,11-9071
2000,11-9071,11-9071
2000,11-9081,11-9081
2000,11-9081,11-9081
2000,11-9081,11-9081
2000,11-9111,11-9111
2000,11-9111,11-9111
2000,11-9111,11-9111
2000,11-9121,11-9121
2000,11-9121,11-9121
2000,11-9121,11-9121
2000,11-9131,11-9131
2000,11-9131,11-9131
2000,11-9131,11-9131
2000,11-9141,11-9141
2000,11-9141,11-9141
2000,11-9141,11-9141
2000,11-9151,11-9151
2000,11-9151,11-9151
2000,11-9151,11-9151
2000,13-0000,13-0000
2000,13-1011,13-1011
2000,13-1011,13-1011
2000,13-1011,13-1011
2000,13-1021,13-1021
2000,13-1021,13-1021
2000,13-1021,13-1021
2000,13-1022,13-1022
2000,13-1022,13-1022
2000,13-1022,13-1022
2000,13-1023,13-1023
2000,13-1023,13-1023
2000,13-1023,13-1023
2000,13-1031,13-1031
2000,13-1031,13-1031
2000,13-1031,13-1031
2000,13-1032,13-1032
2000,13-1032,13-1032
2000,13-1032,13-1032
2000,13-1041,13-1041
2000,13-1041,33-9093
2000,13-1041,13-1041
2000,13-1041,13-1041
2000,13-1051,13-1051
2000,13-1051,13-1051
2000,13-1051,13-1051
2000,13-1061,11-9161
2000,13-1061,13-1061
2000,13-1071,13-1071
2000,13-1071,13-1071
2000,13-1071,13-1071
2000,13-1072,13-1141
2000,13-1072,13-1072
2000,13-1073,13-1151
2000,13-1073,13-1073
2000,13-1111,13-1111
2000,13-1111,13-1111
2000,13-1111,13-1111
2000,13-1121,13-1121
2000,13-1121,13-1121
2000,13-1121,13-1121
2000,13-2011,13-2011
2000,13-2011,13-2011
2000,13-2011,13-2011
2000,13-2021,13-2021
2000,13-2021,13-2021
2000,13-2031,13-2031
2000,13-2031,13-2031
2000,13-2031,13-2031
2000,13-2041,13-2041
2000,13-2041,13-2041
2000,13-2041,13-2041
2000,13-2051,13-2051
2000,13-2051,13-2051
2000,13-2051,13-2051
2000,13-2052,13-2052
2000,13-2052,13-2052
2000,13-2052,13-2052
2000,13-2053,13-2053
2000,13-2053,13-2053
2000,13-2053,13-2053
