acs_occ_code,SOC2010,SOC_major,SOC_minor,SOC_broad,SOC2010_cleaned,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,year
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,NA,519890,0.9,50.3,104630,0.5,22.3,34.99,54.72,70,70,46390,72780,113810,145600,145600,2000
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,NA,455930,0.8,51.77,107670,0.4,23.52,36.93,57.91,70,70,48920,76810,120450,145600,145600,2001
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,NA,452400,0.7,64.89,134960,0.3,24.83,38.88,60.7,70,70,51650,80860,126260,145600,145600,2002
10,11-1011,11,11-1000,11-1010,11-1011,Chief executives,NA,389880,0.8,67.58,140580,0.3,26.79,41.64,64.78,70,70,55720,86620,134740,145600,145600,2003
10,11-1011,11,11-1000,11-1010,11-1011,Chief executives,NA,346590,0.7,67.27,139920,0.3,27.76,43.14,67.47,70,70,57740,89730,140350,145600,145600,2004
10,11-1011,11,11-1000,11-1010,11-1011,Chief executives,NA,321300,0.6,67.22,139810,0.2,28.84,44.19,68.48,70,70,59990,91910,142440,145600,145600,2005
10,11-1011,11,11-1000,11-1010,11-1011,Chief executives,NA,299520,0.5,69.52,144600,0.2,29.79,45.61,70,70,70,61970,94870,145600,145600,145600,2006
10,11-1011,11,11-1000,11-1010,11-1011,Chief executives,NA,299160,0.7,72.77,151370,0.4,31.02,47.09,70,70,70,64530,97960,145600,145600,145600,2007
10,11-1011,11,11-1000,11-1010,11-1011,Chief executives,NA,301930,0.7,77.13,160440,0.5,33.02,49.08,76.23,80,80,68680,102080,158560,166400,166400,2008
10,11-1011,11,11-1000,11-1010,11-1011,Chief executives,NA,297640,0.5,80.43,167280,0.5,34.13,50.26,77.27,80,80,71000,104550,160720,166400,166400,2009
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,NA,273500,0.5,83.34,173350,0.3,36.14,51.92,79.37,80,80,75160,107990,165080,166400,166400,2010
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,NA,267370,0.5,84.87999999999998,176550,0.4,36.47,52.56,80.25,90,90,75860,109320,166910,187200,187200,2011
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,255940,0.6,85.01999999999998,176840,0.3,36.65,52.86,80.84,90,90,76220,109940,168140,187200,187200,2012
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,248760,0.6,85.76999999999998,178400,0.3,36.07,53.18,82.5,90,90,75030,110610,171610,187200,187200,2013
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,246240,0.8,86.88,180700,0.4,34.97,53.25,83.33,90,90,72750,110760,173320,187200,187200,2014
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,238940,0.7,89.35,185850,0.4,32.98,53.38,84.19,90,90,68600,111040,175110,187200,187200,2015
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,223260,0.7,93.44,194350,0.4,33.55,54.86,87.12,100,100,69780,114100,181210,208000,208000,2016
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,210160,0.7,94.25,196050,0.4,32.74,54.55,88.11,100,100,68110,113470,183270,208000,208000,2017
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,195530,0.7,96.22,200140,0.5,32.86,55.75,91.15,100,100,68360,115960,189600,208000,208000,2018
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,205890,0.8,93.2,193850,0.4,29.95,54.23,88.68,100,100,62290,112790,184460,208000,208000,2019
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,202360,1,95.12,197840,0.5,30.18,55.06,89.4,100,100,62780,114530,185950,208000,208000,2020
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,200480,1.6,102.41,213020,0.8,28.99,53.4,86.31,100,100,60300,111080,179520,208000,208000,2021
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,199240,0.9,118.48,246440,1.6,36.02,58.89,91.12,115,115,74920,122480,189520,239200,239200,2022
10,11-1011,11,11-1000,11-1010,11-1011,Chief Executives,detailed,211230,1.4,124.47,258900,0.7,38.46,62.9,99.37,115,115,80000,130840,206680,239200,239200,2023
