X.1,year,SOC_minor,lf_total,lf,emp,unemp,male,female,female_share,mean_weekly_earnings,median_weekly_earnings,mean_age,median_age,mean_educ,median_educ,id,h_mean,a_mean,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,mu,sigma
1,2012,11-1000,2674834.34,2671832.06,2570846.06,100986,1955537.99,716294.07,0.26809097799358,1710.87665198238,1615,47.8070279928529,49,102.033617344946,111,1,60.62416666666667,126100.83333333333,21.026666666666667,31.48,48.96,77.76333333333332,99.16666666666667,43736.666666666664,65477.5,101840,161750,206266.66666666666,11.507458897839683,0.6192778757295584
2,2012,11-2000,1111422.99,1105973.63,1040729.76,65243.87,648037.51,457936.12,0.414056997000914,1502.37894736842,1442,41.7463556851312,41,105.085425508744,111,2,66.945,139249.16666666666,29.3475,41.605000000000004,59.455,83.18666666666667,99.16666666666667,61040.833333333336,86540,123664.16666666667,173030.83333333334,206266.66666666666,11.682227072590033,0.4834239453028027
3,2012,11-3000,2855206.76,2849485.44,2764658.19,84827.25,1687825.63,1161659.81,0.407673537717743,1372.92657342657,1250,44.0172031076582,45,99.7237317415457,111,3,62.8125,130648.33333333333,31.135833333333334,41.34916666666667,56.270833333333336,75.86666666666666,98.38083333333333,64763.333333333336,86005,117043.33333333333,157803.33333333334,204632.5,11.661806176920104,0.4490922304139233
4,2012,11-9000,4056830.22,4040905.25,3843420.39999999,197484.85,2593669.73,1447235.52,0.358146363367466,1150.33712121212,996,46.8101311953353,48,91.0742499790117,81,4,48.7775,101455.83333333333,21.323333333333334,29.97083333333333,43.625,60.5075,80.6925,44351.666666666664,62336.666666666664,90739.16666666667,125855.83333333333,167840.83333333334,11.385923751524116,0.5195846627529986
5,2012,13-1000,1922278.13,1918391.25,1810088.7,108302.55,876878.47,1041512.78,0.542909471673205,1059.04605263158,892,43.7996729354047,44,96.56801646171,111,5,36.15083333333333,75190.83333333333,18.18,24.163333333333334,32.98416666666667,44.248333333333335,57.685,37811.666666666664,50262.5,68608.33333333333,92036.66666666667,119984.16666666667,11.125322841327355,0.45007136920572727
6,2012,13-2000,3335989.2,3327254.07,3183638.27,143615.8,1428524.9,1898729.17,0.570659507826524,1192.58389261745,1058,43.7002868068834,44,105.257596336789,111,6,39.735,82650.83333333333,19.43,25.675833333333333,34.17166666666667,46.44833333333333,64.69583333333334,40413.333333333336,53405,71080,96612.5,134565,11.190480404474526,0.4628313785185925
7,2012,15-1100,3635720.36,3627714.59,3455532.42,172182.17,2706309.64,921404.95,0.253990474482173,1403.19241982507,1301,41.1737791465024,40,104.184787086572,111,7,41.27285714285714,85848.57142857143,20.185714285714287,27.952857142857145,39.06,52.36142857142857,66.1,41990,58137.142857142855,81241.42857142857,108914.28571428571,137485.7142857143,11.270103836219047,0.46331923188478735
8,2012,15-2000,201035.54,201035.54,196100.4,4935.14,104418.08,96617.46,0.480598903059628,1572.96428571429,1339.5,41.6258503401361,42,111.606556780955,111,8,45.619166666666665,94888.33333333333,23.295833333333334,31.0275,42.15416666666667,56.3375,72.52,48456.666666666664,64537.5,87680.83333333333,117181.66666666667,150840.83333333334,11.368069346887923,0.44285080733840027
9,2012,17-1000,244746.78,244746.78,239311.34,5435.44,183853.18,60893.6,0.248802456154888,1300.8,1019,44.8645161290323,45,110.576599577735,111,9,38.02333333333333,79085.83333333333,20.475,26.6525,35.0325,45.70166666666667,58.3725,42589.166666666664,55436.666666666664,72866.66666666667,95059.16666666667,121415.83333333333,11.189593925010842,0.40678400246451196
10,2012,17-2000,1125202.56,1113886.77,1055632.09,58254.68,975852.08,138034.69,0.123921653185629,1505.87155963303,1336.5,44.4264487369985,44,109.376660062135,111,10,47.765,99349.16666666667,27.773333333333333,34.89333333333333,44.91583333333333,57.83166666666666,72.9675,57768.333333333336,72576.66666666667,93426.66666666667,120287.5,151770,11.445857674227,0.37635416002104916
