Real Value Added by Industry
Real Value Added by Industry
"Last Revised on: March 27, 2025"
Line,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"        Gross domestic product",12370.3,12924.9,13543.8,14096.0,14230.7,14472.7,14877.3,15449.8,15988.0,16433.1,16762.4,16781.5,16349.1,16789.8,17052.4,17442.8,17812.2,18261.7,18799.6,19141.7,19612.1,20193.9,20715.7,20267.6,21494.8,22034.8,22671.1,23305.0
2,Private industries,10332.4,10849.3,11426.9,11928.9,12041.5,12245.1,12616.7,13159.9,13667.0,14095.1,14398.4,14372.1,13941.7,14366.6,14635.0,15045.9,15417.3,15860.8,16394.2,16710.7,17156.3,17711.8,18216.3,17789.8,19004.9,19506.2,20092.9,20677.2
3,"    Agriculture, forestry, fishing, and hunting",113.2,111.7,114.4,129.9,127.1,131.3,141.5,153.4,159.6,161.7,144.5,144.1,160.0,156.0,150.2,145.7,160.4,159.0,171.6,181.5,176.8,184.1,172.5,174.9,185.7,185.6,192.7,202.6
4,"        Farms",88.6,86.7,88.2,103.0,97.2,101.1,109.7,121.5,127.9,125.1,110.3,110.1,126.8,123.3,118.0,112.4,126.5,124.5,134.8,143.9,138.7,144.1,131.4,131.4,142.9,142.4,148.1,159.8
5,"        Forestry, fishing, and related activities",25.3,25.9,27.1,28.0,31.2,31.4,32.9,32.5,31.9,37.2,34.6,34.4,33.1,32.6,32.4,34.4,33.7,34.6,36.8,37.7,38.1,40.0,40.8,43.0,42.2,42.9,44.0,41.9
6,"    Mining",170.6,179.4,173.2,151.3,175.8,181.2,159.5,159.8,161.6,186.5,201.5,195.0,224.1,199.1,207.0,232.2,241.8,267.4,285.9,261.6,267.3,277.0,312.5,304.5,277.7,251.7,336.3,339.7
7,"        Oil and gas extraction",102.6,105.0,94.7,68.1,80.0,92.4,73.6,72.4,70.9,80.5,87.2,82.5,112.0,88.7,88.9,109.6,113.8,126.2,171.6,178.5,161.1,151.4,191.7,210.2,163.5,134.0,208.6,216.5
8,"        Mining, except oil and gas",62.4,72.7,77.2,75.9,73.6,67.7,69.5,67.4,68.3,70.4,72.3,66.9,62.4,64.4,64.8,57.8,58.5,56.7,51.9,49.8,52.3,50.7,51.1,55.3,55.1,53.7,53.4,51.3
9,"        Support activities for mining",15.3,14.4,13.9,18.9,28.5,22.1,24.0,27.8,33.6,49.2,56.0,62.7,46.9,53.0,66.1,69.2,74.7,89.9,60.7,36.5,53.9,77.5,70.9,46.9,61.0,80.4,85.6,82.5
10,"    Utilities",248.0,236.9,276.4,280.8,233.9,239.5,236.5,251.2,239.8,254.3,260.5,276.3,257.0,290.8,301.9,306.2,304.0,292.7,296.9,313.6,313.7,309.3,312.5,331.4,321.3,327.0,343.0,343.0
11,"    Construction",816.5,854.0,890.1,925.4,909.4,878.5,896.7,930.3,934.0,913.1,888.2,801.6,686.7,656.8,648.9,670.2,697.6,721.2,764.4,804.4,840.2,863.8,882.3,862.7,887.6,840.0,821.1,863.7
12,"    Manufacturing",1379.0,1444.3,1531.7,1641.1,1586.1,1602.6,1702.8,1824.3,1877.7,1982.9,2065.5,2021.2,1841.9,1950.8,1964.4,1964.6,2030.2,2049.2,2064.8,2049.3,2109.7,2213.0,2224.8,2128.3,2289.4,2310.9,2317.9,2382.7
13,"        Durable goods",573.5,626.3,675.3,754.8,714.4,732.0,792.2,848.7,907.2,975.4,1027.4,1029.8,877.2,990.2,1061.2,1093.7,1120.3,1130.2,1139.9,1135.4,1178.3,1227.6,1241.9,1173.0,1263.5,1293.5,1282.4,1276.5
14,"            Wood products",31.2,31.6,31.1,31.7,30.6,30.9,31.0,30.3,33.2,32.7,34.6,32.5,27.5,29.6,32.8,33.5,34.2,30.9,33.6,35.2,35.7,33.9,35.1,37.0,35.0,34.9,38.8,37.7
15,"            Nonmetallic mineral products",58.9,58.5,59.6,59.6,58.4,57.5,59.8,64.1,65.6,61.4,61.6,58.1,46.7,48.1,50.5,53.4,56.4,56.5,56.5,55.3,58.5,58.3,60.6,59.0,61.2,58.9,53.2,50.7
16,"            Primary metals",40.8,44.0,47.1,47.9,45.5,46.5,45.1,48.5,44.3,40.2,39.9,41.7,40.1,40.8,45.3,53.5,57.9,56.9,62.7,66.5,59.8,60.0,67.0,71.5,65.6,75.9,93.4,98.4
17,"            Fabricated metal products",158.5,154.5,155.3,164.9,147.1,140.6,147.1,153.1,155.9,161.4,168.2,160.3,121.1,133.9,142.2,147.3,146.5,148.2,141.8,136.7,144.8,150.7,149.3,135.2,139.1,133.7,124.4,120.0
18,"            Machinery",135.6,146.3,138.4,142.0,128.5,119.9,119.8,134.4,144.8,154.1,161.4,164.9,131.3,148.7,170.7,173.0,171.5,168.4,149.7,136.4,147.6,156.4,154.2,138.6,155.9,156.5,145.9,143.4
19,"            Computer and electronic products",22.1,28.9,36.8,55.6,55.1,61.8,80.6,94.1,107.6,128.7,148.8,171.4,173.8,193.2,199.5,205.2,209.1,217.7,232.2,238.3,248.7,264.5,273.2,280.1,303.8,301.4,300.6,291.3
20,"            Electrical equipment, appliances, and components",56.5,47.4,52.1,54.5,52.1,52.0,56.1,52.5,52.8,60.5,56.8,60.8,50.9,52.5,50.6,52.0,57.1,53.0,60.1,55.2,57.6,57.5,55.3,52.9,56.5,55.4,49.7,48.7
21,"            Motor vehicles, bodies and trailers, and parts",86.2,95.9,102.1,105.0,95.7,107.8,118.1,121.9,129.1,143.8,138.6,107.3,46.9,96.9,122.9,130.3,138.5,144.7,144.6,152.5,159.1,165.7,167.3,148.0,175.5,205.8,194.0,213.9
22,"            Other transportation equipment",101.6,107.4,115.1,105.8,108.7,101.3,96.1,98.3,113.0,117.9,138.4,137.1,132.6,136.6,142.4,139.5,143.5,145.5,150.8,147.5,150.9,159.0,162.4,138.2,151.3,156.0,173.9,169.1
