"","year","occ","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1",2000,4,30182.06,30182.06,30182.06,0,24689.91,5492.15,0.181967367369888,910,910,51.2142857142857,46.5,91.5600707837702,81
"2",2001,4,14259.83,12646.31,12646.31,0,9066.65,3579.66,0.283059643484938,1035.66666666667,127,53.3076923076923,57.5,93.1320448415388,86
"3",2002,4,21094.79,21094.79,21094.79,0,16908.5,4186.29,0.198451371167952,297.5,87,53.6666666666667,49,99.1078939396884,101
"4",2000,5,611137.26,611137.26,608992.65,2144.61,287534.34,323602.92,0.529509393683507,847.1875,904,46.3333333333333,47.5,98.4529617781772,111
"5",2001,5,767501.81,759982.7,754441.91,5540.79,361513.67,398469.03,0.524313290289371,948.265734265734,918,45.6605657237937,47,99.3025016490506,111
"6",2002,5,748340.17,742724.02,731898.98,10825.04,334738.83,407985.19,0.549309271026404,991.672839506173,900,45.1746031746032,47,99.504904526987,111
"7",2000,6,66789.67,66789.67,66789.67,0,48941.81,17847.86,0.267224856778002,1168.33333333333,540,44.6774193548387,45,97.3403017262999,86.5
"8",2001,6,62497.25,62497.25,61802.06,695.19,45517.6,16979.65,0.271686354199585,744.647058823529,655.5,46.2307692307692,48,96.4684359711828,91
"9",2002,6,55697.32,55697.32,53319.06,2378.26,37048.07,18649.25,0.334832088868908,744.357142857143,691.5,47.8,47.5,94.6089118830134,91
"10",2000,7,770942.03,770942.03,760590.96,10351.07,375439.09,395502.94,0.513012554264294,930.058139534884,855.5,40.3563535911602,39.5,100.091018348033,111
"11",2001,7,775024.17,774093.61,766395.65,7697.96,374219.45,399874.16,0.516570805952009,1060.9674796748,911.5,40.7352941176471,42,101.243971036009,111
"12",2002,7,854442.48,849878.56,829306.96,20571.6,428949.09,420929.47,0.495281902393208,1085.54861111111,955.5,40.5789473684211,40,99.9307046409076,111
"13",2000,8,267337.64,267337.64,263694.9,3642.74,105516.4,161821.24,0.605306607778837,821.5,774.5,42.216,42.5,99.9147582809514,111
"14",2001,8,209456.67,207934.63,200257.79,7676.84,66729.32,141205.31,0.679085104775477,985.075,819.5,41.6047904191617,41,101.807574380468,111
"15",2002,8,231145.58,231145.58,218243.99,12901.59,82664.92,148480.66,0.642368588661743,971.309523809524,882.5,43.3954802259887,44,103.129583875236,111
"16",2000,9,105600.64,105600.64,100332.11,5268.53,78435.26,27165.38,0.257246357597833,1097.6,1150.5,45.5714285714286,48,96.2945248248495,111
"17",2001,9,167473.92,167473.92,165918.02,1555.9,92732.39,74741.53,0.446287577194109,960.09375,775,40.1315789473684,41,100.76660885468,111
"18",2002,9,137879.12,125874.97,118421.66,7453.31,70558.25,55316.72,0.43945766183698,1019.61904761905,804.5,42.9148936170213,43,101.939499250725,111
"19",2003,10,1522050.1,1521720.33,1468694.75,53025.58,1167883.98,353836.35,0.232523902733165,1765.63959390863,1538,47.0391978122151,48,103.717128021809,111
"20",2004,10,1640906.33,1633662.11,1599810.32,33851.79,1242521.44,391140.67,0.23942568515591,1727.44811320755,1731,47.4738675958188,48,104.484901244359,111
"21",2005,10,1576295.49,1564320.63,1549575.38,14745.25,1143823.13,420497.5,0.26880518733554,1687.94285714286,1721.5,48.2817281728173,49,103.354327456514,111
"22",2006,10,1783696.15,1774947.45,1756601.25,18346.2,1360053.03,414894.42,0.233750255535734,1668.76642335766,1472,47.7002497918401,49,103.297128137512,111
"23",2007,10,1707260.63,1693503.93,1673573.19,19930.74,1238838.52,454665.41,0.268476146967075,1709.42276422764,1346,47.9272727272727,49,102.620823560769,111
"24",2008,10,1688116.72,1678990.03,1657181.92,21808.11,1261758.59,417231.44,0.248501439880498,1884.30303030303,1807.5,48.9048913043478,50,104.211607587688,111
"25",2009,10,1762967.61,1750127.94,1696123.85,54004.09,1324230.87,425897.07,0.243351963171333,1858.93798449612,1923,48.8912671232877,50,104.321295133429,111
"26",2010,10,1539499.16,1530821.12,1480341.98,50479.14,1141898,388923.12,0.254061767843914,1991.9243697479,2086.5,48.9406130268199,50,105.351706429292,111
"27",2011,10,1635684.2,1628220.95,1589237.1,38983.85,1233623.95,394597,0.242348558406646,1963.47252747253,1923,49.8302257114818,51,103.092637765163,111
"28",2012,10,1563096.37,1560094.09,1517144.92,42949.17,1163301.06,396793.03,0.254339166171702,1940.57943925234,1923,50.1534500514933,52,105.22668866722,111
"29",2013,10,1521171.11,1516649.09,1495178.97,21470.12,1102222.68,414426.41,0.27325134913047,2012.88495575221,1980,49.3648790746583,50,105.870537257897,111
"30",2014,10,2921684.15,2919607.78,2852471.34,67136.44,2238363.82,681243.96,0.233334067906888,1949.52419354839,1923,49.910480349345,51,106.686180467022,111
"31",2015,10,1451393.1,1450279.39,1427665.19,22614.2,1077013.58,373265.81,0.25737510480653,1931.58620689655,1923,50.6576576576577,52,106.151688854932,111
"32",2016,10,1625462.76,1617614.26,1598407.76,19206.5,1159693.37,457920.89,0.283084108074072,1964.30476190476,1961.5,50.1551116333725,51,106.413477079511,111
"33",2017,10,1689283.54,1682409.93,1669627.36,12782.57,1164811.6,517598.33,0.307652921425636,2018.59375,2663.5,50.6514161220044,52,106.822539456837,111
"34",2018,10,1542292.02,1534649.56,1513956.54,20693.02,1087223.44,447426.12,0.291549374959584,2009.80373831776,2307,49.9720873786408,51,106.105545913687,111
"35",2019,10,1570027.45,1569646.5,1549098.61,20547.89,1141812.17,427834.33,0.272567313723185,2319.16666666667,2827,50.810551558753,52,107.35924063794,111
