"","year","soc_2010","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1",2000,"11-1011",30182.06,30182.06,30182.06,0,24689.91,5492.15,0.181967367369888,910,910,51.2142857142857,46.5,91.5600707837702,81
"2",2001,"11-1011",14259.83,12646.31,12646.31,0,9066.65,3579.66,0.283059643484938,1035.66666666667,127,53.3076923076923,57.5,93.1320448415388,86
"3",2002,"11-1011",21094.79,21094.79,21094.79,0,16908.5,4186.29,0.198451371167952,297.5,87,53.6666666666667,49,99.1078939396884,101
"4",2003,"11-1011",1522050.1,1521720.33,1468694.75,53025.58,1167883.98,353836.35,0.232523902733165,1765.63959390863,1538,47.0391978122151,48,103.717128021809,111
"5",2004,"11-1011",1640906.33,1633662.11,1599810.32,33851.79,1242521.44,391140.67,0.23942568515591,1727.44811320755,1731,47.4738675958188,48,104.484901244359,111
"6",2005,"11-1011",1576295.49,1564320.63,1549575.38,14745.25,1143823.13,420497.5,0.26880518733554,1687.94285714286,1721.5,48.2817281728173,49,103.354327456514,111
"7",2006,"11-1011",1783696.15,1774947.45,1756601.25,18346.2,1360053.03,414894.42,0.233750255535734,1668.76642335766,1472,47.7002497918401,49,103.297128137512,111
"8",2007,"11-1011",1707260.63,1693503.93,1673573.19,19930.74,1238838.52,454665.41,0.268476146967075,1709.42276422764,1346,47.9272727272727,49,102.620823560769,111
"9",2008,"11-1011",1688116.72,1678990.03,1657181.92,21808.11,1261758.59,417231.44,0.248501439880498,1884.30303030303,1807.5,48.9048913043478,50,104.211607587688,111
"10",2009,"11-1011",1762967.61,1750127.94,1696123.85,54004.09,1324230.87,425897.07,0.243351963171333,1858.93798449612,1923,48.8912671232877,50,104.321295133429,111
"11",2010,"11-1011",1539499.16,1530821.12,1480341.98,50479.14,1141898,388923.12,0.254061767843914,1991.9243697479,2086.5,48.9406130268199,50,105.351706429292,111
"12",2011,"11-1011",1635684.2,1628220.95,1589237.1,38983.85,1233623.95,394597,0.242348558406646,1963.47252747253,1923,49.8302257114818,51,103.092637765163,111
"13",2012,"11-1011",1563096.37,1560094.09,1517144.92,42949.17,1163301.06,396793.03,0.254339166171702,1940.57943925234,1923,50.1534500514933,52,105.22668866722,111
"14",2013,"11-1011",1521171.11,1516649.09,1495178.97,21470.12,1102222.68,414426.41,0.27325134913047,2012.88495575221,1980,49.3648790746583,50,105.870537257897,111
"15",2014,"11-1011",2921684.15,2919607.78,2852471.34,67136.44,2238363.82,681243.96,0.233334067906888,1949.52419354839,1923,49.910480349345,51,106.686180467022,111
"16",2015,"11-1011",1451393.1,1450279.39,1427665.19,22614.2,1077013.58,373265.81,0.25737510480653,1931.58620689655,1923,50.6576576576577,52,106.151688854932,111
"17",2016,"11-1011",1625462.76,1617614.26,1598407.76,19206.5,1159693.37,457920.89,0.283084108074072,1964.30476190476,1961.5,50.1551116333725,51,106.413477079511,111
"18",2017,"11-1011",1689283.54,1682409.93,1669627.36,12782.57,1164811.6,517598.33,0.307652921425636,2018.59375,2663.5,50.6514161220044,52,106.822539456837,111
"19",2018,"11-1011",1542292.02,1534649.56,1513956.54,20693.02,1087223.44,447426.12,0.291549374959584,2009.80373831776,2307,49.9720873786408,51,106.105545913687,111
"20",2019,"11-1011",1570027.45,1569646.5,1549098.61,20547.89,1141812.17,427834.33,0.272567313723185,2319.16666666667,2827,50.810551558753,52,107.35924063794,111
