"","year","soc_2010_major","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1",2000,"11-0000",16085857.48,16004649.32,15753659.18,250990.14,9554688.21999998,6449961.10000001,0.403005462415219,936.379056047198,815.5,43.871728761119,43,93.6322509626846,91
"2",2001,"11-0000",16403338.63,16306103.26,15995867.54,310235.72,9680140.01999998,6625963.24,0.406348661869078,1020.00918233494,865,43.203302039495,43,94.3680162877863,92
"3",2002,"11-0000",16955222.2000001,16856728.6600001,16349934.37,506794.29,9934003.89000003,6922724.77000003,0.410680204304837,1048.73088423751,900,43.485408406027,44,94.1088354708079,92
"4",2003,"11-0000",14919879.7599999,14868108.5399999,14414139.61,453968.93,9175330.02999996,5692778.50999998,0.382885186416591,1150.9820089955,962,44.4194961664841,45,95.9125566041912,92
"5",2004,"11-0000",14785537.97,14715476.5,14340810.78,374665.72,9138823.50000002,5576653,0.378965166367531,1183.84581280788,1000,44.7267518316739,45,96.2905289978202,92
"6",2005,"11-0000",14537419.76,14447513.89,14099878.74,347635.15,8923055.23000003,5524458.66000001,0.382381266566825,1192.25358490566,1000,44.9111326234269,45,96.4800569165605,111
"7",2006,"11-0000",15205061.77,15123937.61,14811778.75,312158.86,9534520.99,5589416.62000002,0.369574165414718,1209.40652818991,1000,44.7751445634657,45,96.7448600953336,111
"8",2007,"11-0000",15501530.9,15417135.46,15142995.59,274139.87,9540993.82999999,5876141.63000002,0.381143542861497,1237.119425548,1019,45.0379602321378,45,96.8075825286933,111
"9",2008,"11-0000",15727863,15639646.77,15323465.13,316181.64,9702060.99000002,5937585.78000002,0.379649608927837,1321.33072713057,1161,45.2970343785417,46,97.1511913430508,111
"10",2009,"11-0000",16169650.0000001,16083362.7300001,15376532.61,706830.12,10080705.87,6002656.86,0.373221506022702,1322.50923076923,1154,45.509451191672,46,97.3676425489661,111
"11",2010,"11-0000",15918639.3199999,15838956.7599999,15004182.0099999,834774.75,9831361.18999995,6007595.57000002,0.379292377713394,1336.11289092296,1212,45.5072571641236,46,97.0518958206947,111
"12",2011,"11-0000",16006770.14,15896916.54,15115045.79,781870.75,9782061.84999996,6114854.69,0.384656651786134,1311.96395705521,1154,45.7939938791125,47,97.1700738368472,111
"13",2012,"11-0000",16157710.5999999,16099288.7699999,15402105.3199999,697183.45,9875225.55000001,6224063.22000001,0.386604856209434,1397.4237804878,1250,46.0243785392072,47,97.8897557721117,111
"14",2013,"11-0000",16617116.8700001,16518860.3700001,15966273.9600001,552586.41,10103309.81,6415550.55999998,0.388377310316836,1411.00525920361,1205.5,46.1998867497169,47,98.3836984530421,111
"15",2014,"11-0000",32849360.1200001,32662778.9000001,31583451.0300001,1079327.87,20063685.17,12599093.73,0.385732450033515,1396.14597441685,1201.5,46.1302557226319,47,98.886825182838,111
"16",2015,"11-0000",17142266.53,17031276.64,16579571.91,451704.73,10429497.48,6601779.16000001,0.387626793900754,1439.80180859081,1269,46.0877209746775,47,98.2631419707823,111
"17",2016,"11-0000",17998176.97,17864838.32,17471945.42,392892.9,10690364.69,7174473.62999999,0.40159745649464,1475.76277650648,1400,45.9049925852694,47,98.8756073774532,111
"18",2017,"11-0000",18177530.53,18094034.31,17745464.08,348570.23,10702647.11,7391387.2,0.408498573251573,1489.60091393755,1348,46.1545258197526,47,98.7156051236649,111
"19",2018,"11-0000",18213293.6000001,18136839.2300001,17797214.1500001,339625.08,10729939.23,7406900.00000001,0.408389791962665,1469.22196078431,1346,46.1975847371626,46,99.3386816805342,111
"20",2019,"11-0000",18891467.65,18806922.01,18467716.5600001,339205.45,11143913.4,7663008.61,0.40745681860782,1573.94234875445,1385,46.2260186548846,46,99.9254865512144,111
"21",2020,"11-0000",20110719.6757,19972457.1857,19466194.5181,506262.6676,11634066.6134,8338390.57230001,0.41749447725792,1619.02141802068,1538,46.5238145639289,46,100.076958865552,111
"22",2021,"11-0000",20374452.6553,20225194.0808,19537131.4668,688062.614,11951410.5121,8273783.5687,0.409083024649657,1613.97842261905,1442,46.4613154738105,46,100.361114130061,111
"23",2022,"11-0000",20785448.7000001,20698891.8400001,20423451.4300001,275440.41,12324017.85,8374873.99,0.404604944783363,1702.29040196883,1602.5,46.7057957294625,46,100.111993616756,111
"24",2023,"11-0000",22051638.76,21912068.05,21523421.85,388646.2,12761178.65,9150889.39999999,0.417618701216109,1763.70348837209,1673,46.2229232386961,46,100.525656884768,111
"25",2024,"11-0000",22069650.9199999,21938931.8499999,21422929.5299999,516002.32,12258451.42,9680480.42999998,0.441246661240711,1763.70348837209,1673,46.2085708254169,46,100.285727026405,111
"26",2025,"11-0000",22044189.1800001,21890539.9900001,21368104.8100001,522435.18,12593897.3600001,9296642.63,0.424687679438098,1763.70348837209,1673,46.3393089960887,46,100.434675096838,111
"27",2000,"13-0000",5561966.68999999,5507363.25999999,5363743.32999999,143619.93,2237034.6,3270328.66,0.593810232884475,778.825278810409,692,41.6229190863337,41,98.0801414141693,111
"28",2001,"13-0000",5957613.65,5902936.3,5767308.58,135627.72,2385771.18,3517165.12,0.595833148326537,814.613082039911,694,40.6916105042993,40,98.3412266552837,111
