"","year","soc_2010_minor","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1",2000,"11-1000",30182.06,30182.06,30182.06,0,24689.91,5492.15,0.181967367369888,910,910,51.2142857142857,46.5,91.5600707837702,81
"2",2001,"11-1000",14259.83,12646.31,12646.31,0,9066.65,3579.66,0.283059643484938,1035.66666666667,127,53.3076923076923,57.5,93.1320448415388,86
"3",2002,"11-1000",21094.79,21094.79,21094.79,0,16908.5,4186.29,0.198451371167952,297.5,87,53.6666666666667,49,99.1078939396884,101
"4",2003,"11-1000",2253935.4,2253605.63,2185164.31,68441.32,1676558.58,577047.05,0.256055026806088,1577.41964285714,1442,45.7755102040816,46,101.511166144007,111
"5",2004,"11-1000",2424489.87,2413882.88,2359820.63,54062.25,1809796.04,604086.84,0.2502552402211,1530.78978978979,1418,46.1878291398479,46,101.766389502708,111
"6",2005,"11-1000",2383191.08,2367078.22,2313935.71,53142.51,1719931.34,647146.88,0.273394801461187,1506.40425531915,1300,46.6731793960924,47,100.580290308277,111
"7",2006,"11-1000",2800675.32,2790479.94,2745454.4,45025.54,2082618.53,707861.41,0.253670130307405,1468.4,1269,45.6834381551363,47,100.779070406075,111
"8",2007,"11-1000",2600503.06,2586746.36,2554812.79,31933.57,1906925.37,679820.99,0.262809296076481,1576.57391304348,1328,46.3204387990762,47,100.972172045503,111
"9",2008,"11-1000",2668541.99,2653033.04,2606130.94,46902.1,1936633.7,716399.339999999,0.270030312174325,1740.79279279279,1538,47.0952927669346,48,101.864190402242,111
"10",2009,"11-1000",2805795.62,2788211.72,2675999.25,112212.47,2041944.05,746267.67,0.267651005354787,1658.88744588745,1495,46.8027571580064,48,101.728411506713,111
"11",2010,"11-1000",2530014.62,2520284.03,2423660.58000001,96623.45,1839724.83,680559.2,0.270032739127423,1694.44915254237,1625,47.0937136204889,48,102.161282678921,111
"12",2011,"11-1000",2602782.15,2584910.94,2479624.52,105286.42,1883606.01,701304.93,0.271307192502346,1608.32663316583,1365.5,47.7120669056153,49,100.98732448786,111
"13",2012,"11-1000",2674834.34,2671832.06,2570846.06,100986,1955537.99,716294.07,0.26809097799358,1710.87665198238,1615,47.8070279928529,49,102.033617344946,111
