"","occ","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1",4,3,3,2000,2002,2001,21845.56,21307.72,21307.72,0,16888.3533333333,4419.36666666667,0.221159460674259,747.722222222222,374.666666666667,52.7295482295482,51,94.6000031883325,89.3333333333333
"2",5,3,3,2000,2002,2001,708993.08,704614.66,698444.513333334,6170.14666666667,327928.946666667,376685.713333333,0.534377318333094,929.042024590636,907.333333333333,45.7228340772434,47.1666666666667,99.0867893180716,111
"3",6,3,3,2000,2002,2001,61661.4133333333,61661.4133333333,60636.93,1024.48333333333,43835.8266666667,17825.5866666667,0.291247766615498,885.779178338002,629,46.2360628618693,46.8333333333333,96.139216526832,89.5
"4",7,3,3,2000,2002,2001,800136.226666667,798304.733333333,785431.19,12873.5433333333,392869.21,405435.523333333,0.508288420869837,1025.52474344026,907.5,40.5568650257428,40.5,100.421898008317,111
"5",8,3,3,2000,2002,2001,235979.963333333,235472.616666667,227398.893333333,8073.72333333333,84970.2133333333,150502.403333333,0.642253433738686,925.961507936508,825.5,42.4054235483835,42.5,101.617305512218,111
"6",9,3,3,2000,2002,2001,136984.56,132983.176666667,128223.93,4759.24666666667,80575.3,52407.8766666667,0.380997198876307,1025.77093253968,910,42.8726337119394,44,99.6668776434182,111
"7",10,23,23,2003,2025,2014,1708526.13297391,1700100.68896087,1667843.67960435,32257.0093565217,1239686.67111739,460414.017843478,0.271261584383868,1985.72353868189,2116.63043478261,49.6153497556121,50.6086956521739,105.667959524401,111
"8",13,3,3,2000,2002,2001,798388.69,797033.003333333,769719.026666667,27313.9766666667,491749.193333333,305283.81,0.382885701850342,1214.60408647603,1068.66666666667,40.1279533958883,39.3333333333333,101.694822540586,111
"9",14,3,3,2000,2002,2001,873722.326666667,866071.65,862952.95,3118.7,291246.076666667,574825.573333333,0.663326178344381,898.444441958859,816,44.7351583753223,46,110.989759339209,123
"10",15,3,3,2000,2002,2001,813577.48,804875.036666667,792453.863333333,12421.1733333333,184152.516666667,620722.52,0.771337588323542,846.374057343623,783.333333333333,43.7455285835493,44.3333333333333,98.3394428422328,98.3333333333333
"11",17,3,3,2000,2002,2001,1547618.48333333,1538510.53333333,1497934.54,40575.9933333333,835988.316666667,702522.216666666,0.456384980199114,654.882838910876,546.166666666667,39.025110818683,38.3333333333333,81.9773883563669,81
"12",18,3,3,2000,2002,2001,558180.703333333,555539.26,540873.116666667,14666.1433333333,280552.666666667,274986.593333333,0.492167102561417,766.166161616162,636,46.3053571581298,46.3333333333333,88.8639516612725,81
"13",19,3,3,2000,2002,2001,54435.7433333333,54435.7433333333,54435.7433333333,0,35331.5033333333,19104.24,0.346368701270004,931.7,993,42.8915906788247,43.3333333333333,98.6626662874974,95.1666666666667
"14",20,23,23,2003,2025,2014,1083912.28406957,1079768.27651304,1047041.88749565,32726.3890173913,744544.290673913,335223.98583913,0.308018411826304,1474.85520276051,1318.84782608696,43.9054626362225,43.8695652173913,96.5662747898559,101.913043478261
"15",21,3,3,2000,2002,2001,758139.38,752056.61,737983.893333333,14072.7166666667,357857.876666667,394198.733333333,0.524703367261001,788.443555436595,666.666666666667,42.6500394516087,43.3333333333333,98.1930607123783,111
"16",22,3,3,2000,2002,2001,8160058.06666667,8118320.64333334,7911398.06666667,206922.576666667,5605707.58,2512613.06333333,0.309450851122441,1127.84095440162,961.666666666667,43.4342145644657,43,93.8895069138478,91.3333333333333
"17",23,3,3,2000,2002,2001,1671763.12333333,1654265.42666667,1622854.19,31411.2366666667,707437.356666666,946828.07,0.572353250174918,852.637022511694,762,40.7216083249242,39.6666666666667,104.18278587419,111
"18",24,3,3,2000,2002,2001,101967.36,101216.683333333,99952.4066666666,1264.27666666667,31869.8733333333,69346.81,0.681277369308128,772.856829573935,680.5,38.8333806146572,36.6666666666667,95.6705412110123,104.666666666667
"19",25,3,3,2000,2002,2001,901662.113333334,892146.546666667,877414.443333334,14732.1033333333,432060.453333333,460086.093333333,0.51650284289376,922.180654296666,786.5,41.8274113101306,42,99.0887167686747,111
"20",26,3,3,2000,2002,2001,519112.78,517430.083333333,501891.863333333,15538.22,298592.11,218837.973333333,0.419725427119976,1210.57060056727,1125.16666666667,44.3350981358741,44.3333333333333,106.919989956708,111
"21",27,3,3,2000,2002,2001,675574.903333333,671404.743333333,646582.09,24822.6533333333,209229.893333333,462174.85,0.685002916699235,810.873161805976,688.5,40.2233378790862,39.6666666666667,97.3088197519297,104.666666666667
"22",28,3,3,2000,2002,2001,12253.1566666667,12253.1566666667,12103.0433333333,150.113333333333,10690.6766666667,1562.48,0.129839137165515,703.083333333333,605.166666666667,45.1365384615385,43.3333333333333,88.3709776315199,80
"23",29,3,3,2000,2002,2001,238507.1,237345.706666667,227831.09,9514.61666666667,111815.82,125529.886666667,0.529393473791515,598.987722107832,514.5,39.7303045215415,39.6666666666667,88.0370510406647,81
"24",33,3,3,2000,2002,2001,268230.116666667,266101.756666667,259589.853333333,6511.90333333333,117429.523333333,148672.233333333,0.5608520635737,769.67807103291,690.666666666667,42.1102112466021,43.3333333333333,87.835753323178,81
"25",34,3,3,2000,2002,2001,44677.1866666667,44677.1866666667,42121.0533333333,2556.13333333333,28187.06,16490.1266666667,0.371911404476745,700,700,43.7499159776837,39.3333333333333,99.053335637392,107.833333333333
"26",35,3,3,2000,2002,2001,83958.8533333333,83618.6033333333,80878.5566666667,2740.04666666667,78880.3633333333,4738.24,0.055230801404718,816.481481481482,700,45.8856195362338,46.8333333333333,84.6659833695945,78.3333333333333
