"","soc_2010_major","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1","11-0000",26,26,2000,2025,2012.5,18142299.7573462,18040440.6764039,17557048.6974962,483391.978907692,10851513.4790577,7188927.19734616,0.396954743847287,1390.38264689813,1240.34615384615,45.5356059172302,45.7692307692308,97.8907853517483,107.307692307692
"2","13-0000",26,26,2000,2025,2012.5,7533442.01649615,7478778.98628846,7241440.80554615,237338.180742308,3295917.24225769,4182861.74403077,0.56021585917869,1181.72249940179,1032.63461538462,43.1486301575742,42.5769230769231,102.458290920384,111
"3","15-0000",26,26,2000,2025,2012.5,4578910.97915769,4556144.81514615,4416743.77741538,139401.037730769,3342378.11309231,1213766.70205385,0.268407687500474,1423.64250395537,1355.34615384615,40.5155637153182,38.8461538461538,105.196236664078,111
"4","17-0000",26,26,2000,2025,2012.5,3248914.28338462,3228032.65640385,3136327.85152692,91704.8048769231,2738479.15581539,489553.500588462,0.150572736317792,1414.33847688206,1309.38461538462,42.8977228098623,42.4230769230769,104.439036133561,111
"5","19-0000",26,26,2000,2025,2012.5,1491133.2519,1480741.41178462,1440385.01874615,40356.3930384615,789399.522876923,691341.888907692,0.463006998131419,1246.28436871501,1087.92307692308,42.0504583244979,40.4230769230769,112.105038808349,119.307692307692
"6","21-0000",26,26,2000,2025,2012.5,2575571.98618462,2554552.71171154,2489271.72863462,65280.9830769231,900478.542523077,1654074.16918846,0.643007556058586,886.285695652119,794.346153846154,43.88345481612,43.5192307692308,107.498776389299,111
"7","23-0000",26,26,2000,2025,2012.5,1832710.66039615,1821122.91495,1779933.72670769,41189.1882423077,878791.564003846,942331.350946154,0.517078385401063,1477.72394482572,1235.63461538462,44.8218993891855,44.5,113.152291414539,124
"8","25-0000",26,26,2000,2025,2012.5,9592772.58754231,9492920.8044,9286039.61521154,206881.189188462,2512181.5446,6980739.2598,0.735434343567745,888.629514392367,805.365384615385,42.9339321949889,42.5769230769231,109.010315880822,111
"9","27-0000",26,26,2000,2025,2012.5,3205403.91130385,3168604.3005,2991333.59886923,177270.701630769,1653213.97896923,1515390.32153077,0.478698628311132,990.813776753093,849.461538461538,41.7702564196079,39.6153846153846,99.9824219082813,111
"10","29-0000",26,26,2000,2025,2012.5,8725691.12523461,8668667.02414615,8525336.12839615,143330.89575,2170941.26591154,6497725.75823462,0.749029943471596,1108.575130659,977.865384615385,42.6825778468463,42,104.581848825697,111
"11","31-0000",26,26,2000,2025,2012.5,3701137.89735,3653758.59057308,3466393.95900769,187364.631565385,439733.972261538,3214024.61831154,0.880204373106653,501.714231184525,453.230769230769,39.6571742002687,38.2884615384615,80.9143278013727,78.8461538461538
"12","33-0000",26,26,2000,2025,2012.5,3207213.48306154,3169092.59541154,3035840.49241539,133252.102996154,2475071.40610769,694021.189303846,0.218891452073205,909.544986434682,748.923076923077,41.2657482016538,39.8846153846154,87.7288843343224,81.3846153846154
"13","35-0000",26,26,2000,2025,2012.5,8293147.48679615,8151623.49897307,7453727.73866923,697895.760303846,3728881.16061923,4422742.33835385,0.543906083498454,408.858915408876,351.288461538462,34.6486310248491,29.8076923076923,73.9256799623432,73
"14","37-0000",26,26,2000,2025,2012.5,6053615.44136154,5957140.45331538,5428907.17496154,528233.278353846,3475868.47245,2481271.98086538,0.416966765464061,485.243004544128,429.961538461538,43.3393207186039,43.2692307692308,67.7344340063426,73
"15","39-0000",26,26,2000,2025,2012.5,5451730.97778847,5356774.29885,5053220.05323462,303554.245615385,1165799.84728846,4190974.45156154,0.783672666032886,449.613420747474,375.230769230769,40.478897248491,39.1538461538462,80.8881020906572,78.5384615384615
"16","41-0000",26,26,2000,2025,2012.5,16778759.0513731,16559895.1862615,15607351.7143192,952543.471942308,8387195.44420769,8172699.74205385,0.493611431071035,784.18773553363,577.923076923077,40.4725740532574,39.6923076923077,87.0009248776991,81
"17","43-0000",26,26,2000,2025,2012.5,20063091.7007654,19812664.3528616,18752807.9313539,1059856.42150769,5403302.51486154,14409361.838,0.726409445532013,659.563090355436,588.288461538462,41.415153447166,41.1153846153846,85.0624268690695,81
"18","45-0000",26,26,2000,2025,2012.5,1162621.56848846,1134822.04009615,966474.617680769,168347.422415385,859303.009665385,275519.030430769,0.240480692127206,536.201190870148,440.096153846154,40.5079195536989,39.0384615384615,59.1718018197086,71.5
"19","47-0000",26,26,2000,2025,2012.5,9200874.47294231,9101797.57959616,8084806.76088846,1016990.81870769,8820292.14679231,281505.432803846,0.0310445104846626,860.677779884745,734.961538461538,40.2397219842741,39.5,70.6905862224674,73
"20","49-0000",26,26,2000,2025,2012.5,5338195.43841539,5298519.45217692,5045915.98862308,252603.463553846,5084394.54494616,214124.907230769,0.0405083986707767,923.074389852776,825.846153846154,41.766658238155,41.7692307692308,78.4843385713527,73.3076923076923
"21","51-0000",26,26,2000,2025,2012.5,9824169.52053462,9729521.86011539,9020530.75114616,708991.108969231,6825535.63925769,2903986.22085769,0.297628815450909,741.985369772514,636.211538461538,42.0273955420388,42.0769230769231,73.8669344879366,73
"22","53-0000",26,26,2000,2025,2012.5,10231676.9475269,10105340.5397154,9279193.60684231,826146.932873077,8370545.65317308,1734794.88654231,0.171189673132505,701.600664993414,568.692307692308,41.9446669440052,41.6153846153846,74.8947846541185,73
