"","soc_2010_minor","n_years","n_years_explicit","min_year","max_year","year","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1","11-1000",26,26,2000,2025,2012.5,2472754.62584615,2461573.43715,2404088.12320385,57485.3139461538,1757229.89158462,704343.545565385,0.277990402041991,1637.22666873018,1503.92307692308,47.974199670657,48.4230769230769,101.254321569421,108.5
"2","11-2000",26,26,2000,2025,2012.5,1185149.8361,1180488.06378462,1136730.68862308,43757.3751615385,636419.351376923,544068.712407692,0.455042970792826,1495.85935380614,1347.07692307692,41.970449308174,41.0576923076923,103.661306518846,111
"3","11-3000",26,26,2000,2025,2012.5,2684978.13574615,2673388.81986538,2597089.04975,76299.7701153846,1579908.94750769,1093479.87235769,0.415612376565039,1417.7566980085,1289.40384615385,43.8945681248625,44.1538461538462,100.501886660227,110.269230769231
"4","11-3100",26,26,2000,2025,2012.5,333355.707961538,331772.097803846,320680.832411538,11091.2653923077,100614.196888462,231157.900915385,0.691682405108837,1366.02455757098,1255.26923076923,44.3303146168697,44.4038461538462,104.006166048029,111
"5","11-9000",26,26,2000,2025,2012.5,4324233.42118462,4292214.86739231,4171955.65148462,120259.215907692,2724414.79132308,1567800.07606923,0.366675194011912,1164.2962436879,1023.40384615385,46.1495657416073,46.1538461538462,91.342124622011,85.3846153846154
"6","11-9100",26,26,2000,2025,2012.5,7141828.03050769,7101003.39040769,6926504.35202308,174499.038384615,4052926.30037692,3048077.09003077,0.431751686946281,1341.56793326335,1202.82692307692,45.8053610362178,46.3846153846154,98.491602828546,107.307692307692
"7","13-1000",26,26,2000,2025,2012.5,2199943.40717692,2186237.1414,2112287.59806154,73949.5433384615,911960.380976923,1274276.76042308,0.582849307938147,1088.72563006964,951.653846153846,42.9527758333827,42.4615384615385,96.7938679751166,102.923076923077
"8","13-1100",26,26,2000,2025,2012.5,1792880.58153077,1775360.98253846,1705826.97341538,69534.0091230769,794728.505703846,980632.476834615,0.55015495749167,1238.97925124504,1059.07692307692,43.3756744257146,42.7115384615385,104.663916518289,111
"9","13-2000",26,26,2000,2025,2012.5,3540618.02778846,3517180.86235,3423326.23406923,93854.6282807692,1589228.35557692,1927952.50677308,0.548532177172761,1217.1507390884,1079.34615384615,43.2719842357433,42.5961538461538,104.986028819479,111
"10","15-1100",26,26,2000,2025,2012.5,4272767.13642308,4251743.70354231,4120972.30034231,130771.4032,3179668.57295769,1072075.13058462,0.254979135911012,1426.86124454396,1362.09615384615,40.4632070899664,38.7307692307692,104.951910825213,111
