"","occ","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1",4,3,3,2000,2002,2001,12,12,1,12,6.5,22931.3218916667,22684.8194527778,22470.4036694444,214.415783333333,17337.3571472222,5347.46230555556,0.23871090295833,882.680092592593,752.206388888889,50.4848692973693,47.125,92.5026687949266,84.375
"2",5,3,3,2000,2002,2001,12,12,1,12,6.5,720949.518427778,715474.682975,705793.713158333,9680.96981666667,343052.220636111,372422.462338889,0.520458441316686,937.350741732467,862.144305555556,46.5337673323501,47.1666666666667,99.8091140528222,111
"3",6,3,3,2000,2002,2001,12,12,1,12,6.5,61552.0971805556,61332.3837194444,60923.4106527778,408.973066666667,45220.2720027778,16112.1117166667,0.261040515775445,950.212253833743,860.886805555555,46.8103507652079,46.7638888888889,95.1829761165867,91.7222222222222
"4",7,3,3,2000,2002,2001,12,12,1,12,6.5,806423.179388889,803176.029636111,784773.043097222,18402.9865388889,395253.0564,407922.973236111,0.508234711446885,1087.97252260379,970.782222222222,41.4625970484295,40.6944444444444,100.75054452615,111
"5",8,3,3,2000,2002,2001,12,12,1,12,6.5,233388.616227778,232706.563844444,225022.5688,7683.99504444444,80242.9889888889,152463.574855556,0.654053523865232,1042.82520982409,924.301388888889,42.6495262375277,42.5138888888889,101.202432208843,111
"6",9,3,3,2000,2002,2001,12,12,1,12,6.5,144835.873483333,143774.606669444,138881.889327778,4892.71734166667,83683.1681472222,60091.4385222222,0.415785677732657,1035.85807016189,935.774861111111,43.4502465418259,43.1527777777778,98.7043199287659,105.097222222222
"7",10,17,17,2003,2019,2011,12,12,1,12,6.5,1638132.2942902,1631612.33026863,1603143.82098726,28468.5092813725,1213067.02294608,418545.307322549,0.256879310761771,1892.38529524786,1952.67426470588,50.5355271961146,50.2524509803922,104.760924116862,111
"8",13,3,3,2000,2002,2001,12,12,1,12,6.5,783124.076413889,780231.978138889,755199.181091667,25032.7970472222,479148.986602778,301082.991536111,0.385466733817822,1194.90893183175,1076.26569444444,40.7019852566599,39.5416666666667,101.14385530698,111
"9",14,3,3,2000,2002,2001,12,12,1,12,6.5,865286.12095,857619.928125,847702.719872222,9917.20825277778,296992.200452778,560627.727672222,0.653107362648067,975.84937788235,909.031944444444,45.5289498200354,46.2916666666667,110.562877858035,121.833333333333
"10",15,3,3,2000,2002,2001,12,12,1,12,6.5,811333.765733333,806449.2602,792587.191488889,13862.0687111111,179725.532413889,626723.727786111,0.776924287939802,861.367531149549,743.112638888889,44.2508633432187,44.2916666666667,97.9726817865572,98.0694444444444
"11",17,3,3,2000,2002,2001,12,12,1,12,6.5,1532730.16819167,1519795.01893889,1476663.96002778,43131.0589111111,809345.438783333,710449.580155556,0.467589068769849,663.322719741862,540.948333333333,39.836123068626,38.625,83.0237900457134,80.7777777777778
"12",18,3,3,2000,2002,2001,12,12,1,12,6.5,606760.554813889,603321.614377778,593102.110236111,10219.5041416667,300431.994941667,302889.619436111,0.501327418269611,750.748834939874,615.243472222222,47.7345310404727,46.5972222222222,88.722624332036,81
"13",19,3,3,2000,2002,2001,12,12,1,12,6.5,59773.9551194444,59529.4591888889,59284.52785,244.931338888889,46375.5806277778,13153.8785611111,0.22395443171896,865.605854096521,747.777916666667,46.6993471941539,45.3194444444444,96.7869133569244,95
"14",20,17,17,2003,2019,2011,12,12,1,12,6.5,995249.988096079,991719.140109314,958902.354437255,32816.7856720588,696629.961898039,295089.178211274,0.296733491082527,1381.14568498335,1221.41825980392,44.6501534193838,44.0857843137255,96.2940139067613,98.8186274509804
