"","occ2010","n_years","n_years_explicit","min_year","max_year","year","n_months","n_months_explicit","min_month","max_month","month","lf_total","lf","emp","unemp","male","female","female_share","mean_weekly_earnings","median_weekly_earnings","mean_age","median_age","mean_educ","median_educ"
"1",10,20,20,2000,2019,2009.5,12,12,1,12,6.5,1395852.14843042,1390273.20364625,1366042.80838958,24230.3952566667,1033707.57307625,356565.63057,0.254154049591255,1740.92951484957,1772.60408333333,50.5279285113028,49.7833333333333,102.922185818572,107.00625
"2",20,17,17,2003,2019,2011,12,12,1,12,6.5,995249.988096079,991719.140109314,958902.354437255,32816.7856720588,696629.961898039,295089.178211274,0.296733491082527,1381.14568498335,1221.41825980392,44.6501534193838,44.0857843137255,96.2940139067613,98.8186274509804
"3",40,17,17,2003,2019,2011,12,12,1,12,6.5,71162.2094593137,70828.7198009804,67801.8010818627,3026.91871911765,30779.0453294118,40049.6744715686,0.569396562907831,1258.37936386449,1044.65987745098,40.4971777016719,37.8406862745098,104.956023842892,110.860294117647
"4",50,20,20,2000,2019,2009.5,12,12,1,12,6.5,966440.31744375,962469.747392083,926974.326154167,35495.4212379167,544789.188068333,417680.55932375,0.430205327050058,1415.03759025119,1279.70347916667,42.135164794624,41.0875,102.481256196367,111
"5",60,17,17,2003,2019,2011,12,12,1,12,6.5,65612.4727676471,65318.3700137255,62935.5595068627,2382.81050686275,25121.668002451,40196.7020112745,0.614443513211006,1398.37586765005,1168.56463235294,43.0266435955071,42.4607843137255,108.719156182633,111.149509803922
"6",100,17,17,2003,2019,2011,12,12,1,12,6.5,131516.941844608,130983.369092647,126365.058884804,4618.31020784314,80376.2352269608,50607.1338656863,0.373397486267413,1180.26405455937,1046.99125,47.9465053116097,47.843137254902,93.439604614571,89.3970588235294
"7",110,17,17,2003,2019,2011,12,12,1,12,6.5,542359.596283333,540462.528981863,525584.083458824,14878.4455230392,388102.456354412,152360.072627451,0.283599563895494,1645.44089554573,1612.06230392157,44.2113645429811,43.5906862745098,106.226760922354,111
"8",120,20,20,2000,2019,2009.5,12,12,1,12,6.5,1134029.65155833,1129273.35880333,1099425.04107417,29848.3177291667,524259.445135417,605013.913667917,0.53444489879405,1310.43655093533,1159.79039583333,43.6407915134621,42.8291666666667,101.627512328585,111
"9",135,9,9,2011,2019,2015,12,12,1,12,6.5,19631.0899685185,19506.966425,18895.4761444444,611.490280555556,5464.81587685185,14042.1505481481,0.710053588748969,1545.23979320988,1387.71981481481,46.4629397608564,43.6064814814815,103.66063611109,103.333333333333
"10",136,20,20,2000,2019,2009.5,12,12,1,12,6.5,275700.320191667,274505.669279167,265712.751524583,8792.91775458333,81693.7766604167,192811.89261875,0.700557379073099,1317.1208060843,1183.12260416667,44.6788205366261,44.1208333333333,103.540923402536,110.960416666667
"11",137,9,9,2011,2019,2015,12,12,1,12,6.5,47035.1284453704,46885.3574055556,45589.2001851852,1296.15722037037,21932.574612963,24952.7827925926,0.526548633628876,1422.57539587008,1201.95902777778,44.7718753147658,43.4675925925926,102.514357164802,105.041666666667
"12",140,17,17,2003,2019,2011,12,12,1,12,6.5,281420.443158333,280348.148117157,269962.472990196,10385.6751269608,228040.949263725,52307.1988534314,0.186257209802699,1374.74842786105,1245.88421568627,46.0324954341295,45.7524509803922,94.0258803616457,91.6813725490196
"13",150,20,20,2000,2019,2009.5,12,12,1,12,6.5,193090.927688333,192126.17444125,186029.22402,6096.95042125,106473.210632917,85652.9638083333,0.442480058374566,1280.73461581874,1151.61641666667,45.7638396555213,45.6854166666667,99.8750259007297,106.766666666667
"14",160,17,17,2003,2019,2011,12,12,1,12,6.5,274232.370667647,272904.119062255,263099.12524902,9804.9938132353,226276.451256373,46627.6678058824,0.170264247737832,1063.21963810573,908.10068627451,44.6654006325444,43.9656862745098,87.253132023469,80.75
"15",205,20,20,2000,2019,2009.5,12,12,1,12,6.5,1022076.89272292,1015505.11287583,1004343.08235208,11162.03052375,765699.224634167,249805.888241667,0.24573102327707,850.525006982379,680.0528125,53.9887044614617,54.575,81.5287963586209,76.8
"16",220,17,17,2003,2019,2011,12,12,1,12,6.5,989296.853506863,985079.397721078,948023.521118137,37055.8766029412,913937.308672549,71142.0890485294,0.0714928387653958,1337.12306742498,1213.96254901961,46.1759457711778,45.9411764705882,86.8685139103327,81.2450980392157
"17",230,20,20,2000,2019,2009.5,12,12,1,12,6.5,871939.04930625,865356.08837375,848560.091487083,16795.9968866667,304822.11308625,560533.9752875,0.647057494484967,1213.67445121653,1121.7880625,46.7551898845199,46.7125,111.940268750508,122.575
"18",300,17,17,2003,2019,2011,12,12,1,12,6.5,120120.958964216,119718.452511275,117595.481072549,2122.97143872549,109495.259248529,10223.1932627451,0.0847903799564348,1844.12384442084,1826.85889705882,47.63902822414,47.4191176470588,108.735445740689,111.176470588235
"19",310,20,20,2000,2019,2009.5,12,12,1,12,6.5,1173460.37454583,1165374.08587667,1122348.76657708,43025.3192995833,630486.244050833,534887.841825833,0.456922441854321,782.318220887576,635.846041666667,40.754457532902,39.1708333333333,84.0575514114969,80.8833333333333
"20",330,17,17,2003,2019,2011,12,12,1,12,6.5,19315.0539289216,19231.4913867647,18279.6740813725,951.817305392157,12519.6057730392,6711.88561372549,0.346553010752541,973.76904038282,877.41568627451,44.2537928137476,40.7941176470588,86.8740758671276,81.7328431372549
"21",340,17,17,2003,2019,2011,12,12,1,12,6.5,164290.117234314,162921.149226961,156870.152904412,6050.99632254902,78898.3353941176,84022.8138328431,0.51755766107665,919.91991192734,766.805098039216,46.4677633000004,44.7892156862745,92.9268780217668,89.9656862745098
"22",350,20,20,2000,2019,2009.5,12,12,1,12,6.5,617586.279346667,614606.659971667,602692.471224167,11914.1887475,171286.275845833,443320.384125833,0.718038554274052,1244.81213405701,1117.64352083333,46.6089560961792,46.6979166666667,103.964099417745,109.060416666667
"23",360,17,17,2003,2019,2011,12,12,1,12,6.5,14741.3453578431,14693.1571955882,14501.0616710784,192.095524509804,7585.49371764706,7107.66347794118,0.466985919100479,1602.33098937908,1488.74102941176,44.6167350419189,40.8602941176471,115.538256880314,114.852941176471
"24",410,20,20,2000,2019,2009.5,12,12,1,12,6.5,660526.23110625,656240.09351375,637203.17688625,19036.9166275,332140.618693333,324099.474820417,0.494562049197851,946.031537579493,771.8886875,48.9738632298129,47.9833333333333,91.8937108134152,86.2833333333333
"25",420,20,20,2000,2019,2009.5,12,12,1,12,6.5,423198.096029583,420129.275315417,406679.670285833,13449.6050295833,149105.872218333,271023.403097083,0.659999326158882,1044.84106189445,888.224354166667,45.3843275175749,45.4729166666667,104.382898827872,110.604166666667
"26",425,9,9,2011,2019,2015,11.6666666666667,11.6666666666667,1,12,6.37037037037037,8623.66967438272,8475.7225462963,8442.71190925926,33.010637037037,5169.75618364198,3305.96636265432,0.398879073639367,1265.5546244856,1155.47387345679,47.8847442680776,43.8734567901235,105.00933446821,100.865740740741
"27",430,20,20,2000,2019,2009.5,12,12,1,12,6.5,4755900.91554083,4730656.81283417,4614861.55694333,115795.255890833,3093468.37512042,1637188.43771375,0.349028663249314,1317.6083142001,1186.334875,46.3201440949816,45.91875,97.1236388478164,105.458333333333
"28",500,20,20,2000,2019,2009.5,12,12,1,12,6.5,48324.7599183333,47793.9517008333,44935.5439854167,2858.40771541667,25429.7091658333,22364.242535,0.465571162129904,1077.44673219246,851.289958333333,41.6491371166313,37.5833333333333,97.7710278832966,99.0145833333333
"29",510,20,20,2000,2019,2009.5,12,12,1,12,6.5,12088.34545875,12018.7324379167,11618.0123741667,400.72006375,9035.28203208333,2983.45040583333,0.237837964571772,980.150016666667,892.462625,47.2240308880934,42.0441287878788,89.0976723354919,84.3590909090909
"30",520,20,20,2000,2019,2009.5,12,12,1,12,6.5,212882.957629583,211582.478005417,204082.029716667,7500.44828875,99668.7796220833,111913.698383333,0.528416040596384,835.17374571982,706.043708333333,43.2159400428182,41.94375,89.999757638661,84.23125
"31",530,20,20,2000,2019,2009.5,12,12,1,12,6.5,276373.18834375,274767.883309583,264477.079380417,10290.8039291667,129805.325391667,144962.557917917,0.5285836561917,986.348021373895,882.534104166667,45.3000600627506,45.1291666666667,93.3779791808687,90.5229166666667
"32",540,20,20,2000,2019,2009.5,12,12,1,12,6.5,346181.61116,344176.835138333,334709.3668825,9467.46825583333,125267.544864583,218909.29027375,0.629495984794974,942.585124764304,831.1186875,42.7205059711157,41.2833333333333,94.4948597777157,95.2520833333333
"33",565,20,20,2000,2019,2009.5,12,12,1,12,6.5,214931.981687917,213354.034607083,209020.319482917,4333.71512416667,107380.680345833,105973.35426125,0.49631564931398,1173.46429539207,1033.05879166667,45.3903274370609,45.0270833333333,100.870262157892,107.591666666667
"34",600,17,17,2003,2019,2011,12,12,1,12,6.5,117790.555083333,117116.265675,113109.47057549,4006.7950995098,101029.15604951,16087.1096254902,0.138914258171141,1162.14740988996,999.382426470588,45.8192161855453,44.8088235294118,91.0860053916808,85.8333333333333
"35",630,20,20,2000,2019,2009.5,12,12,1,12,6.5,730004.460447917,725498.568809583,696687.714092917,28810.8547166667,206394.141520417,519104.427289167,0.715821788406228,1036.79002903762,894.975229166667,42.336833523434,40.73125,99.2963037496198,108.4625
"36",640,9,9,2011,2019,2015,12,12,1,12,6.5,69530.3061351852,69302.9212592593,66171.0088462963,3131.91241296296,17129.5446444444,52173.3766148148,0.752559282329096,1127.45507349415,945.940046296296,44.9506643805485,43.1574074074074,99.200716154354,103.527777777778
